"[ 우리집 아기는 큰 볼일을 보면 꼭 새 기저귀 한 개 이상은 버리게 되는데 다 끝났다.... 싶어서 새 기저귀를 갖다 대면 또 싸고], 긍정 텍스트 확률 : 76.15%"
"[이젠 끝났겠지... 하고 새 기저귀를 갖다 대면 또 싸고...보통 큰 볼일 회쉬 회가 패턴인데 그러다 보니 한 개의 기저귀만으로는 처리에 어려움이... 게다가 지금 사용하고 있는 하기스 네이처메이드는 주름이 있어서 쫙 펼쳐지지 않고 동그랗게 말려서 싸는 중에 받쳐 놓으면 자꾸 말려서 초보 엄마는 너무 정신사납더라는... 그와중에 생각난 것이 이 포그니 기저귀였다..?포그니기저귀활용방법포그니기저귀활용방법.?기저귀갈기기저귀갈기.?기저귀절약기저귀절약 내가 포그니를 사용하는 방법 은일단회 싸 놓은 하기스① 밑에 포그니를 받치고 ①을 빼낸 다음], 긍정 텍스트 확률 : 56.62%"
"[배 마사지를 하며 회와 회 그리고 쉬까지 포그니에 처리], 긍정 텍스트 확률 : 58.17%"
"[.아기를 키우면서.필수품인 일회용 기저귀..천기저귀를 사용하는.부지런한 어머니들도 계시지만..휴대도 간편하고.자주자주 갈아주기 편하고.빨래의 수고를 덜어줄수 있기때문에.대부분 일회용 기저귀를.사용하게.되는 것 같다... ], 긍정 텍스트 확률 : 56.68%"
"[ ..... 특히.신생아때는 하루 개정도.평균으로 쓰다보니 .새로운 기저귀 오픈하자마자.클리어 팡팡 ], 긍정 텍스트 확률 : 64.35%"
"[ .저렴한 만큼 포장도 매우 간단하다..까지 쓸수있다고.되어있다.. ], 긍정 텍스트 확률 : 54.25%"
"[ .이렇게 노란 철심끈으로 묶여있다..ㅋㅋ. ], 긍정 텍스트 확률 : 55.18%"
"[ .또 밴드를 만들어주는.파란색 스티커 길이가.생각보다 짧아서 .자주 풀어졌다...신생아여도 조금 통통한 신생아는.저 밴드가 금새 짧을거다ㅠ.우리 꿀꿀이가 그랬듯이..사용대상이 까지라고.되어있으나 .실제 사용해본 결과 는 불가할듯 ㅠㅠ.밴드 부분도 짧고.얇다보니 소변양을 다 흡수하기 힘들것 같다..정말 최대로.정도까지 사용할 수 있을듯...여튼...수시로 새는 탓에.옷이불 빨래가 증가...기저귀는 안늘어나지만.옷이랑 이불빨래가 늘어나ㅠㅠㅠ ], 긍정 텍스트 확률 : 99.76%"
"[ .일단 밴드가 길이가 길다..또한 위쪽과 옆에 .대소변 방지 주름이 있다. ], 긍정 텍스트 확률 : 89.79%"
"[ ..또한 .중앙에.노란색 소변확인 선도 있다..요 선이.소변을 보면 파란색으로 변한다.. ], 긍정 텍스트 확률 : 74.25%"
"[ ..슈퍼베비가 주름때문에.길이가 약간 더 짧아보이는데.실제로는 비슷하다..두께도 비슷.촉감도 비슷 ..촉감은 확실히 비싼 기저귀들보다.떨어졌으나 사용못할정도로.거칠거나 하지 않았다...슈퍼베비를 한달 이상.사용해본 결과.포그니에 비해서.주름이 있어서.대소변 새는것은 확실히 적었다...그러나.밴드부분의 접착력이 약해서.길이는 길어서 좋지만 ㅠㅠ.기저귀가 자주 풀어졌다....수시로 밴드가 잘 붙어 있는지 확인.또 확인..ㅎㅎ ], 긍정 텍스트 확률 : 77.45%"
