"[ 지인에게 선물받아서 사용하게 됐어요큰 박스 패키지를 열어보니], 긍정 텍스트 확률 : 61.39%"
"[기저귀 두께도 얇은 편에 속해요밑에서 언급할 하기스에 비하면 비슷한 주기로 기저귀를 갈더라도좀 더 묵직한 감이 없잖아 있지만], 긍정 텍스트 확률 : 70.69%"
"[흡수력도 좋아요.저는 낮밤 구분없이 기저귀 사용중인데요], 긍정 텍스트 확률 : 83.23%"
"[통기성도 좋아요. 한 두달정도 사용해보니여러브랜드 섞어 쓰는중 애기 소변양이 많아 지면서 밤 기저귀로는 탈락. 많이는 아닌데 조금 새더라구요ㅠㅠ 두어번 정도 샜네요허리밴드는 생각보다 덜 짱짱하지만], 긍정 텍스트 확률 : 73.11%"
"[허리밴드 짱짱하고 신축성이 좋아서 애기한테도 편할거 같은 느낌이랄까요ㅎㅎㅎ 여름용 기저귀들처럼 얇지는 않지만], 긍정 텍스트 확률 : 52.54%"
"[사계절 무난하게 쓰기좋은 기저귀에요그리고 기저귀 쓰다보면 묘하게 애기 소변냄새가 나거나 대변냄새가 나는데], 긍정 텍스트 확률 : 86.85%"
"[한참을 킁킁거렸...물론 살짝 까보는게 제일 확실하겠지만요ㅎㅎ ], 긍정 텍스트 확률 : 90.03%"
"[좀 더 큰 아기가 사용해도 괜찮을거 같아요. 딱히 맘에 안드는거 없이 무난하게 잘 쓴 기저귀에요.페넬로페나 하기스처럼 완전 유명한 브랜드 사용하기 전에는킨도가 제일 맘에 들었어요. 흡수력이 정말 좋고 사용시 겉에 축축함이 덜한 편이어서밤기저귀로도 사용하기좋을 듯매수에 비하면 가격은 조금 있지만], 긍정 텍스트 확률 : 98.61%"
"[ 일본제품이라는 것을 선물 받은 후에 알게됐네요...ㅠㅠ불매운동이 일어나기 전에 사용했던거라 후기 공유할게요소형인데도], 긍정 텍스트 확률 : 74.97%"
"[좋다고 느꼈는데], 긍정 텍스트 확률 : 87.83%"
"[ 이렇게 여태까지 사용한 총 가지의 기저귀들 후기 마무리 할게요.기저귀 선택에 조금이나마 도움이 됐기를 바랄게요지극히 저와 짜식이의 개인적인 후기이고], 긍정 텍스트 확률 : 93.27%"
"[아기들마다 다르다는 것도 기억해주세요 ], 긍정 텍스트 확률 : 91.37%"
"[ .?코스트코코스트코 커클랜드 슈프림 .?코스트코기저귀코스트코기저귀 .?커클랜드기저귀커클랜드기저귀 .?슈프림기저귀슈프림기저귀코스트코 세일기간에 슈프림 기저귀 구입.하기스와 같은 회사인 유한킴벌리에서 만든 제품이라 하여 일단 박스만 구입.하기스보다 개?정도 더 들어있다.가격도 하기스보다 착하다. ], 긍정 텍스트 확률 : 62.75%"
"[ 우리아가는 단계사용 ], 긍정 텍스트 확률 : 73.52%"
"[ 단계 박스 열어보니정말 벌크스런 갯수에 허걱 ], 긍정 텍스트 확률 : 58.47%"
"[ 급 기저귀가 많아져서 마음이 참 든든허당ㅋ ], 긍정 텍스트 확률 : 60.47%"
"[ 박스 사용 결과 만족이고 재구매 의사 프로다흡수율도 좋고새지도 않고안감도 부드럽고밴드도 짱짱학고 피부에 쓸리지 않게 잘 만들어 졌다 ], 긍정 텍스트 확률 : 84.33%"
