"[.지난 주에도 또 물놀이 하고 왔어요..정작 한 여름에는 사람 많아서 잘 안갈거 같은 느낌 ㅎㅎ.그리고 다시 느즈막히 물놀이 갈거에요? ], 긍정 텍스트 확률 : 81.11%"
"[ .그나저나 아기랑 물놀이를 가려면 준비물이 이만저만이 아니죠..그 중에 무조건 필수로 챙겨야하는 아기 방수기저귀.튜브는 안챙겨도 수영기저귀는 챙겨야합니다..작년에는 하 꺼 입혔었는데 올해도 똑같은거 살까 하다가.새로운게 보여서 한번 구입해보았어요...나란 엄마는 신상을 무지 좋아하거든요 ㅎㅎ.항상 새로운걸로..그래서 이번에 구입해본.?대디베이비대디베이비.?수영장기저귀수영장기저귀 입니당.. ], 긍정 텍스트 확률 : 64.34%"
"[ 개인적으로 포장지도 참 맘에 들었어요.보자마자 해변으로 놀러가야할 거 같은 ㅎㅎ햇빛 내리쬐는 야자수 그늘 아래서 해먹에 누워 낮잠을 자고 싶어요..누구에게도 방해받지 않구요 ㅋㅋㅋㅋㅋㅋ지퍼백으로 되어있어서 보관하기도 편할거 같아요. ], 긍정 텍스트 확률 : 83.66%"
"[ 요렇게 앙증맞은 손잡이도 있구요 ㅋ ], 긍정 텍스트 확률 : 81.96%"
"[엄청 얇고], 긍정 텍스트 확률 : 71.47%"
"[가벼워요.꺼내보고 깜짝 놀랐어요 ㅋㅋ아니 이렇게 얇고], 긍정 텍스트 확률 : 72.04%"
"[ 요렇게 팩에 장이 들어가 있구요], 긍정 텍스트 확률 : 62.88%"
"[이번에도 물놀이 갔을 때밖에서 제 무릎 위에 앉아 쉬고있을 때 따뜻한 느낌이 들면서 쉬야가 밖으로 주르륵 흘러나오더라구요 ㅋㅋㅋㅋ네네아마 방수기저귀 라는 이름이 입에 감겨서 그렇게 부르는 걸까요??진짜 방수기저귀도 있기는 해요.타사 제품 중에는 소변까지도 막아주는 제품도 있더라구용그런데 초보맘들에게는 구분하기가 어려운 현실..방수기저귀 라고 검색해도 일회용 수영기저귀들이 나오는 현실.. ], 긍정 텍스트 확률 : 99.95%"
"[ 그래서 이렇게 얆은 것이었나일반 기저귀에는 흡수제가 들어가 있는데 여기는 그게 빠지거나 조금만 들어가서 얆은가봐요.저도 첨엔 의아했거든요어떻게 이렇게 얇고 가벼운데 방수가 된다는거지?다른 기저귀들도 그런가 하고 막 찾아보니까다들 주의사항에 하나같이 소변과 대변을 완벽히 차단해 주지 않는다고... ], 긍정 텍스트 확률 : 76.21%"
"[ 무튼 기저귀를 한다는 것은..대소변을 못가리는 아기들이 주로 하는것인데..완벽히 방수를 해주는 것은 아니다..아기들은 수시로 쉬야를 한다..참 아이러니 하죠?그럼 아가들이 바글바글 노는 유아풀의 수질상태는?그래서인지 지난번에 다녀온 곳은 제 눈이 다 따갑더라구요..아이들이 수영장 다녀오면 질병에 걸릴 확률이 높다는게 일리가 있는 말이였어요..희한하게 울 아가도 물놀이만 다녀오면 하루이틀 있다가 피부에 머가 올라와서 걱정이었는데다행히 수족구는 아니고], 긍정 텍스트 확률 : 84.85%"
"[ 그래도 물놀이 좋아하는 아이들 생각하면 ㅠㅠ ], 긍정 텍스트 확률 : 97.42%"
"[이제 백일된 우리 아가], 긍정 텍스트 확률 : 54.26%"
"[ 다 큰 것 같지만 불과 얼마 전까지만 해도신생아였던 시절이 새록새록..괜찮은 슬림형 기저귀 발견해서 신생아기저귀로 추천하려고요.지금이야 수유텀], 긍정 텍스트 확률 : 96.62%"
"[잠텀 다 잘 잡히고기저귀도 자주 갈아주지 않아도 되서사실 아무 거나 사용해도 무방한데신생아때는 정말 수시로 갈아줬던 거 같아요.자주 먹고], 긍정 텍스트 확률 : 64.34%"
"[ 연약한 우리 아기 여린 살결에 직접 닿는 제품이니더욱 꼼꼼히 따져봐야 하는 기저귀], 긍정 텍스트 확률 : 98.60%"
"[ 대디베이비 슬림 기저귀는 밴드팬티형으로다양한 사이즈 있고요.신생아기저귀 사이즈도 따로 있어서아기 무게에 따라 선택하시면 되요.저희 아기는 개월 .이라 넉넉하게 사이즈 중형 주문 ], 긍정 텍스트 확률 : 64.02%"
"[ 신생아기저귀 고르실 때 팁], 긍정 텍스트 확률 : 67.52%"
"[ 기저귀 디자인도 군더더기 없이 깔끔하면서 귀엽 ㅋㅋ슬림형이다보니 정말 얇고 가벼운 게 가장 큰 특징 ], 긍정 텍스트 확률 : 99.56%"
"[ 등허리부터 옆구리까지 늘어나는 더블 와이드 밴드로처침이나 묽은 배변 뒷샘까지제대로 막아준다고 해요.신생아기저귀 처음 사용할때 아기 변이 많이 묽어서한], 긍정 텍스트 확률 : 66.63%"
"[ 말할 필요없이 통기성도 우수하기 때문에장시간 소변량이 많아도 엉덩이가 편안하게숨을 쉬고더운 여름은 물론], 긍정 텍스트 확률 : 78.47%"
"[ 글씨가 두가지 색이라서 찍어봤어용 ㅋ가볍고 핏이 좋아서 신생아 아닌데도즐겨입히게 되는 슬림핏 기저귀예요. ], 긍정 텍스트 확률 : 69.61%"
"[ 무더운 여름날 우리 아기 뽀송한 엉덩이를책임지고 있는 여름기저귀 대디베이비 ], 긍정 텍스트 확률 : 79.77%"
"[ 빠질 수 없는 기저귀 착샷], 긍정 텍스트 확률 : 64.68%"
"[.요 몇일 비가 쏟아 부을듯이 오더니..이젠 햇빛이 쨍쨍이네요.본격적인 무더위 폭염이 시작되었는데요.ㅜㅜ.그동안 애들 저녁밥 먹이고 놀이터 한바퀴 돈다음.집으로 돌아와 씻고 재웠었는데요...이제는 오후에도 더워서 밖엘 못나가겠더라고요.에어컨도 하루종일 틀어 놓으면 머리가 아프고.또 안틀자니 너무 덥고....정말 얼른 선선한 가을이되길 간절히 바라고 있어요 ], 긍정 텍스트 확률 : 97.13%"
"[ .대디베이비 골드팬티 기저귀..무더운 여름철....하루종일 기저귀를 차고 있는 아가들은.얼마나 답답할까요ㅜㅜ.그래서 준비함 여름기저귀 대디베이비기저귀 입니다.ㅎ.이번에 처음 사용해 본 대디베이비 기저귀인데요.한번 살펴보도록 할께요. ], 긍정 텍스트 확률 : 72.11%"
"[ .성별 맞춤 슬림매직핏으로.항상 쾌적하게 착용할 수 있는.무자극 기저귀 대디베이비 .여년간의 연구와 경험을 바탕으로.성별에 따라 맞춤 설계한 디자인으로.아기들에게 더욱 편안한 착용감과 보송함을.느낄 수 있게 도와주는 기저귀랍니다. ], 긍정 텍스트 확률 : 96.29%"
"[ .생산일자와 사용기한은.기저귀팩 옆면에서 확인가능하구요.개월 전 생산된 기저귀라.제조일자가 얼마되지 않아 참 맘에 들더라구요ㅎ ], 긍정 텍스트 확률 : 76.94%"
"[ .요렇게 손잡이가 달려있어.들고다니기도 간편했는데요ㅎ.이번 첫째아이 어린이집 방학이라.둘찌 데리고 수원에사는 친언니집에서.쉬다가 왔는데요 대디베이비 기저귀 덕에.밤에도 꿀잠자고 잘놀고 잘먹고 왔답니다..정말 요긴하게 쓰고올라왔네요. ], 긍정 텍스트 확률 : 97.79%"
"[ .귀여운 토끼가 기저귀 배부분에.그려져있네요?.엄마토끼], 긍정 텍스트 확률 : 55.27%"
