"[촉감이 너무 좋은.?밤부베베밤부베베 손수건], 긍정 텍스트 확률 : 92.09%"
"[기저귀육아 국민템이라는 밤부베베.?대나무손수건대나무손수건첫 세탁을 기본 번 해야한다해서구매를 망설였지만 아기피부에 사용하기에너무 순하고 부드럽다고해서손수건 패키지를 인터넷으로 구입했다.그리고 겁없이.?천기저귀천기저귀 세트도 함께 구입 ], 긍정 텍스트 확률 : 52.13%"
"[ 세탁방법이 아주 상세하게 잘 설명되어 있다.손수건은 세탁자연건조 과정을 번 반복해야하고 찬물로 세탁망없이 단독세탁해주면 먼지가 더 잘 빠진다고 한다. .?슈룸낮동안패키지슈룸낮동안패키지 개봉하루종일 천기저귀는 사용이 너무 힘들 것 같아천기저귀랑 일회용 기저귀를 혼합해서사용할까하는 생각으로 구매했는데주변에서 지인들이 왜 샀냐고... 감당못한다고 걱정해줌ㅋㅋㅋㅋ어쨌든 열정폭발해서 천기저귀 도...도전우리 튼튼이띠의 예쁜 궁둥이를 위해서라면아무튼 낮동안패키지는천기저귀 장], 긍정 텍스트 확률 : 60.15%"
"[기저귀커버장 이렇게 구성되어있다. ], 긍정 텍스트 확률 : 60.15%"
"[속싸개등 쓰임새가 많아서 유용한아이템이다. ], 긍정 텍스트 확률 : 69.02%"
"[ 천기저귀 접는 법도 상세하게 설명되어있다. ], 긍정 텍스트 확률 : 75.43%"
"[ 날개형 기저귀 장날개형 기저귀는 약간 생소하게 생기긴했지만천기저귀보다 세탁도 간편하고 부피도 작아서유용할 것 같다. ], 긍정 텍스트 확률 : 65.63%"
"[ 밤부베베 홈페이지가면 저렇게 사용방법이친절하게 설명되어있어서 좋았다.손수건이랑 기저귀사는 김에포밍세제도 함께 구입했다.아기세탁비누는 사은품으로 함께 왔다. ], 긍정 텍스트 확률 : 93.85%"
"[ 포밍세제를 뿌려준다음에 애벌빨래후세탁기로 세탁하면 깨끗하게 세척된다고한다. ], 긍정 텍스트 확률 : 66.96%"
"[ 인터넷가격보다 베페에서 사는게 좀 더 저렴할 것 같긴했지만 급한 마음에 인터넷으로구매했는데 세트로 구입해서 그래도 가격할인이 좀 적용이 되서 그걸로 위안삼았음ㅜㅜ가격은 좀 비싸지만 촉감도 좋고 디자인도심플하고 예뻐서 사길 잘했단 생각드는 밤부베베손수건], 긍정 텍스트 확률 : 85.89%"
"[기저귀세트 구매후기였다 ], 긍정 텍스트 확률 : 57.95%"
"[안녕하세요아이꾸입니댜 ], 긍정 텍스트 확률 : 75.32%"
"[ 투명케이스에 담아왔어요뭔가 깨끗한 이미지 느낌 ㅋㅋ ], 긍정 텍스트 확률 : 56.73%"
"[ 밤부베베 손수건과 천기저귀는이렇게 재질을 미리 확인할 수 있는것도있었네요??ㅋㅋㅋㅋㅋㅋ오프라인 매장이 있다면 보고살수 있는건가근데 오프라인 매장은 없는거같아유 ], 긍정 텍스트 확률 : 79.68%"
"[ 밤부베베 손수건 진짜 부드러워요 ], 긍정 텍스트 확률 : 54.06%"
"[ 이건 밤부베베 천기저귀 입니당펼친걸 사진 안찍었는데 많이커서사용하기 좋아요일 키로 우리 찰떡이 목욕후에 나오면서 몸에 한번 감고도 남는 사이즈완전 굿이예용물기도 정말 흡수가 빨라요 목욕수건으로도 아주 굿입니다 ], 긍정 텍스트 확률 : 99.76%"
"[조리원 퇴소하고부터 신생아였던 우리 아기 천기저귀 병행해서 써오고 있어요일 촬영때 입은 것도 배냇저고리와 천기저귀.천기저귀 사용하는 게 어렵지 않을까 생각했는데 막상 사용해보니 노하우가 생겨 천기저귀 장단점을 공유해봅니다. 아기 응가 사진 있음 주의 수위는 낮아요 ㅋㅋ ], 긍정 텍스트 확률 : 93.53%"
"[ 덕분에 속싸개 음청 많아요 ㅋ근데 속싸개는 많으면 바운서 위에도 올려도 되고], 긍정 텍스트 확률 : 95.56%"
"[는 개만 해도 괜찮았어요 곧 못쓰게 될듯 ㅎㅎ ], 긍정 텍스트 확률 : 59.80%"
"[ 그리고], 긍정 텍스트 확률 : 70.21%"
"[빨래 비누로 거품 난채로 물에 좀 담궈서 한 분시간 정도 두면 그때 세탁기 같이 ㄱㄱ깨끗하게 세탁되요 ㅎㅎ], 긍정 텍스트 확률 : 93.28%"
"[ 그리고 아기를 한번 잘 관찰해보세요 ], 긍정 텍스트 확률 : 67.32%"
"[ 응가하는 습관이 나름 생겼을 수 있어요저희는 특히 요 베이비뵨 바운서 타면 뵨을 잘 보는데 ㅋ는 여기 앉아서 응가해요. ㅋ], 긍정 텍스트 확률 : 88.48%"
"[바로 다음 코스가 응가의자베이비뵨 바운서의 애칭입니다 ㅋ에 앉혀서 모빌 틀어주는데그러면 여기서 응가해요. 심지어 우리집에 놀러온 아기도 여기 앉아서 응가했어요 ㅋㅋㅋㅋㅋ ], 긍정 텍스트 확률 : 94.07%"
"[ 요즘은 그래서 맘마 먹이고], 긍정 텍스트 확률 : 61.95%"
"[응가의자 앉히기 전에 일회용 기저귀 샥샥또 변비 생길수 있거든요? 그러면 유산균도 먹이는데유산균 먹이는 날에는 응가를 번도 할때가 있어서 그때도 촥촥 ], 긍정 텍스트 확률 : 86.93%"
