"[ 제목광고밍크뮤], 부정 텍스트 확률 : 63.82%"
"[ 블루독베이비 천안발신광고★밍크뮤], 부정 텍스트 확률 : 53.29%"
"[블루독베이비 천안 빅세일★기간 및 시간 . .일], 부정 텍스트 확률 : 90.45%"
"[단 하루오전 시오후 시 분 상품할인밍크뮤], 부정 텍스트 확률 : 66.22%"
"[블루독베이비주소▷천안시 서북구 입장면 독정리 번지 동도로명입장면 도림길문의 무료수신거부], 부정 텍스트 확률 : 53.29%"
"[ 서양물산 창고개방 행사블랙프라이데이를 맞아 하는 행사인건가현장사진을 찍지못한이유는 처음 접하는 충격과 공포 때문.시분쯤? 도착했는데 가는길부터 좀 이상했다 여타 쇼핑몰느낌이 아닌진짜 시골 구석진 창고창고개방 행사이런건 처음가봐서그런지 낯설었음 줄이 이미 명가량 서있었다 그리고 큰 비닐 봉투를 나눠주는데 왜주는지몰랐음], 부정 텍스트 확률 : 99.36%"
"[ 문 열자마자 막 빠른걸음으로 달리며 쓸어담는사람들오 이거 신선하다예전에 에서 봤던장면같음 ㅋㅋ아기옷 할인행사 하면 막 달려가서 싸우며집는 그런거근데 싸움까지는 필요없을듯ㅋㅋ전체품목세일 이라고한다같이왔던후배는 마구마구 담은다음에 계산전에 다시 정리하라고 했다하지만 사지도않을건데 아무거나 막 담기가.. 좀그랬다약 분뒤 계산줄앞에서 가득찬 비닐봉투에서하나하나꺼내며 고르는모습이 보였다다 그렇게하는구나ㅋㅋㅋㅋ], 부정 텍스트 확률 : 97.83%"
"[ 직원들도 별.. 대수롭지않게여겼다 그렇게 남겨진옷은 다시 판매 박스로 던져졌다ㅋㅋㅋㅋㅋ보물찾기결과는 이렇다 총 가격 만원 결제가 만원하하하ㅋㅋㅋ집에와서 후회했다더샀어야해...], 부정 텍스트 확률 : 96.51%"
"[ 지금입힐 우주복 ㅋ둘째엄마들이 막 집길래 나도 몇개 사봄기저귀갈기 편안한 내복이제유니클로 잘가ㅋㅋ 원래도 잘안샀지만ㅋㅋ똑딱이 밍크뮤 슈트 우주복은 아주 유용하게 입힐거다가격은 만원대 ㅇㅇ면은 건조기에 돌려봤는데 좋은면인것같다아 신나.. ], 부정 텍스트 확률 : 59.62%"
"[ 사이즈미스 블루독베이비 뭔 이런 큰옷을 샀어언제입히나 이거 입을때가 여름이라면 ㅋㅋㅋ못입고지나가는거아닌가요그래 .. 막살거면 차라리 더 큰걸사야함 지나가는 걷는여자아기 아빠에게이애가 지금 입는 사이즈가 뭐냐고 물어봤음ㅋㅋ근데 애기아빠모름..ㅋㅋㅋ???그렇구나 모를수도있구나다른 애기엄마가 설명해줌 아무튼멍하게 서있으면서모르는사람들에게도움을 받음ㅋㅋ 이런건 늘어나서 사지마라이거는 살만하다 등등..창고개방 행사 초짜에게 도움을 주신 여러분감사했습니다..ㅋㅋㅋ 복받으실거에요], 부정 텍스트 확률 : 98.99%"
"[ 밍크뮤 신발ㅋㅋ 사고 엄마한테욕먹은신발ㅋㅋ 이런신발은 계절이 안맞으면 그냥 못신고 발이 커버린단다ㅋㅋ몰랐다 대신 신을사람..ㅋㅋ ], 부정 텍스트 확률 : 96.54%"
