"[이제 시원한 기저귀와는 잠시 이별하고 새로운 기저귀를 찾아나서야 할 때가 되었습니다..기저귀발진도 안나면서 새지 않고 활동하기에 편하고 부드럽고 흡수력이 좋은 아기 기저귀는 없는지 찾아보다가 좋은 기회로 오로라 기저귀’를 사용해보게 되었고 괜찮은 제품 같아서 소개해드리려고 합니다.. ], 부정 텍스트 확률 : 98.09%"
"[형광증백제], 부정 텍스트 확률 : 53.29%"
"[중금속], 부정 텍스트 확률 : 53.29%"
"[포름알데히드 등 개 항목이 불검출된 안전한 기저귀입니다..미국 소비자 제품 안전위원회로 유아용품 안전관리를 담당.. ], 부정 텍스트 확률 : 57.10%"
"[샘방지], 부정 텍스트 확률 : 53.29%"
"[뭉침방지로 아기가 사용하기에 더욱 불편함이 없도록 만들어졌어요...박스패키지보다 비닐패키지가 더 예쁜거 실화입니까?.인테리어 액자같은 예술적 느낌이예요. 감각있는 디자인이 눈길을 사로잡습니다.. ], 부정 텍스트 확률 : 86.98%"
"[한개는 한국사이즈표기가 되어있었어요. 결국 두 기저귀 크기는 같은데 미국과 한국의 표기만 다를 뿐이예요. 미국 단위 파운드는 약 키로이고 파운드는 약 키로이기 때문에 미국 미디움한국 라지 인 셈이예요...헷갈리시다면 그냥 과일로 보셔도 될 것 같아요. 과일이 같은거니까 같은 사이즈겠구나 저도 그냥 그렇게 생각했어요..딸기감레몬 이상.. ], 부정 텍스트 확률 : 82.10%"
"[ ..스킨핏 팬티 기저귀는 앞], 부정 텍스트 확률 : 65.34%"
"[뒤표기가 되어있긴하지만 잘 보이지 않는 위치에 작게 써있어서 자칫하면 바꿔입힐 수도 있겠더라고요. 그렇지만 절대 헷갈리지 않을 방법은 바로 엉덩이쪽은 피니시 테이프가 붙어있다는 것..앞 뒤 글자 구분말고 피니쉬 테이프가 무조건 엉덩이로 가게 입히시면 될 것 같아요.. ], 부정 텍스트 확률 : 89.71%"
"[정말정말 무지무지 부드럽습니다 엄청 보들보들 부드럽고 얇더라고요. 이게 바로 베어스킨 원단인가? 하는 생각이 들었습니다. 이렇게 부드러운 아기 기저귀라면 아기들이 입었을 때도 포근하겠다는 생각이 들었어요.. ], 부정 텍스트 확률 : 86.24%"
