"[ 흡수력까지 최고 ], 긍정 텍스트 확률 : 96.42%"
"[ 세 달째 우리 햇살이의 엉덩이를 지켜주고 있는 친환경기저귀 밤보네이처 왜 진작 이 브랜드를 몰랐을까 싶을 정도로 만족하며 사용하고 있어요. 임신하고 출산준비물을 준비할 때 빠질 수 없는 것이 기저귀잖아요. 브랜드도 많고 종류도 많고저는 세상이 바뀐 것을 모르고 예전부터 제가 알고 있던 기저귀 브랜드가 전부인줄 알았었는데요. ㅎㅎ 많은 엄마들이 육아용품 관련해서는 아기를 위해 더 좋은 성분], 긍정 텍스트 확률 : 96.12%"
"[더 좋은 원료를 사용한 제품들을 찾다보니 세계적으로 유명하지만 우리나라에서는 잘 몰랐던 브랜드들이 많이 소개되고 있는 것 같아요. 밤보네이처 기저귀도 년 월부터 정식 수입되었다고 하구요.], 긍정 텍스트 확률 : 98.27%"
"[ 좀 더 관심을 갖고 열심히 알아보고 기저귀를 선택했어야 했는데 지금이라도 알고 우리 햇살이에게 채워주고 있으니 얼마나 다행인가요. ㅎㅎ 제 주변에도 물어보니 아직 모르는 분들이 계시더라구요. 이렇게 좋은 기저귀 더 많이 알려져서 많이많이 사용했으면 좋겠다는 마음이에요. 우리 아기가 살아갈 환경까지 생각한 친환경기저귀], 긍정 텍스트 확률 : 99.97%"
"[방부제 성분 드잉 없어야 받을 수 있는 인증 밤보네이처 기저귀는 이 인증을 세계 최초로 받았다는 것 아니겠어요. ], 긍정 텍스트 확률 : 61.31%"
"[ 그리고 밤보네이처 소재가인증을 받은 천연목재 펄프인데요. 미국 캘리포니아 청정지역의 삼나무에서 추출한다고 해요 계획된 벌목으로 자연을 보호하고 다른 기저귀에 비해 더 많은 펄프를 사용해서 흡수력까지 좋아요. ], 긍정 텍스트 확률 : 64.90%"
"[ 보통 기저귀는 노란 섬유질을 하얗게 하기 위해 화학성분을 사용해서 표백을 하거든요. 하지만 밤보기저귀는 무염소 산소표백을 한다는 점 발암물질이 발생하지 않는 표백법으로 잔여화학물질을 .까지 제거해요. 얼마 전에도 화학물질 검출 때문에 한동안 난리가 났었잖아요. 사람들이 측정하는 기기도 사서 집안에 있는 제품들에서 검출되는지 하나하나 측정해보고아기가 사용하는 제품에는 특히 이 화학성분 여부를 중요하게 체크해야 할 것 같아요. 아기피부나 면역력은 성인보다 훨씬 약하니까요. 원료 선택에서부터 공정], 긍정 텍스트 확률 : 75.28%"
"[폐기까지 모든 과정에서 엄격한 친환경 요구 사항을 충족해야한 받을 수 있는 인증이에요. 이 정도면 정말 믿고 사용할 수 있는 기저귀인 듯 해요 ], 긍정 텍스트 확률 : 93.32%"
"[ 우리 햇살이도 하나 뽑아서 살펴봅니다. ㅎㅎ 생후 개월인 햇살이는 요즘 초도 가만히 있지 않고 모든 것에 호기심이 있어요. 눈 앞에 보이는 모든 걸 다 건드리고 만지고 뜯어봐야? 한다는 ㅎㅎ 자기가 매일 입는 기저귀인데도 볼 때마다 이리보고 저리보고 자세히 봐요. 손으로 만져봐도 부드러움이 느껴지는 밤보 기저귀 천연 목재펄프를 사용했기 때문에 자극이 없고 흡수력이 강해요. 소재가 고급이다보니 통기성도 좋아서 우리 햇살이 엉덩이도 항상 뽀송하게 지켜준답니다. ], 긍정 텍스트 확률 : 95.16%"
"[ 흡수력 테스트를 하고 수분을 잔뜩 흡수한 모습이에요. 처음에 그렇게 얇았던 기저귀가 저렇게 팽창을 하니 넘나 신기한 것그리고 얼마 후 휴지로 눌러봤는데 흡수력이 어찌나 빠른지 묻어나는 것이 거의 없었어요. 이렇게 흡수를 잘 하니까 아기가 밤새 착용해도 아침에 뽀송뽀송한 것 같아요. ], 긍정 텍스트 확률 : 57.59%"
"[바깥에서 한 번 잡아주니까 샐 일이 없어요. 이중으로 샘방지막 있는 기저귀 중에서 제가 본 것 중 가장 넓은 것 같아요.], 긍정 텍스트 확률 : 86.74%"
"[ 이 이중 구조의 샘방지막이 아기 다리를 부드럽고 편안하게 감싸주거든요. 정말 초도 쉬지 않고 이리 저리 구르고 앉았다가 섰다가 돌았다가 난리?인데 ㅋㅋ 그 와중에도 한 번도 샌 적이 없는 건 정말 인정해줘야 할 듯 ㅎㅎ 친환경 천연 유래 성분을 사용해서 자연분해되고 환경을 보호하는 밤보네이처 요즘 썩지 않는 기저귀가 정말 큰 환경문제로 떠오르고 있잖아요. 우리 아기들이 살아갈 환경에 더 관심을 가져야 할 때인 것 같아요. 밤보 기저귀는 친환경이면서 자극없이 흡수력까지 최고이니 정말 마음에 들어요. 기저귀에 패턴에 사용된 잉크까지 중금속이 배제된 수용성 잉크라는 점 이래서 세계적으로 인정을 받고 있는 것 같아요.], 긍정 텍스트 확률 : 98.67%"
"[ 환경을 생각하고 우리 아기를 생각한다면 친환경기저귀 밤보네이처 사용하시길 추천드려요. 우리 햇살이도 같이 추천하네요. 그래도 햇살아 먹는 건 아니야 ㅎㅎ아래에서 만나보세요.▼▽▼ ], 긍정 텍스트 확률 : 96.30%"
"[월말. 세상 아기아기하던 개월부터. ], 긍정 텍스트 확률 : 59.94%"
"[ 그리고 솔직하게 느낀 단점도 모두 쏟아내 볼게요 ㅎㅎ ], 긍정 텍스트 확률 : 95.37%"
"[ 사실 저는 기본라인만으로도 충분히 만족중이라.드림이 훨씬 더 좋다? 이런 느낌은 아니었어요 그럼에도 불구하고 밤보드림을 함께 사용한 건밤보네이처에는 짱군 단계의 팬티기저귀가만들어지지 않고 있기 때문이에요 ㅠ제가 밤보네이처의 단점이라고 생각하는 부분 ], 긍정 텍스트 확률 : 94.46%"
"[ 그래서 항상 밤보드림 팬티기저귀와밤보네이처 밴드기저귀를 함께 놓고팬티기저귀가 꼭 필요한 순간에만밤보드림을 사용하고 있답니다 ㅎㅎㅎ짱군이 도통 누워서 기저귀를 갈려하지 않아서어쩔 수 없이 팬티기저귀를 사용해야 했는데..사실 요새는 팬티기저귀 사용 비중이하루이틀에 한 개? 정도 밖에 되지 않아밤보네이처 기본라인을 훨씬 많이 쓰네요.왜냐면], 긍정 텍스트 확률 : 88.31%"
"[요샌 그냥 짱군이 서 있으면선 상태로 밴드를 채우거든요 ㅋㅋㅋㅋㅋ둘째 엄마의 기저귀 스킬.....밤보네이처가 가지고 있는 장점은밤보드림도 모두 가지고 있기 때문에기본라인인 밤보네이처를 기준으로장점을 언급해 보도록 할게요], 긍정 텍스트 확률 : 73.06%"
"[ 어제 아침 짱군 기저귀 모습이에요.그저께 축구를 보다가 ..전반전 끝나고 허겁지겁 짱군 재우느라기저귀 갈아주는 걸 깜빡했거든요.아침에 일어나서 어플을 보니세상에.. 기저귀 갈아준 게 시간 전..시간을 갈아주지 않은 기저귀는소변으로 꽉차 있었는데요.기저귀를 벗겼을 때 방금 쉬야를 했는지살짝 수분감이 느껴지긴 했지만반나절이 넘게 기저귀를 했다고..피부가 짓무르거나..발진이 생기거나..그런 적 단 한번도 없어요 그 이유는 아무래도], 긍정 텍스트 확률 : 90.35%"
"[ 뭔가], 긍정 텍스트 확률 : 51.53%"
"[ 엄청나게 까불거리고 굴러다니는 짱군인데.바깥쪽의 샘방지 날개가허벅지를 딱 감싸주어서 마음 놓여요. ], 긍정 텍스트 확률 : 94.88%"
"[ 요렇게요], 긍정 텍스트 확률 : 68.85%"
"[ 아이 둘을 키우면서여러 브랜드의 기저귀 많이 사용해봤죠.그래서 더욱 부각되는 밤보네이처 장점요 주름없는 밴드인데요. ], 긍정 텍스트 확률 : 81.48%"
"[ 플랫형으로 디자인이 되어 있어서.기저귀를 몸에 꼭 맞게 하고 있어도몸에 생기는 자국이 최소화되는 느낌이에요.기저귀의 특성상 자국이 전혀없다면 거짓이겠지만.주름이 자글자글한 타사 기저귀 썼을 때아이 등이며 배에 남는 붉은 자국 보니다른 기저귀로 갈아타질 못하겠더라구요 ㅠㅠ ], 긍정 텍스트 확률 : 97.27%"
"[ 편안해보입니다 ], 긍정 텍스트 확률 : 51.44%"
"[팬티기저귀 입힐 때조심조심 하는데요 살짝 번거롭다고 느껴지기도 하지만..생각해보면 접착부분이 강하다는 건...그만큼 아이에게 해로운 성분이더 많이 함유되었다는 거니까.... ㅠㅠ엄마인 제가 조금 번거롭더라도아이에게 좋은 제품을 사용하는 게 맞는 것 같다는 생각이 들어요 입힐 때 조심하면서부터는], 긍정 텍스트 확률 : 98.13%"
"[ 친환경기저귀 또 하나 단점을 찾자면], 긍정 텍스트 확률 : 53.61%"
"[ 솔.직.히. 아이 피부에 가장 좋은 걸 생각하자면.천기저귀 써야겠죠... 그렇겠죠....하지만 저는 도저히.. 천기저귀 빨아가며아이를 키울 자신은 없고.....차선으로 선택한 것이 친환경기저귀.첫째가 개월쯤 기저귀 뗐으니...둘째도 그쯤 떼는 것을 목표로 생각하면.아직도 기저귀 사용할 날이..사용해온 날보다 훨씬 기네요 ㅠㅠㅠ ], 긍정 텍스트 확률 : 81.86%"
"[신생아기저귀로 추천할 수 있답니다이제 저도], 긍정 텍스트 확률 : 69.15%"
"[쟁여놓은 기저귀 다 쓰기 전에특가에 눈을 반짝이는 소비자가 되어야겠네요.둘째 엄마가 정착한 신생아기저귀밤보네이처입니다 ♡ ], 긍정 텍스트 확률 : 82.98%"
"[년동안 공급해온 자연유래성분 기저귀라고 해요 ], 긍정 텍스트 확률 : 51.91%"
"[ 저희 아가는 태어날 때부터 장염이 있어 대변을 정말 자주 보고], 긍정 텍스트 확률 : 68.57%"
"[그로 인해서 발진까지 생겨서 기저귀에 예민할 수밖에 없었어요발진 때문에 기저귀 유목민 생활까지ㅠ그러던 중에 친환경기저귀 밤보네이처를 알게 되었어요 ], 긍정 텍스트 확률 : 94.81%"
"[독일더마피부테스트인증까지까다로운 인증을 모두 통과한 제품이라는 점인데요 ], 긍정 텍스트 확률 : 86.35%"
"[ 특히노 르딕에코 스완마크인증 은표백제], 긍정 텍스트 확률 : 87.56%"
"[형광증백제 성분이 없어야 받을 수 있다고 해요친환경 제품인 만큼 나쁜 성분은 모두 배제하고 만든 착한 기저귀네요특히알레르기], 긍정 텍스트 확률 : 90.88%"
"[습진 또는 피부 자극을 유발할 수 있는 위험 성분이 없어야만 받을 수 있는 덴마크 인증서 아스마 알러지 블루라벨 까 지 받았으니 습진에 취약한 저희 아가가 믿고 사용할 수 있는 제품이라는 것이 마음에 들었어요밤보네이처와 밤보드림 두가지 종류가 있구요 ], 긍정 텍스트 확률 : 79.73%"
"[ 기저귀는 총 단계까지 있더라고요지금 저희 아가는 생후 일 남아], 긍정 텍스트 확률 : 61.94%"
"[ 아 기저귀가 정말 얇다겹의 얇지만 강력한 흡수 시스템이 대량의 수분도 빠르게 꽉 잡아준다는 점여름이나 밤기저귀로 정말 좋을 것 같아요 ], 긍정 텍스트 확률 : 70.70%"
