"[...우리 춘삼이는 일 이후부터 밤에 통잠을 잔다..그전에 몇번 시간 자더니], 긍정 텍스트 확률 : 65.96%"
"[ ...아이엠트루 제품을 구매하게되건 스마트한 엄마가 되자는 슬로건도 마음에 들었고 내가 후원하는 세이브더칠드런에 후원중인거도 마음에 들었고], 긍정 텍스트 확률 : 91.80%"
"[무엇보다 깔끔한 디자인과 할인중인 가격에 구입을 결정하였다... ], 긍정 텍스트 확률 : 74.04%"
"[ ...주문하고도 일되는날 받은 아이엠트루 아기쿨매트..꽤 가볍고 보관가능한 더스트백도 있어서 올여름 휴가를 가게되면 이것도 짐이지맘 그래도 부피 걱정 많이 하지 않고 챙겨갈수 있을거같다... ], 긍정 텍스트 확률 : 98.22%"
"[ ...왼쪽은 거즈커버이고 오른쪽은 방수커버이다..하나만 사기엔 .. 혹시나 하는 마음에 둘다 샀다..디자인의 선택권은 ㅁㅐ우 제한적이었으나 그래도 맘에 드는 거즈커버가 있어서 방수커버는 쉽게 구매했다... ], 긍정 텍스트 확률 : 59.70%"
"[ ...오자마자 바로 세탁기 돌렸더니 날이 쨍한날 몇시간만에 마른 거즈커버. 동물들이 다양하게 있는데 이걸 구먀한 가장 큰 요인은 코끼리. 춘삼이는 코끼리를 좋아하는거 같기 때문에. 우리집에 있는 코끼리 액자를 보면 아주 그냥 방긋방긋 잘 웃는것으로 유추해본다.... ], 긍정 텍스트 확률 : 60.88%"
"[ ...방수커버나 거즈커버 여밈은 지퍼로 되어있고 또한 이렇게 매쉬처리가 되어 아이가 잠들고 나서도 일정온도 유지가 가능한거 같다... ], 긍정 텍스트 확률 : 61.08%"
"[ ....방수커버는 아무래도 방수를 위해 비닐재질같다. 고급적인 비닐느낌이랄까. 다만 바스락거리는 느낌이 가볍진 않으나 완전히 없다고 말하기는 아쉬운 부분이 있다. 그래도 여름에 금방 마르는듯 하다.... ], 긍정 텍스트 확률 : 54.30%"
"[무화학비료], 긍정 텍스트 확률 : 51.42%"
"[ 스마트 컨슈머마더를 합쳐서 스맡 컨슈마더라고 하네요합리적 소비자는 언제나 혜택의 높은 곳에 서있다 요즘 같은 시대에 메이드인 코리아 제품을 사용하는 게 좀 더 안심이 되죠.스마트 컨슈마더라면 다른 프리미엄 유아제품과 꼼꼼하게 비교해보세요.개봉하면 버려질 고가의 제품포장을 심플하게또한 중간 유통마진을 없애 소비자의 부담을 줄이고본사의 프리미엄 영업이익을 대폭 줄였습니다 ], 긍정 텍스트 확률 : 98.84%"
"[ 디자인은 가지입니다. 귀엽], 긍정 텍스트 확률 : 85.00%"
"[파스텔 캔디. 둘다 귀여운 디자인이지만 저는 아기가 흥미를 가질 수 있게 동물 그림이 있는 귀엽 디자인으로 선택소형휴대용 사이즈는 로 무척이나 컴팩트한 사이즈입니다.물티슈랑 사이즈 비교해보세요 ], 긍정 텍스트 확률 : 86.24%"
"[ 보통의 방수요는 뒷면은 사용할 수 없게], 긍정 텍스트 확률 : 53.49%"
"[단면만 사용하는 디자인이 많은데요.아이엠트루 제품은 사계절 상황에 맞춰서 양면 모두 사용이 가능합니다.앞면은 대나무 순면 원단입니다.그리고 그 밑에 폴리에스터 흡수층 폴리우레탄으로 완벽방수 그리고 뒷면은 오가닉 테리 원단으로 보송보송한 느낌으로 사용할 수 있어요.단], 긍정 텍스트 확률 : 53.78%"
"[사실 사용할 때는 앞 뒤 구분없이 사용가능한 양면 방수요입니다. ], 긍정 텍스트 확률 : 75.70%"
"[ 아이엠 트루 無 무], 긍정 텍스트 확률 : 51.42%"
"[무 표백제], 긍정 텍스트 확률 : 51.42%"
"[무 화학비료], 긍정 텍스트 확률 : 51.42%"
"[ 뒷면에 얇은 티슈 장을 깔아요.그리고 컵에 물을 담아서 부어봅니다. ], 긍정 텍스트 확률 : 58.38%"
"[ 뒷면에 깔려있던 티슈는 하나도 젖지 않고 보송보송방수요를 깔고 기저귀를 갈아주면], 긍정 텍스트 확률 : 70.23%"
"[이불과 매트리스를 보호할 수 있어요. ], 긍정 텍스트 확률 : 55.42%"
"[사용하다보니 괜찮아요.현재 개월 아기가 앉아서 놀 수 있는 사이즈입니다.매트리스 위에 쭉 깔아두기 보다는... 기저귀 갈이용으로 잠깐 휙휙 펼쳐 쓰기 좋은 미니 사이즈입니다. ], 긍정 텍스트 확률 : 79.26%"
"[ 폴더매트 위에 깔아두니 꼭 이불 위에 앉아있어요.튤립 사운드북 장난감 가지고 한참을 놀고 있습니다. ], 긍정 텍스트 확률 : 82.92%"
"[ 이러저리 활동성 있게 움직여도 바스락거리지 않아서 좋아요.그리고 도톰하면서 뭔가 따뜻한 재질감이라서추운 날에는 덮어도 괜찮더라고요?ㅎㅎ게다가 엄마들 외출할 때 보온병], 긍정 텍스트 확률 : 99.70%"
"[이 방수요는 정말 작아서 가방에 쏙 접으면 정말 작은 사이즈라 편해요. ], 긍정 텍스트 확률 : 60.51%"
"[ 관심있는 분들은 링크 클릭해서 방문해보세요. ], 긍정 텍스트 확률 : 77.71%"
"[착한 프리미엄 출산브랜드 전문 판매 .?아이엠트루아이엠트루 입니다 비싼 유아용품이 아닌 합리적이고알찬 가격으로 만나볼 수 있는 아이엠트루품질은 좋고], 긍정 텍스트 확률 : 50.74%"
"[ 오늘 소개할 저희 아이엠트루 제품은 신생아천기저귀 추천을 해보려고 합니다 믿고 안전하게 사용할 수 있는 천기저귀로많은 사랑은 받고 있는 제품], 긍정 텍스트 확률 : 88.41%"
"[ 대나무로 제작된 신생아천기저귀의 경우 엄격한 안전인증을 통한 품질관리 로 아기의 피부에 건강하고 안전하게사용할 수 있는 제품입니다.], 긍정 텍스트 확률 : 74.22%"
"[면 로 제작되었습니다.대나무 섬유는 면의 .배 흡수력과자연항균항취 작용으로 예민하고 민감한 아기 피부에 적합하게 사용해보실 수 있으세요또한], 긍정 텍스트 확률 : 62.87%"
"[아이엠트루에서만확인할 수 있는 타월과 목욕제품은 아기 피부에 자극이 갈 수 있는나염화학염색을 하지 않은 제품 들입니다. ], 긍정 텍스트 확률 : 80.96%"
"[ 피부트러블을 유발할 수 있는 화학적인항균처리가 아닌 대나무 섬유의 자연적인항균성], 긍정 텍스트 확률 : 67.65%"
"[ 아이엠트루 홈페이지를 방문해보시면 신생아천기저귀의 엄마들의 리얼 후기 만족도를직접적으로 확인해보실 수 있습니다 신생아 엄마라면그리고 출산을 앞두고 있는 예비맘이라면부담스럽지 않은 합리적인 가격으로신생아 용품 접해보실 수 있습니다알찬 가격과 최고의 제품 만나보아요 ], 긍정 텍스트 확률 : 98.24%"
"[ 사실 앞면만 보고], 긍정 텍스트 확률 : 63.48%"
"[대나무오가닉 양면 방수요 라고 해도 딱히 와닿지 않았는데 받고 나서 만져보고선 뒷면이 더 맘에 들었다ㅎㅎ ], 긍정 텍스트 확률 : 84.47%"
"[ 일단 아기가 누워 자거나 기저귀를 갈때 살갖이 닿는 요 이기 때문에 세탁부터 해줬다. ], 긍정 텍스트 확률 : 95.46%"
"[ 주말에 여행을 가기위해 짐을 싸는데 그림이 이쁘니 가방 속도 환해지는게 넘무 기분이 좋당ㅎ ], 긍정 텍스트 확률 : 51.85%"
"[ 오가닉 제품이다 보니 서우가 근처에서 놀다가 끌고와 먹어도 안심이 되네요ㅎ아기피부에 닿아도 좋은 부드러움이라 이불처럼 혹은 이부자리에 깔아서 써도 된다고 하니 효율성이 굿이다. ], 긍정 텍스트 확률 : 97.43%"
"[안녕하세요 나나에요 이번주 일목까지 완도에 있는 소안도에가서 쉬다 왔답니다 ㅎㅎㅎ 날씨가 너무 안 좋아서 사진도 많이 못찍고 집에만 박혀있었던건 아닌지 조금 아쉽기도 하더라구요 그래도 넘나 재밌었던 세가족 첫 여행이었어요.오늘은 아기수면조끼 후기를 남겨보려고해요 출산선물로도 정말 딱이더라구요 거기다가 맨날 목욕하고나서 속싸개로 닦아주곤 했는데], 긍정 텍스트 확률 : 99.67%"
"[아기 바스타올도 하나 있었으면 좋겠더라구요 그럼 후기 남겨볼게요 ], 긍정 텍스트 확률 : 72.61%"
"[ 이렇게 귀여운 무늬의 아기수면조끼와 아기바스타올이에요. 출산전부터 목욕하고나서 어떤거로 닦아야하나엄청 고민하면서], 긍정 텍스트 확률 : 76.87%"
"[똑딱이가 옆부분과 윗부분이 단추로 되어있어서 입고 벗기기가 정말 편리하더라구요 ], 긍정 텍스트 확률 : 87.64%"
"[ 처음에는 굳이 아기수면조끼 꼭 입혀야될까 ? 생각했었는데], 긍정 텍스트 확률 : 81.97%"
"[요즘에 일이 넘어가더니 하도 이불도 발로 차고 ㅠㅠ 아침에 보면 이불도 안덮고 자고 있더라구요 ㅎㅎ 그래서 이럴때 수면조끼가 필요하겠구나 싶더라구요 재질도 시원해서 한여름에도 입힐 수 있겠더라구요 여름엔 아무래도 아가들 바디수트가 반팔반바지다보니 감기걸릴 우려도 있으니깐요 ], 긍정 텍스트 확률 : 95.28%"
"[ 수면조끼라고 해서 어른들 수면양말이나수면바지처럼 두꺼운 재질일 줄 알았는데 얇은 재질로 되어있어서 조금 놀라웠어요 ㅋㅋ 생각해보니 아가들은 열이 많다보니 두툼한것보단 이렇게 거즈면으로 나오더라구요 또한 국내 생산 로 꼼꼼한 재질이에요 원단부터 봉제까지 국내생산으로 퀄리티를 관리하더라구요], 긍정 텍스트 확률 : 99.11%"
"[ 수면조끼의 사이즈는 사이즈와사이즈가 있어요 저희 아가는 아직 일 조금 지난 아가라서 사이즈면 맞겠더라구요 ㅎㅎ 입고 벗기기가 편해서 저는 제일 좋았어요 심지어 디자인도 많아서 고르는 재미도 있더라구요 대나무와 오가닉 섬유로 만들어져서 아가들이물고 빨아도 위생적이고 건강하고 쾌적하게 이용할 수 있어요], 긍정 텍스트 확률 : 91.50%"
"[ 아이엠트루는 한국소비자만족지수 위인만큼소비자들이 아이에게 좋은것만 주고픈 마음으로 만들어져위를 한게 아닌가 싶어요 아기수면조끼덕에 울 아가 배앓이도 안하고 정말 포근하게 잠 잘 수 있겠더라구요], 긍정 텍스트 확률 : 87.35%"
"[옆부분의 똑딱이그리고 기저귀를 갈 수 있게 밑쪽에도똑딱이가 있기 때문에 아이들이 잠 자고 있을 때에도 편안하게 기저귀도 갈 수가있답니다 정말 제가 친한 동생이 임신해서 곧 아가를 낳는데 출산선물로 하나 해줘야겠어요 ], 긍정 텍스트 확률 : 59.09%"
"[오가닉이기 때문에아기 피부에 안전하고 믿을 수 있는 유럽 오코텍스도 인증받은 제품이라 아이들에게 입히는데 있어서 걱정 없이 이용할 수 있는 장점이 있답니다], 긍정 텍스트 확률 : 74.28%"
"[ 여름에는 시원하게 입힐 수 있는 거즈 재질이기 때문에 더위 걱정 안하셔도된답니다여름엔 아무래도 에어컨을 키고 있다보니 아기들도 추위를 느낄 수 있잖아요 ?하지만 요 아기수면조끼 하나면 아가들 추위는 커녕 아주 편안하게 잠잘 수 있을듯하네용], 긍정 텍스트 확률 : 76.47%"
"[성인 수건마냥 너무 거칠더라구요 ㅜㅜ 그래서 잘 쓰지 않게 되어서 속싸개로 늘 사용하곤 했는데아이엠트루 바스타올은 너무 보들보들해서 계속 사용하고싶더라궁그래서 몇장 좀 더 구매해놔야겠어요 ], 긍정 텍스트 확률 : 83.51%"
"[ 놀라운 흡수령을 자랑하는 바스타올 덕분에 젖은 머리도 금방 말릴 수 있고 또한 여유있는 사이즈 덕분에 목욕 후에 아기가 춥지않게 포근하게 감싸줄 수 있더라구요 ], 긍정 텍스트 확률 : 85.60%"
"[ ㅋㅋㅋㅋ보들보들 아이엠트루는 제품 자체가 정말 최고의퀄리티를 가지고 있어요 아기들을 위한게 정말 보이더라구요 엄마들이 아무래도 자기 아기들에겐 제일 좋은것만 해주고싶기 마련이잖아요 ?정말 재질도 그렇고], 긍정 텍스트 확률 : 78.99%"
"[아이들에게 해가 되지않고 좋은 원료들만 이용해서 제작 되어서 너무 좋더라구요], 긍정 텍스트 확률 : 57.52%"
