"[안녕하세요 아인맘이에요날씨가 ...정말 쌀쌀해졌어요저도 두꺼운 가디건과 코트를꺼냈답니다 ㅎㅎ내일부터는 서울억새축제가 있는날 신났어요 벌써부터빨간단풍잎도 간간히 보이는걸보니], 긍정 텍스트 확률 : 99.26%"
"[더 설레여요그리고 오늘은 임신주 증상과], 긍정 텍스트 확률 : 74.42%"
"[꼭 필요한 태.아.보.험 관련해서사은품정보도 함께 가져왔거든요흠 보통 이 시기쯤되면 입덧이 멈추는 편이라고 하던데저는 오히려 초기땐 괜찮다가 갑자기 심해진 편이라..하루종일 배멀미를 하는 기분이고구역질만 나는게 아니라 정말 쓴물까지 토할정도라먹는거 다 포기하고 집으로 돌아와 요양을 했답니다..배가 차야지 속이 편해질텐데편해질 틈도 없이 물만마셔도 토가 나와정말 순간 무슨 큰 병에라도 걸린줄 알았어요..그래도 그 여운이 가시고 나니 많이 진정되어 너무 다행인거죠 ㅠㅠ이 때 신랑이나 저나 기형아 검사를 앞두고 있는 시기라민감예민 최종조합으로 똘똘뭉쳐있어서먼가 불안함이 느껴졌는데요.그래서 좀 더 서둘러 태.아.보.험을 알아보기 시작했어요 ], 긍정 텍스트 확률 : 97.50%"
"[ 일단 저는 기형아검사전에 준비를 다 끝내놨는데요보통의 경우], 긍정 텍스트 확률 : 52.10%"
"[ 이번에 알아보면서 느낀게 년 월 이후로 개정이 되었더라구요.금액이 올랐다고는 하는데 솔직히.. 큰 차이를 못느끼겠어요.전체적으로 왕창 오른게 아니기도 해서..ㅎㅎ그치만 가장 크게 차이나는게년 월 개정으로 납입 방식이 크게 바뀌었더라구요.년 월 이전에는 뱃속에 있을때부터 회까지 동일한 납입금액을 내는 형식이었는데월 이후부터는 금감원 지침으로 출생 전과 출생 후 보장도 다르게보험료를 따로 산정해서 내는 방식으로 바뀌었답니다출생전], 긍정 텍스트 확률 : 61.58%"
"[ 후를 생각해 이중으로 체크하셔야 할 것 같아요그리고 더 좋은건 뱃속에 있을때는 사실 보장받을수 있는 항목들이 얼마없잖아요?그럼 받지않는건], 긍정 텍스트 확률 : 73.98%"
"[페이백된다는 사실★즉], 긍정 텍스트 확률 : 65.77%"
"[ 대여섯곳의 설계를 받아보고 비교해보고제가 최종결정한곳은 바로 현.대이유는], 긍정 텍스트 확률 : 65.04%"
"[년동안 점유율이 위더구나 명중 명이 들었을정도로많은 사람들이 든곳이기도 하고좋다는 입소문이 참 많잖아요청구도 가장 빠르게 지급된다하고보통은 청구하면 당일입금되고가입자가 많아그런지], 긍정 텍스트 확률 : 68.43%"
"[세에 비해 조금 되지만물가 상승과 상관없이 보.장이 된다는 점이 크게 달랐는데요.저는 년납 세 만기로 현대해상에서 만원 후반대로 처음 설계를 받았거든요.일단 세 만기를 먼저 받았던 이유가.태아보험인 만큼 보장내용이 아가에 맞춰져 있다는 점.기간이 다르지만 성인질병에 맞춰서 만 세로 길게 하기엔보장이 조금 부족하다는 생각도 들었어요.그리고 년 뒤엔 어떤 보장과 물가대비 어떻게 지원될지 몰라서지금은 질환에 대한 진단비가 괜찮아 보일 수 있지만년 뒤에는 이 진단금이 물가대비 맞을까 이 부분이 고민이되더라구요.글고 년 뒤엔 아이가 스스로 보험을 들 수 있는 능력이 될 것 같다는 생각이 들었어요.하지만], 긍정 텍스트 확률 : 99.01%"
"[다시 성인때 드려하면그 항목은 빠져야한다는 단점이 있어서....안전하게 세로 가져가고], 긍정 텍스트 확률 : 91.40%"
"[ 모자란건 그때그때 추가하는게 더 유리할것 같더라구요그래서 저는 결국 세로 ㅎㅎㅎ또한], 긍정 텍스트 확률 : 88.37%"
"[여러가지를 비교해보면서 상담받는게 좋더라구요처음 세를 기준으로 설.계를 받은 내용들은주로 어린이 위주의 내용이였지만], 긍정 텍스트 확률 : 50.87%"
"[세 만기 등제가 원하는대로 만.기를 설정할 수 있다는 복층설계라는 점이큰 메리트였죠물론 저는 보.험.설.계.사도 아니고 전문가도 아니기 때문에무조건 제가 하는말이 정답이라는건 아니에요.저도 상.담을 통해 생각이 많이 바뀐케이스고바뀐 생각은 또 언제든 바뀔 수 있는거니지금 제가 알아보고 느꼇던 점들을 설명하는거니최종 결정하는데 참고만 하셨으면 좋겠어요 ㅎㅎ ], 긍정 텍스트 확률 : 83.71%"
"[ 저는 뭐 첨에 보험의 보자도 모르는 상태에서 알아보려고 하니지인이 있는 것도 아니고 그냥 인터넷으로 좀 검색해보다가 다이렉트몰에 상.담.신.청을 한뒤 설.계를 받았는데요이후에 카페에서 카시트랑 유모차를 많이 받았다는 분들의 후기들이 많이 보이더라구요.그래서 그 쪽으로도 상.담을 받아보니 맘에 들었던 내용에서 좀더 가성비좋고 알차게 가입하면서상담선물], 긍정 텍스트 확률 : 97.63%"
"[가입선물도 푸짐하게 챙기니까 너무 좋더라구요.아기모자], 긍정 텍스트 확률 : 97.38%"
"[ 턱받이], 긍정 텍스트 확률 : 50.43%"
"[ 물티슈 등도 챙겨주시고고가의 유아용품도 모두 챙겨받을 수 있어서아주 만족만족 대만족이였어요ㅎㅎ큰 차이도 없는데 같은 돈내는데 선물을 못받는다니 억울한 감이생길 수 밖에 없잖아요?다이렉트몰 참고를 하셨더라도 한 번 더 사은품을 많이 주는 곳이 있는지 다시 상.담을 받아보는 것도 권해드리고 싶네요 ㅎㅎ ], 긍정 텍스트 확률 : 64.93%"
"[ 물론 선물은 납부하는 금액에 따라 조금씩 달라질 수 있다고 하던데그럼에도 아주 좋은건 다 챙겨주는 것 같더라구요개인적으로 다이치카시트와 아기띠 너무 끌렸는데..이거에 대해선 다시 후기 남겨보도록 할게요 ㅎㅎ사실 오프라인으로 알아봐도 이정도의 선물을 주는게 기본인지까진알아보진 않았지만..저는이정도만 줘도 너무 크고 감사하다고 생각해요. ], 긍정 텍스트 확률 : 94.98%"
"[ 더군다가 다이치카시트는소비자고발에서 순성산업과 함께안전성에서 위를 차지한제품이라해요국내], 긍정 텍스트 확률 : 59.60%"
"[국외제품 모두 합쳐서요그만큼 인지도높고 안전한제품이라더 좋았습니다 ], 긍정 텍스트 확률 : 97.35%"
"[ 여기서 끝난줄 알았죠?ㅎㅎㅎ기저귀가방에 물티슈 그리고 체중계까지든든하게 가득받았어요약관도 그리고 청구대행까지 관리해주니 별 차이가 없게 느껴지더라구요.하지만 청구는 요즘 다 어플로 다 신청하니솔직히 설계사분 만나서 전해드리는게 더 번거로운거같기도 하고..ㅎㅎ암튼 지금까지 제가 알아본 태.아.보.험에 대해 설명해 드렸는데요제가 받은 사은품 다 챙기구 보장내역은 알차게 챙겨보고 싶으신 분들은아래 링크를 통해 상담받아보시길 바래요상담만 받아도 푸짐한 사은품이 함께한답니다 ], 긍정 텍스트 확률 : 99.19%"
"[그리고 귀까지 구별할 수 있다고해요또 외부생식기가 발달하는 시기이다보니아직 성별을 구별할수는 없지만 지금부터 생식기가 발달하면서약 주뒤면 남녀생식기가 뚜렷하게 구별이 간다고해요그리고 두개골도 점점 단단해져가고신체비율도 점점 사람처럼 변해간다하네요이제는 배아가 아닌 태아기이기도 하죠또 애기가 성장하면서 저도 몸무게가 많이 늘었는데물론.. 입덧때문에 체중이 주춤하고 빠진 적이 있지만입덧이 잠잠해지니 완전 꾸준히 늘어만 가고 있답니다. ], 긍정 텍스트 확률 : 88.31%"
"[ 혈액량은 점점 증가하면서정맥류 증상도 나타나구요코피도 자주 쏟고 있는데요아무래도 임.신.중에는 혈액량이 늘어나면서혈관도 뚜렷해지고 모세혈관에 압박을 줘서코피 쏟을일도 잦다고 하더라구요호르몬의 영향인지 피부에 기미도 많이 생기는거 같기도하고..한 번 생기는 없어지지도 않는다고 하던데 ㅠㅠ더 심해지면 빨간머리앤처럼 기미가 덕지덕지 끼겠죠?ㅎㅎ아 그리고 이건 정말 잠깐이였지만제가 초기에 입덧이 적었던 대신먹덧이 심한편이였는데신랑도 따라서 먹덧을 하더라구요?제가 요즘 돼지토끼라고 놀리고 있어요 ㅎㅎㅎ ], 긍정 텍스트 확률 : 87.92%"
"[ 무튼 임신주주 사이쯤에 차 기형아검사인 목투명대검사를 받으러산부인과에 방문했어요초음파를 보니 이제 제법 사람스러워졌더라구요 ㅎㅎ누가봐도 머리와 몸통이 구분이 될 만큼 커졌구요팔다리가 꼬물꼬물 움직이는걸 보니 완전 신기 ㅠㅠ선생님 말로는 아직 엄마가 태동을 느낄 순 없지만아기는 활발하게 움직이며 놀고 있다고 하더라구요그말을 들으니 넘 귀엽기도 하고그 비좁은데서 놀려니 정말 갑갑하겠단 생각도 들었어요 ㅎㅎ실제 주 수는 임신주 차였지만 우리 아이는 .로 보통 이 시기의 태.아보다 아주 조금 큰 편이라고 하더라구요 ㅎㅎ그래도 쑥쑥 잘 크고 있구나 우리아가 대견하다 하면서신랑이랑 어찌나 좋아했나 몰라요 ㅎㅎ초기에 조심하라고 해서 그간 너무 먹고 눕고 자고만 반복해서 그런가?뒷목덜미랑 목투명대 두께도 평균치정도였는데요이 두께가 두꺼울 경우 다운증후군 같은 기형 발생 확률이 높다고 하더라구요꼼꼼한 초음파 타임 후 차 기형아검사를 위해 피롤 뽑았어요요즘 피를 참 자주 뽑는 기분 ㅎㅎ그리고 검사하면서 혹시 목투명대검사에서 고위험군 판정을얼마나 받나요? 하고 물었더니대략 명중 명꼴로 고.위.험.군.판.정을 받는다고 하더라구요..생각보다 높은 비율이라 너무 놀랐어요 고위험군으로 정밀검사를 할 경우 대부분은 정상판정을 받으니미리부터 걱정하지 말라고 하시지만..어떻게 걱정을 안할까요 선생님 ㅠㅠ우리 아이 일인데저도 주변에 목투명대검사에서 고위험 판정을 받아정밀검사를 받게 되었다는 경우가 있었는데 확진은 받은 경우가 있었는데확진은 받은 경우가 없긴했어요..그래도 불안한건 어쩔 수 없어요 ㅠㅠ정상이라는 판정이 이 불안감을 잠재울 수 밖에 없을듯결과는 다음 검진 때 알게될 예정인데일단 보는 내내 큰 문제는 없어보였고보험도 든든하게 들어두니 안심이 되더라구요 ], 긍정 텍스트 확률 : 99.68%"
