"[☈항상 상대방을 배려하는 마음을 가졌으면 합니다. 본의아니게 상대방을 상쳐주는 일들이 많아요. ], 긍정 텍스트 확률 : 93.66%"
"[ 원역대가특가 할인 제품을 찾아 보았습니다.제조국 중국 색상계열 핑크계열쿠팡상품번호 인기상품은 조기 품절이 되니 유의하시기 바랍니다.해당 특가정보는 년월일 화요일오후 시 분 기준 입니다.가격과 할인정보는 몇일에서 변동이 될수 있습니다.❤공감과 ✍댓글 달아주세요품절임박 ￣～￣상품 구매리뷰 후기는⬇아래 링크로 확인해주세요⬇▼▼▼ .. ], 긍정 텍스트 확률 : 88.75%"
"[ 책임자와 전화번호], 긍정 텍스트 확률 : 62.66%"
"[ .?엠케이엠케이.?다용도다용도.?기저귀기저귀.?가방가방 이 포스팅은 제휴마케팅이 포함된 광고로 일정 커미션을 지급 받을 수 있습니다. ], 긍정 텍스트 확률 : 52.11%"
"[♥베스트⬇ ], 긍정 텍스트 확률 : 99.57%"
"[ ♥이벤트 엠케이 심플 포켓 기저귀 가방], 긍정 텍스트 확률 : 99.57%"
"[ 원역대가특가 할인 제품을 찾아 보았습니다.▷ 베스트 ▷제조국 중국 타입 숄더백패턴 민무늬색상계열 블랙계열쿠팡상품번호 인기상품은 조기 품절이 되니 유의하시기 바랍니다.해당 특가정보는 년월일 금요일오후 시 분 기준 입니다.가격과 할인정보는 몇일에서 변동이 될수 있습니다.쿠팡에서 일간 최대 추가캐시적립중이에요. 꼭 받아가세요품절임박상품 구매리뷰 후기는⬇아래 링크로 확인해주세요⬇▼▼▼ .. ], 긍정 텍스트 확률 : 98.70%"
"[ .?엠케이엠케이.?심플심플.?포켓포켓.?기저귀기저귀.?가방가방 이 포스팅은 제휴마케팅이 포함된 광고로 일정 커미션을 지급 받을 수 있습니다. ], 긍정 텍스트 확률 : 62.64%"
"[ .. ★★★★★후기 사진도 없구 진짜 살까말까 고민많이했는데급해서 구매했어요 근데 기대를 안해서 인지 .. 너무 만족합니당개월 아기 .키로 에요 아기가 앞뒤짱구인데 모자도 짱짱하니 딱맞아요 흘러내림 어쩌나 했는데 앞에 창이 빳빳해서 괜찮아요 그리고 확실히 상의보다 바지가 좀 타이트해요 어차피 금방크는 애들이라 한해입는다 생각하고 주문했거든요 타이트 한게 엉덩이도 딱붙어서 더 귀여워요 사진으로봐도 상의가 좀 널널해요 자세히보면 박음질이라던가 구김이라던가 좀 그렇긴한데싼맛에 급한대로 산거치곤 아주 만족해요 ], 긍정 텍스트 확률 : 61.86%"
"[ .. ★★★★★사이즈 딱이예요 갤일 아기예요키몸무게 .예요사려다가 한철입힐생각으로 삿는데젖살좀 빠짐 다음해도 입힐수 있을거같아요품이 생각보다 큰편이라 맘에 듭니당물에 들어가보구 추가후기 남기겠습니다수영장 후기예용물빠짐두 색바램두 없이 예뽀용 ], 긍정 텍스트 확률 : 99.73%"
"[ .. ★★★★★급하게 주문했지만 배송은 말 필요없이 빠르고 좋았으며 가격대비 재질도 디자인도 바느질도 너무 맘에 들어요.보는것 보다 아이가 입었을때 더 이쁘고 웬만한 수영복 보다 훨씬 고급스러워 보여요맘에 듭니다 ], 긍정 텍스트 확률 : 99.47%"
