"[ 처음 일회용 분유저장팩을 사용했었는데 장거리외출일 경우에는 저장팩이 유용하지만신생아나 근거리에는 소분케이스가 오히려 더 편할 것 같아서 ㅋㅋㅋㅋ ], 부정 텍스트 확률 : 92.40%"
"[ 외출할 때 필요한 수량만큼만 가지고 나가고 싶었는데대부분 분유 소분케이스는 일체형으로 전체 뚜껑이길래 후기를 엄청 찾아봄그 중 큐비앤맘 분유케이스는 칸마다 뚜껑이 있어 좋았음], 부정 텍스트 확률 : 54.84%"
"[ 두 층을 분리하면 요렇게 ㅋㅋㅋㅋㅋ밑에는 개가 딱 고정되어 있는데 처음에는 저대로 써야하나 싶었다분리가 안되서 당황당황 ㅠ], 부정 텍스트 확률 : 92.62%"
"[ ㅠ 분명히 개 낱개로 사용가능하댔는데 안 빠짐그래서 낱개로 된 제품은 따로 판매하는건지 공식몰도 다시 가보구 부끄 ], 부정 텍스트 확률 : 56.66%"
"[ 그동안 뭐한거지 ㅋㅋㅋㅋㅋㅋ 방울아], 부정 텍스트 확률 : 66.28%"
"[엄마빠 바보짓했움], 부정 텍스트 확률 : 69.90%"
"[ 하나하나 분리해서 사용도 가능하지만 전체 결합상태에서도 분리하지 않고 돌려 사용할 수도 있다큰 뚜껑은 분유를 넣을 때 사용하고], 부정 텍스트 확률 : 97.64%"
"[ 낮에는 ], 부정 텍스트 확률 : 67.88%"
"[밤중수유는 을 먹고있당 ], 부정 텍스트 확률 : 73.36%"
"[ 조리원에서 먹던 위드맘 일 분유를 자알 먹구있는 내새끼], 부정 텍스트 확률 : 63.21%"
"[ 배앓이도 없구 하루 한두번 황금변도 잘 보구], 부정 텍스트 확률 : 83.15%"
"[별탈없이 먹어줘서 너무 고마움감기만 걸리지 않고 겨울나기 잘하자], 부정 텍스트 확률 : 81.04%"
"[히히 벌써 외출할 생각만 하구있당나가서 한 번 고생해봐야 외출할 생각이 안나려나요 ? ㅋㅋㅋㅋㅋㅋㅋ ], 부정 텍스트 확률 : 96.39%"
"[ 우리 방울이는 배고픔을 못 참는 아가 중의 한명], 부정 텍스트 확률 : 68.49%"
"[ 보통 배고프면 찡찡거리다가 우는데 방울이는 깨자마자 울어버림 ㅠ], 부정 텍스트 확률 : 52.19%"
"[물티슈며 분유까지 외출 준.비.완.료방울아], 부정 텍스트 확률 : 73.19%"
"[ .당첨이 딱..사실 월 말에 출산예정이였는데.월 일 조산하여 퐁퐁이가 세상에 일찍나왔어요..바로 니큐로 들어가다보니.출산준비도 못해서.필요한 물건들을 급하게 사야했고..매일 아기 병원면회에.젖몸살], 부정 텍스트 확률 : 61.18%"
"[붓기 등등.몸도 마음도 힘들어 지더라구요...그렇게 하루가 어떻게 지나가는지 .모르게 지냈는데.큐비앤맘 당첨사실을 알고.너무 기뻤어요...택배가 도착했는데.출산하고 받은 선물이라 그런지.더 실감아더라구요...예쁜옷 울 아가한테 입혀볼수있다니 ], 부정 텍스트 확률 : 60.58%"
"[ .달퐁만의 디자인 스럽죠.♡튤립튤립♡..배냇저고리속싸개손], 부정 텍스트 확률 : 75.99%"
"[ 발싸개 모자..선물받고 입혀보고 싶어서.퐁퐁이가 퇴원할날만 기다렸어요...퇴원날 챙겨간 모자와 손발싸개..손발싸개는 아직 너무 커서.다벗겨져서 못하고 모자 잘씌어서 데려왔어요..키로의 작은 아기지만.모자가 잘맞아서 넘 좋더라구요. ], 부정 텍스트 확률 : 85.15%"
"[ .집에서도 속싸개], 부정 텍스트 확률 : 88.91%"
"[ ..커서 못사용했던 손발싸개.이모님 오시고 제자리를 찾았네요ㅎㅎ ], 부정 텍스트 확률 : 65.92%"
"[ 임신하고 산부인과 다니면서 알게 된 임신출산육아잡지 앙쥬 앙쥬샘플팩신청하려고 사이트 들어갔다가다양한 이벤트와 체험단도 진행하는 걸 보고], 부정 텍스트 확률 : 80.49%"
"[출산준비물 세트를 썼었죠 그리고 월 앙쥬 잡지 보다가큐비앤맘 출산준비물 세트 당첨자에 제 이름이.. 두둥며칠 있으니 문자로도 알려주고], 부정 텍스트 확률 : 61.40%"
"[월 일], 부정 텍스트 확률 : 55.72%"
"[일 중 앙쥬 애독자엽서 담당자에게 전화로 당첨자 확인을 해줘야 선물을 받을 수 있다고 해서 캘린더에 저장해놓고 일에 전화해서 주소 확인했더니월 초], 부정 텍스트 확률 : 52.65%"
"[드디어 도착했습니다], 부정 텍스트 확률 : 66.90%"
"[ 아기 욕조는 전에 후기 쓰고 받은 게 하나 있어두 개 가지고 씻기는 용], 부정 텍스트 확률 : 89.45%"
"[ 큐비앤맘 래빗등받이 욕조 ], 부정 텍스트 확률 : 67.17%"
"[ 미끄럼방지를 위해 욕조 팔걸이도 있답니다 길이폭높이사용연령 무려 세 ㅋㅋ ], 부정 텍스트 확률 : 65.17%"
"[ 등받이를 뒤로 돌리면 빨래판이 되는 것이 매우 귀욤 ㅋㅋ아기 씻기고 나서 물 버리기 전에 사용한 목욕타올이랑 속싸개 등 빨래하면 되는 건가요?ㅎㅎㅎ ], 부정 텍스트 확률 : 95.41%"
"[ 달퐁 여우 짱구베개 ], 부정 텍스트 확률 : 53.29%"
"[ 원턱받이를 보니까 문득 생각나는 이사 오기 전 만들던 내 턱받이산..ㅋㅋㅋ티단추만 달아주면 끝인데 귀찮아서 손을 안 대고 있어요 ㅠㅠ 얼른 서재랑 창고 정리하고 티단추 달아서 턱받이 잔뜩 마련하고 뿌듯해해야지 ㅡ], 부정 텍스트 확률 : 75.65%"
"[ 달퐁보이걸 양면 손싸개], 부정 텍스트 확률 : 77.32%"
"[ 원입에 넣어도 무해한 순면 의 양면 손싸개], 부정 텍스트 확률 : 66.45%"
"[ 달퐁속싸개], 부정 텍스트 확률 : 53.29%"
"[ 달퐁 동글구름 양면 배냇저고리], 부정 텍스트 확률 : 73.18%"
"[ 원달퐁 사이트 둘러보다 보니 동글구름 양면 배냇저고리는 핑크와 스카이 두 컬러인데스카이로 보내주신 걸 보니 아들둥이인걸 참고해주셨나봐요친절한 앙쥬큐비앤맘달퐁 ㅎㅎ 나 근데 배냇저고리는 이제 진짜 많아 ㅋㅋㅋㅋ배냇 가운 선물받고 싶다요], 부정 텍스트 확률 : 61.09%"
"[ 달퐁 플라워 바스타월], 부정 텍스트 확률 : 53.29%"
"[ 큐비앤맘 출산준비물 세트 는 하나같이 북유럽풍 디자인으로 아기들이 좋아할만한 캐릭터가 들어 있어너무 귀여운 것 같아요 ♡앙쥬 애독자 엽서한 번 보내고다 합치면 만원 정도의 선물을 받은 것 같은], 부정 텍스트 확률 : 82.43%"
"[ 컴퓨터로 작성해서 보내기 클릭하면 되요], 부정 텍스트 확률 : 65.74%"
"[ 위의 양식으로 작성하면 됩니다 어렵지 않아요참 저는 월달 앙쥬 애독자엽서도 보냈는데], 부정 텍스트 확률 : 65.37%"
"[앙쥬 애독자엽서 큐비앤맘 출산 준비물 세트 ], 부정 텍스트 확률 : 53.29%"
"[월마다 발행되는 앙쥬 잡지 ], 부정 텍스트 확률 : 57.68%"
"[ 나는 . 페도라 컨버터블 카시트휴대용 유모차 각 명. 큐비앤맘 출산 준비물 세트배냇저고리], 부정 텍스트 확률 : 87.03%"
"[손싸개], 부정 텍스트 확률 : 64.12%"
"[속싸개], 부정 텍스트 확률 : 53.29%"
"[짱구베개], 부정 텍스트 확률 : 53.29%"
"[바스타월], 부정 텍스트 확률 : 53.29%"
"[월호 엽서월 접수에 사연 보냈더니], 부정 텍스트 확률 : 64.81%"
"[ 쿠비앤맘 출산 준비물 세트에 당첨됬다], 부정 텍스트 확률 : 64.10%"
"[ 당첨자 발표 게시판에도 큐비앤맘 당첨 확인됨], 부정 텍스트 확률 : 51.08%"
"[ 애독자 엽서 당첨 선물은 업체에서 보내는데], 부정 텍스트 확률 : 70.10%"
"[목 당첨 확인 전화 이후에 목 거의 주만에 받았다.집앞에 엄청큰 택배박스.그리고 착불비는 ], 부정 텍스트 확률 : 79.58%"
"[ 원 욕조등받이사이즈길이 폭 높이 용량 사용연령세], 부정 텍스트 확률 : 85.54%"
"[ 바닥에 온도계가 부착되어 있어서 초보맘들 물온도 맞추기가 쉬울것같음리빙홈짱구베개가격], 부정 텍스트 확률 : 52.36%"
"[ 원 가격택은 ], 부정 텍스트 확률 : 52.97%"
"[ 원좁쌀배개는 아니고 솜배개인데 외피분리가 가능해서 분리세탁을 할 수 있음 ], 부정 텍스트 확률 : 60.32%"
"[ 이제 베넷가운만 준비하면 될것같다. ], 부정 텍스트 확률 : 89.37%"
"[속싸개], 부정 텍스트 확률 : 53.29%"
"[턱받이가격], 부정 텍스트 확률 : 85.15%"
"[커플곰속싸보가격], 부정 텍스트 확률 : 65.83%"
"[사이즈가 커서 맘에듬], 부정 텍스트 확률 : 75.70%"
"[. ..... .... 달퐁구름바스타올가격], 부정 텍스트 확률 : 90.15%"
"[유익균이라고 해서 자연분만 시 아이를 출산할때 아이한테 줄 수 있는 유익균을 만들기도 하고], 부정 텍스트 확률 : 79.56%"
"[질염 예방도 할 수 있다는 그런 내용이 좋았다고 쓰고유두에 각질이 생기기 시작했는데 관리법좀 알려달라이렇게 써서 보냈는데 당첨 됨 . 앙쥬 애독자엽서 보내기...? ...? ], 부정 텍스트 확률 : 87.38%"
"[아들 건우의 겨울옷을 구매하기 위해 들려본 파주 프리미엄 아울렛 매장 유아동복 매장에서 아이옷을 구매한 후 필자와 아내의 옷이나 공산품을 구매하려 했지만 비도 오고 건우와의 동행이 생각보다 힘들었기 때문에 최종목표인 유아동복 쇼핑만 마치고 와야 했던 아쉬운 쇼핑이었습니다.파주 프리미엄 아울렛에서 나름 만족도 높은 유아동복 득템 쇼핑후기를 적어보려 합니다. ], 부정 텍스트 확률 : 71.74%"
"[ 프리미엄 아울렛에서는 명품 위주로 쇼핑하는 쇼퍼들이 많을 것 같지만 대중적인 브랜드 세일을 노리고 방문하는 쇼퍼들이 더 많을 겁니다.정말 필요한 명품 쇼핑은 일반적으로 면세점에서 하기 때문에 리미티드 에디션이나 없는 품목을 제외하면 생각보다 큰 메리트는 없다고 보거든요. ], 부정 텍스트 확률 : 92.99%"
"[ 어느정도 배를 채우니 정신이 돌아오고 본격적인 쇼핑을 시작하였습니다. ], 부정 텍스트 확률 : 89.19%"
"[ 아이들을 위한 놀이기구 열차], 부정 텍스트 확률 : 69.55%"
"[회전목마와 간간히 보이는 장난감 노점상들도 많았습니다.], 부정 텍스트 확률 : 62.49%"
"[ 유아동복을 구매하려면 층에 키즈멀티샵을 찾으면 편합니다. 물론 이곳 키즈멀티샵 존에만 유아동복이 파는 건 아니지만 뿔뿔히 흩어져 있는 타매장을 찾는 것도 일인 만큼], 부정 텍스트 확률 : 63.81%"
