"[ ...요즘 눈에 띄는 기저귀가 있어서 사용해본..애플크럼비 기저귀예요....지금 홈페이지에서 친구추가이벤트중이라], 긍정 텍스트 확률 : 89.18%"
"[ ..원 할인 받을 수 있어요....아기도 밤낮으로 봐야하는데 기저귀 ..핫딜 기다리느랴 핸드폰 잡고 있는거 스트레스인데..이 김에 할인받아서 샀지용 ㅎㅎ ...육아해보니까 기저귀는 정가주고 사는게 ..아니더라구요....ㅎㅎㅎ. ], 긍정 텍스트 확률 : 84.09%"
"[ ...패키지 디자인이 고급져서 완전 제 스타일 ㅎㅎ..너무 깔끔하고 사이즈도 정사각형이라..신생아 선물로도 들고가기 딱 일거 같아요..... ], 긍정 텍스트 확률 : 75.91%"
"[ ...기저귀를 옆에서 열어보면 ..이중으로 샘 방지선이 되어있어서], 긍정 텍스트 확률 : 86.90%"
"[ ..기저귀를 벗기고 돌돌말아 휴지통에 넣으면 ..너무 깔끔하게 정리가 되요. ...전 사실 기저귀 버리기 전에..저 테이프 부분으로..바닥에 빠진 머리카락도 제거해 준답니다 ㅋㅋ..출산하면 머리카락이 많이 빠지더라구요...ㅎㅎ.... ], 긍정 텍스트 확률 : 94.50%"
"[ ....기저귀 안쪽 부분은 애플크럼비만의..벌집모양으로 엠보싱이 나있어서 ..엉덩이를 시원하게 유지해줘요. ....기저귀는 중요한게 흡수성..그리고 통기성이예요. ...흡수력이 좋아도 통기성이 낮으면..축축해지고 피부가 짖무르니까..하루종일 기저귀를 차고 있는 아기들에겐..통기성이 정말 중요해요. ....애플크럼비는 밤 새 사용 후에 ..손으로 만져봐도 수분기가 없고 ..뽀송하게 유지되어 안심되었어요. ........... ], 긍정 텍스트 확률 : 76.27%"
"[ 방향제], 긍정 텍스트 확률 : 57.16%"
"[ 화장수], 긍정 텍스트 확률 : 68.64%"
"[ 프탈레이트 결합제 등 기저귀에 안좋다는 성분들은 모조리 빼고 만들어진 친환경 프리미엄 오가닉기저귀 랍니다그리고 애플크럼비는 자체 실험을 하고 동물실험을 반대는 착한브랜드 랍니다우리아기를 출산하고 생명의 소중함을 느끼면서 착한 브랜드에 더 관심이 많이가고 더 신뢰가 많이 가더라구요 ], 긍정 텍스트 확률 : 85.52%"
"[ 벌써 우리아가는 라지 사이즈에요사이즈표는 인터넷 들어가면 확인하실수 있는데 생후개월 우리아가는 이라서 라지 사이즈 랍니다팩에있으니깐 참고하세요 ], 긍정 텍스트 확률 : 95.38%"
"[ 화이트 코튼이랑 너무 잘어울리는 화이트 컬러의 디자인의 기저귀랍니다깔끔한게 기저귀 디자인까지 제맘을 사로잡더라구요그리고 애플 기저귀는 밤기저귀로도 유명하더라구요 밤새 기저귀 하나로도 사용할수 있답니다사실 자면서 오랫동안 기저귀를 착용해도 될까 새지는 안을까 그렇다고 너무 두꺼운 기저귀를 사용할려니깐 땀띠가 나지 안을까 걱정도 되고 그렇다고 얇은 기저귀 하면 흡수력이 딸려서 발진 날까봐 걱정이되더라구요두께감도 적당해서 외출시 들고다니기에도 너무 좋아요 ], 긍정 텍스트 확률 : 67.94%"
