"[ .지난번 체험팩 써보고 좋아서 팬티형도 체험팩 찾아서 몇개 사봄ㅋㅋㅋ... 사이즈팬티형.우리아기 키..드라이퍼스.훈민정음 .. ], 긍정 텍스트 확률 : 91.79%"
"[ ...기저귀 옆 라인이 움직이기 편하게 되어있고 잘 늘어난다.갈때도 뜯어버리면 되서 편했다..근데], 긍정 텍스트 확률 : 59.35%"
"[ ..특유의 냄새가 난다.굉장히 거슬리는 이 냄새..... ], 긍정 텍스트 확률 : 58.07%"
"[♥쿠팡추천상품⬇ ], 긍정 텍스트 확률 : 99.75%"
"[ 원역대가특가 할인 제품을 찾아 보았습니다.제조년월일 제조국 말레이시아개당 수량 매입수량 개단계 대형쿠팡상품번호 인기상품은 조기 품절이 되니 유의하시기 바랍니다.해당 특가정보는 년월일 화요일오후 시 분 기준 입니다.가격과 할인정보는 몇일에서 변동이 될수 있습니다.쿠팡에서 일간 최대추가캐시적립중이에요. 꼭 받아가세요품절임박상품 구매리뷰 후기는⬇아래 링크로 확인해주세요⬇▼▼▼ .. ], 긍정 텍스트 확률 : 98.70%"
"[고흡수제], 긍정 텍스트 확률 : 57.16%"
"[ 책임자와 전화번호], 긍정 텍스트 확률 : 62.66%"
"[ .?드라이퍼스드라이퍼스.?드라이팬츠드라이팬츠.?팬티형팬티형.?기저귀기저귀.?아동공용아동공용.?대형대형.? 이 포스팅은 제휴마케팅이 포함된 광고로 일정 커미션을 지급 받을 수 있습니다. ], 긍정 텍스트 확률 : 62.64%"
"[ 며칠 전 기저귀 추천 부탁드렸다가여러 추천 및 블로그 폭풍 검색 후리베로 주문했다고 글 올렸습니다. 아래 글은 지극히 개인적인 리뷰이고], 긍정 텍스트 확률 : 90.84%"
"[비방의 목적이 없음을미리 말씀드립니다.아직도 아기에게 맞는 기저귀를 찾아 헤매는 한 엄마의 주관적 리뷰입니다.. 기스 매직], 긍정 텍스트 확률 : 69.77%"
"[네이처발진 나지 않음특유의 냄새 없음쉬를 하면 바로 축축함옷으로 스며들어 안고 있는 내 다리까지 뜨뜻한 느낌이 전달됨 밤에 잘 새서 아기가 깸두께감이 있고 길이가 짧음쉬를 하면 큰 무늬가 나타나서 인식이 용이함.특히 네이처메이드는 아기 살과 닿는 부분], 긍정 텍스트 확률 : 78.35%"
"[크루저발진 나지 않음특유의 파우더 향 같은게 있음다이옥신 논란 후 환불하다가 화딱지 남축축하지 않고 잘 스며듬특히 크루저는 밤기저귀로 아주 좋음두께 무난하고], 긍정 텍스트 확률 : 55.82%"
"[길이감이 있어 등까지 보호함.그러나 브랜드 자체에 대한 의문이 생김.. 이번에 주문한 베로발진 남 . 사용 일만에..쉬를 하면 그 부분의 솜이 재빠르게 뭉쳐서 쉬가 바로 굳게 만드는 것 같은데], 긍정 텍스트 확률 : 73.64%"
