"[ 브레이크는 요렇게 생겨서 발에 힘주지 않아도 가볍게 사용할 수 있구요], 긍정 텍스트 확률 : 89.83%"
"[ 유모차의 핸들링과 안전성을 담당하는 바퀴 모습입니다.핸들링 매우 중요하죠저도 이 부분때문에 좀 더 비싼걸 구입할까 고민 많이 했는데핸들링 부드럽고 괜찮더라고요.올뉴지니 유모차 후기에서 많은 분들이 칭찬했던 부분이기도 하구요. ], 긍정 텍스트 확률 : 90.87%"
"[ 유모차의 안전가드 모습인데요], 긍정 텍스트 확률 : 67.33%"
"[ 폴딩버튼이에요.이걸 눌러주면 한손으로 폴딩이 가능하답니다처음에는 폴딩버튼이 약간 뻣뻣하게 느껴져서 접고 펼때 살짝 헤매기도 했는데몇번 하다보니 금방 부드러워지더라구요. ], 긍정 텍스트 확률 : 97.43%"
"[ 세탁하기 편하게 분리가 쉽게 되어 있는 점도 맘에 들어요 ], 긍정 텍스트 확률 : 85.37%"
"[ 저는 제가 운전을 하지 않기때문에 남편 없을때 애기 데리고 저 혼자 마트를 가거나 외출 하면 짐도 유모차에 은근히 많이 싣게 되는데], 긍정 텍스트 확률 : 50.43%"
"[ 막 엄청 많이 실리지는 않지만 그래도 만족할 정도로는 실어서 다닐 수 있어요. ], 긍정 텍스트 확률 : 59.47%"
"[ 컵홀더를 따로 구매하지 않아도 구성품으로 포함되어 있어서 그 점도 좋더라구요.요기에 아기 물병 꼽아서 다니거나 가끔씩 제 핸드폰도 꼽고 다니는데완전 편리해요ㅎㅎㅎ ], 긍정 텍스트 확률 : 93.89%"
"[ 유모차 구입 하고 괌 여행도 다녀오고 거의 한달째 사용 중인데완전 만족하며 사용중이에요.불편하거나 안좋은점은 아직 찾지 못했어요.인기가 많은 유모차는 다 이유가 있나봐요. ], 긍정 텍스트 확률 : 95.64%"
"[ 올뉴지니 유모차에서 꿀잠자는 저희 아기 모습이에요. ], 긍정 텍스트 확률 : 86.83%"
"[ 유모차 타면 편한가봐요ㅎㅎ외출했을때도 몇시간이고 집에서 자는 것처럼 잘 자더라구요.물론 이제 좀 컸다고 잠에서 깨면 유모차에서 그렇게 내려올려고 난리지만요ㅠㅠㅋ ], 긍정 텍스트 확률 : 74.11%"
"[ 아주 다리 쭉 뻗고 잘 자요ㅎㅎㅎㅎ도도 등 받이 레버 조절이 가능해서 잘땐 끝까지 내려주고앉아 있을땐 바른 자세로 앉을 수 있는 도로 끌어올릴 수 있어요. ], 긍정 텍스트 확률 : 86.64%"
"[ 인천공항에서도 올뉴지니 타고 종횡무진 했던 아기 모습과기내에서 생각보다 잘 버텨준 아기 사진은 뽀나스ㅎㅎ ], 긍정 텍스트 확률 : 96.54%"
"[ 괌 여행 사진 맛배기로 살짝만 풀어 볼까요?ㅎㅎ아기가 유모차에서 꿀잠자고 있을때 살짝쿵 찍어 보았죠그리고 어른처럼 아기에게 썬크림을 듬뿍 발라주기는 찜찜했는데단 풀차양막이라 자외선 차단이 확실하게 되니괌 같이 햇볕이 뜨거운 나라에서도 아기 자외선 걱정은 덜고 신나게 다닐 수 있었어요. ], 긍정 텍스트 확률 : 68.98%"
"[ 저희는 에어서울 타고 괌 여행 다녀왔는데 올뉴지니는 기내 반입 아무 문제없이 잘 되어서진짜 유용하게 잘 사용하고 왔어요.아기 데리고 해외여행시 휴대용 유모차는 선택이 아닌 필수더라구요저처럼 여행 좋아하시는 맘들은 무조건 사세요ㅠㅠ반드시 필요해요.아니면 여행하다가 중간에 집에 돌아가고 싶으실지도 몰라요ㅠㅠ내돈내산 와이업 올뉴지니 한달째 사용후기였어요.아기도 좋아하고 저와 남편도 만족하고 사용하고 있어서 이웃님들께 꼭 소개 해 드리고 싶었네요.유모차 선택에 있어서 도움이 되시길 바래요 ], 긍정 텍스트 확률 : 94.16%"
"[.요즘같이 예쁜 하늘], 긍정 텍스트 확률 : 91.29%"
"[따뜻한 햇살], 긍정 텍스트 확률 : 95.65%"
"[ .가운데 푹 파진 부분에 목을 대어주면 양 옆에 쿠션이 머리를 지지해준답니다...휴대용 유모차를 고를 때 고민이 많았는데요. .제 선택 기준은... 폴딩언폴딩이 쉽게 될 것.. 아기가 편하게 눕힐 수 있을 것.. 가벼운 핸들링.. 기내반입 가능..이었어요..그런데 보다보니 대부분의 휴대용 유모차는 이런 것들이 가능하더라구요? ㅋㅋㅋ.기내반입 가능한 점은 특별하긴 하네요..그럼에도 불구하고 와이업 올뉴지니 기내반입 휴대용 유모차를 선택한 이유는 디테일 때문이었어요.... 폴딩 후 자체 셀프 스탠딩 가능 .폴딩 언폴딩 한 손으로 가능한건 두 말 하면 입 아프구요...절충형 쓰는 지인이 물어보긴 하더라구요. .진짜 한 손으로 되냐규..진짜 한손으로 됩니다. 그것도 힘 안 들이구요..디럭스 쓰다 휴대용 쓰니 신세계였어요ㅋㅋ ], 긍정 텍스트 확률 : 74.02%"
"[ .남편없이 혼자 유모차를 가지고 다닐 때가 있는데 아기띠를 한 상태에서 유모차까지 잡고 있으려면 힘들수 밖에 없거든요...택시 기다리면서 폴딩하고 세워놓으니 그렇게 편할 수가 없어요..폴딩 된 상태로 캐리어처럼 끌 수도 있거든요. ], 긍정 텍스트 확률 : 60.29%"
"[ . 확장형 장바구니 기존에 쓰던 디럭스 유모차는 장바구니가 작아서 기저귀가방을 가방걸이에 따로 걸고 다녔는데 엄청 걸리적 거리더라구요ㅠㅠ근데 와이업올뉴지니는 진짜 짱큼요 ], 긍정 텍스트 확률 : 72.08%"
"[ 발받침 부분 쿠션감 눈으로 보세요 ㅋㅋ뭐 정말 디테일한 후기들은 너튜브나 다른 블로그에도 충분히 많으니 정말 개인적인 경험 위주로 후기 남겨봤어요.선택하시는데 도움이 좀 되셨으면 하네요 ], 긍정 텍스트 확률 : 97.73%"
"[ .교환반품가 제한된다고 해서.이 커다란 박스를 모셔두고 있다.😭 ], 긍정 텍스트 확률 : 58.75%"
"[ .생각보다 에어캡 같은 완충 포장이 없는 편인데.폴딩된 유모차 크기에 꼭맞은 박스라.배송 중 파손없이 안전히 잘 받을 수 있었다.], 긍정 텍스트 확률 : 50.41%"
"[ .앞바퀴는 부착된 상태지만 뒷바퀴는 조립을 해야한다.], 긍정 텍스트 확률 : 79.97%"
"[ .엄지손가락이 있는 부분의 작은 버튼을 먼저 누른 뒤.검지부분의 큰 버튼을 손바닥으로 꾹 눌러준 상태로.유모차를 들어주면? 언폴딩 ], 긍정 텍스트 확률 : 50.75%"
"[ .폴딩 버튼 누른채로 들어올리면 쉽게 펴지고.하단 바브레이크가 달려 있는 막대를 발로.한 번 밟아주면 딸깍 소리와 함께 잘 고정된다. ..언폴딩도 같은 버튼 누른 후 손잡이를.아래쪽으로 누르듯이 힘을 주면 손쉽게 접힌다.], 긍정 텍스트 확률 : 96.64%"
"[ .아가와의 외출엔 짐이 넘쳐나기 때문에.넓은 장바구니는 필수인데 기본적으로도 넓직한 편.자석으로 폴딩된 부분이 있어 더 넓게 쓸 수도 있다.], 긍정 텍스트 확률 : 54.29%"
"[ .와이업으로 선택한 이유 중에 하나인 등받이 레버.리안은 등받이 조절이 스트랩으로 되어 있어서.개인적으로 나는 불편하더라 지극히 주관적 ], 긍정 텍스트 확률 : 53.49%"
"[빨간색이 표시되어 있어.직관적으로 사용할 수 있다.], 긍정 텍스트 확률 : 56.82%"
"[ .휴대용이치고는 시트의 높이가 높은 편이라.지면과 멀리 떨어져 있어서 더울 때 반사열도 덜하고], 긍정 텍스트 확률 : 52.80%"
"[겨울에도 좋을 듯 ], 긍정 텍스트 확률 : 85.30%"
"[ .마치 원래 자기 유모차인듯 ㅋㅋㅋㅋㅋ.상당히 편하게 기대서 티바에 발도 척올린다..뚜벅맘으로 외출할 때 편하게 다닐 수 있을 것 같다. . ], 긍정 텍스트 확률 : 60.93%"
"[ . 기내반입사이즈이긴 하지만 생각보다 부피 큼. ], 긍정 텍스트 확률 : 78.49%"
"[.싸이벡스 미오스 절충형을 잘 사용하고 있었는데.휴대용 사지말고 절충형 오래오래써야지.했었는데... 분명 그랬었는데 ㅋㅋㅋㅋㅋ..개월에육박한 뽁이 점점 무거워져.유모차가 조금이라도 가벼웠음 좋겠다며.유모차 매장을 기웃기웃 거리시는.맞벌이 우리 부부를 대신하여 뽁이를 봐주고 계신 친정엄마ㅎㅎㅎ..원래 전 같았음 뭐 하나 산다할때마다.그만 좀 사라며 말리고도 남으셨을 분이.휴대용 유모차는 꼭 사고 싶으셨나보다ㅋㅋㅋ..거봐 육아는 장비발이랬잖아 엄마ㅎㅎ’..휴대용 유모차 보러가자’라는 말이 떨어지기 무섭게.그 말 나오자마자 당장 가보자며ㅋㅋㅋㅋㅋ.그래서 실물을 볼 수 있는.롯데마트 청량리점 토이저러스 방문 ], 긍정 텍스트 확률 : 90.91%"
"[ .유모차들을 실물로 한 자리에서 볼 수 있는 곳이.많이 없는 줄 처음 알았다.백화점들 전화해도 없는 휴대용 유모차 제품들이.많았는데 롯데마트 청량리점은.그래도 거의 대부분 구비해놓고 있었음.실물보고 직접 비교해보고 살 수 있겠다싶어.저녁 시까지 직원분이 계시는데.저녁 시 분에 간신히 도착.사실 이미 오래 전 온라인을 통해 비교는 대략 끝냈고 .언젠가 휴대용유모차를 사게 된다면.와이업 올뉴지니를 사야지 염두해두고 있던터라.와이업 올뉴지니 있는지 없는지 위주로.찾아봤다 ㅎㅎ ], 긍정 텍스트 확률 : 98.62%"
"[ .와이업 올뉴지니.색상은 스페이스 블랙.가장 많이 하는 인기있는 색상이라고도 설명들었다 ㅋㅋ ], 긍정 텍스트 확률 : 59.17%"
"[ .바가 안전하다는데.게다가 접히기도 해서.아이를 태울때 내려줄때 편하다 ], 긍정 텍스트 확률 : 63.13%"
"[ .시트가 높아 식당가서 하이체어로 사용이 가능하고.지면으로부터 받을 수 있는 유해먼지 열 등에서.아이를 보호할 수 있다는 생각 ], 긍정 텍스트 확률 : 65.21%"
"[올뉴지니까지 각각의 특장점들이 있으니.뭘 중점적으로 볼 것이냐를 따져보면.선택하기에 더 쉬울 것 같다. ], 긍정 텍스트 확률 : 57.43%"
