"[남자아기면 레카로 추천을 많이 한다고 했다.성별의 문제가 아니라 남자아기가 큰 경우가 많아서 그런 듯.저맘때 요요에 탄 아기들 디폴트 자세가 저거다.약간 기우뚱...ㅋㅋ ], 긍정 텍스트 확률 : 90.63%"
"[ 베이비젠 요요 장점예쁘다핸들링이 부드럽다 ★★★★ 백화점], 긍정 텍스트 확률 : 72.55%"
"[정말 내 부주의로 일어난 일이긴 하지만 아찔하더라.그에 비해 지금 쓰고 있는 레카로 이지라이프는 상대적으로 무거운 걸 더 잘 버틴다.그리고 한 손 폴딩은 정말 매력적이다. 튼튼 하기도 하고.나처럼 좀 덜렁거리며. 약간의 안전염려증이 있고.외부에 유모차를 끌고 다니는 걸 좋아하는 엄마에게는 레카로가 더 맞는 듯.뭐 잘 끌고 다니고 있다는 결론입니다. ], 긍정 텍스트 확률 : 99.84%"
"[여러분 잉글레시나 유모차 아시나요 ? 바로 이태리 명품 유모차인데요 리비아노 토마시가 자신이 아끼고 사랑하는 아들들이 안전하고 편하게 탈 수 있는 유모차에 대해 끊임없이 연구하고 고민한 결과 탄생한 브랜드랍니다 아빠의 마음을 고스란히 담아 만들어서 그런지 튼튼하고 좋은 품질은 기본이고 ], 긍정 텍스트 확률 : 96.52%"
"[다양한 악세서리와 독자적인 기술력을 발전시켜 현재의 회사가 되었다고 해요 ], 긍정 텍스트 확률 : 83.30%"
"[갈릴레오다양한 종류 중에서 가장 많은 사랑을 받는 가지만 모아모아 꼼꼼하게 비교해보려고 해요아무래도 이렇게 많은 유모차가 있는 곳이 바로 평택베이비플러스라 절친과 함께 방문해서 육아맘의 선배로서 충분한 대화를 통해], 긍정 텍스트 확률 : 98.93%"
"[사장님의 친절한 설명과 함께 한 것을 정리해보았어요 ], 긍정 텍스트 확률 : 91.72%"
"[등받이 공간은 여유가 있고], 긍정 텍스트 확률 : 60.13%"
"[높고 넓은 후드가 있어서 안락하게 느끼도록 해준답니다], 긍정 텍스트 확률 : 84.55%"
"[ 시그니처 기능으로 원액션 폴딩], 긍정 텍스트 확률 : 57.35%"
"[편안 폴딩으로 많은 엄마들에게 사랑을 받고 있답니다바로], 긍정 텍스트 확률 : 94.64%"
"[등받이는 한손으로 편안하게 접을수 있도록 업그레이드 되어 있어요], 긍정 텍스트 확률 : 90.23%"
"[ .키로그램의 가벼운 휴대성을 자랑하면서도 디럭스급의 안정성을 지닌 초슬림 유모차 인데요. 가볍게 들고 이동하고 ], 긍정 텍스트 확률 : 63.02%"
"[ 무겁다고 아빠를 찾아 외칠필요가 없어요 ], 긍정 텍스트 확률 : 67.53%"
"[아이를 안은 상태에서는 캐리어처럼 한손으로 끌고 이동도 가능하니 휴대용유모차의 왕좌라 할수 있네요], 긍정 텍스트 확률 : 66.91%"
"[아무래도 여행지나 나들이를 떠나보면 길들이 참 험난한 곳도 많아요하지만], 긍정 텍스트 확률 : 65.12%"
"[잉글레시나퀴드 유모차에는 충격 흡수 극대화를 위한 소프트 서스펜션이 있기에 뛰어난 주행성은 기본이고 안정적인 승차감도 제공해준답니다], 긍정 텍스트 확률 : 57.85%"
"[ 등받이는 최대 도로 눕혀지는데요너무 높이 세웠다고 미끄러지는 경우도 종종 있어서 아찔한 적도 있었는데], 긍정 텍스트 확률 : 78.72%"
