"[ 경기 김포시 양촌읍 김포한강로 에 위치하고 있는데요드디어 내일 정식 오픈을 한대요], 긍정 텍스트 확률 : 60.46%"
"[ 유아용품할인매장을 방문하시는 분들이 아마 제일 많이 찾으시는게 유모차일것 같아요], 긍정 텍스트 확률 : 59.06%"
"[ 요즘 핫한 유모차 하면 타보를 꼽을 수 있겠는데맘카페에서 추천도 엄청 많고 후기도 많지요 ㅎㅎ그 타보 베이직 스텝 유모차가 버전이 새로 나왔더라구요.타보를 이거야샵 김포점에서 직접 보고 살 수 있답니다.기본사은품에다가 아리베베 라이너까지 득템할 수 있어요 그리고 꾸준히 스테디셀러인 마마스앤파파스 디럭스 유모차인 오카로 유모차 구매시에는아리베베 라이너 뿐 아니라 휴대용 유모차 버그벅스 항균소독서비스를 선택해서 받을 수 있어요디럭스 유모차를 사도 휴대용윰차는 꼭 필요하거든요], 긍정 텍스트 확률 : 98.99%"
"[ 진짜 대박득템 기회게다가할인까지 된 가격으로 살 수 있으니 진정한 유아용품 패밀리세일 맞지요? ㅎㅎ ], 긍정 텍스트 확률 : 99.13%"
"[ 역시나할인된 가격으로 살 수 있어요.다이치카시트는 베페에서도 할인을 잘 안하는 브랜드인데 카시트 필요하신 분들은 좋은 기회예요저는 첫째 카시트를 토들러나 주니어로 바꿔주려고 유심히 봤답니다. ], 긍정 텍스트 확률 : 83.60%"
"[ 게다가 코스트코와 이케아가 멀어서 가기 힘드셨던 분들께 희소식코스트코랑 이케아 제품들도 구경할 수 있었어요매주매주 새로운 물건들이 입고된다고 하니까 근처 사시는 분들은 자주 들러보시면 득템할 기회가 많으실 것 같아요 . ], 긍정 텍스트 확률 : 90.85%"
"[그 외에도 다양한 생활용품 브랜드들을 이거야샵 김포점에서 구경할 수 있더라구요.에센셜 오일로 유명한 도테라오일도 발견 완전 기뻤답니다. ], 긍정 텍스트 확률 : 75.18%"
"[ 요게 바로 이번 패밀리세일 행사상품인 오카로 유모차인데요], 긍정 텍스트 확률 : 56.36%"
"[ 디자인도 고급스럽고 밀어보니 핸들링 너무 좋더라구요.첫째때 쓰던 디럭스유모차가 험하게 다뤘더니 좀 많이 낡아서 고민이 많이 되더라구요 ㅋㅋ첫째는 그린탐을 쓰면 되는데], 긍정 텍스트 확률 : 73.22%"
"[둘째용으로 신생아유모차 하나 새로 사고픈 지름신이 ㅎㅎ일단 꾹 눌러 참긴 했는데 계속 생각나는건 어쩔 수 없네요. ], 긍정 텍스트 확률 : 97.91%"
"[ 애견용품 파는데서는 저희 남편이 눈을 떼지 못하고 보았답니다.저는 평생 강아지 키울 생각 없거든요.근데 저희 남편은 평생 강아지 키우는게 소원이래요 ㅠㅠㅋㅋㅋ지금도 가끔 이야기해요], 긍정 텍스트 확률 : 85.33%"
"[내가 개를 싫어하는 여자랑 결혼하게 될 줄 몰랐다고요 ㅋㅋㅋ눈으로라도 실컷 보라고 내버려뒀습니다.], 긍정 텍스트 확률 : 66.16%"
