"[ .요렇게 생겼어요..개인적인 생각으로는 디자인이 이뿌지는 않아요..독일 감성ㅌㅋㅋ.. ], 긍정 텍스트 확률 : 68.03%"
"[ ... 바구니가 너무 작다.저는 실내용으로 쓰니까 상관없긴한데 밖에서 쓰실 분들에게는 바구니 작은게 단점일 수 있을듯해요..디럭스 유머차인것치고 넘 작아요 ㅠ], 긍정 텍스트 확률 : 64.31%"
"[ ... 안전밸트 잠금장치.이건 장점일수도 있고 단점일 수도 있는데 저는 단점으로 느껴지는 부분이에요..안전벨트 꽂는 홀더? 그 부분에 잠금장치가 있어서 잠갔다 풀렀다 할 수 있어요 ], 긍정 텍스트 확률 : 74.73%"
"[ ..요 뒤 부분에 열림 닫힘 표시 보이시죠?? ], 긍정 텍스트 확률 : 70.37%"
"[ ..애기가 울어서 급한 상황에는 요 벨트 잠근거 푸는게 너무 짜증나더라구요 ㅠㅠㅠㅠ..물론 안전하기는 하지만 ], 긍정 텍스트 확률 : 84.39%"
"[ .차양막도 뭔가 단단해요 ㅋㅋㅋ ], 긍정 텍스트 확률 : 58.83%"
"[ ...울 애기 빼꼼 ], 긍정 텍스트 확률 : 91.93%"
"[안전성면에서는 절충형이 떨어지지만 사용하기는 훨씬 편한듯하네요...디럭스 사려고 하시는 분들에게 디럭스 콩코드 네오 유모차를 굳이 추천까지는 안할듯하지만 그래도 안전하게 태우는걸 우선으로 생각하시는 분이라면 추천이에요..지금까지 디럭스 콩코드 네오 유모차 후기였습니다.. .?디럭스유모차디럭스유모차콩코드유모차콩코드네오유모차. ], 긍정 텍스트 확률 : 88.25%"
"[내구성도 좋은 것 같고], 긍정 텍스트 확률 : 85.84%"
"[이번에 세탁해보니 유지 관리 측면에서도 손쉬워 디럭스 유모차로서 만족스러운 제품이라 포스팅 해본다.], 긍정 텍스트 확률 : 51.01%"
"[ 세탁하니 새 것처럼 깨끗해졌다. 다시 조립하는 것 역시 밑면의 나사를 고정하면 나머지는 매우 쉽다 나는 물건을 유지관리를 잘하면서 오래쓰는 일이 좋다. 우리 아기 동생이 태어나거나], 긍정 텍스트 확률 : 95.28%"
"[ 디럭스 유모차를 고민하는 사람들이라면 이 제품 선택해도 좋을듯 ㅋ . ], 긍정 텍스트 확률 : 51.21%"
"[여전히 견고하다. 우린 물려쓴거니 더 오래되었겠지만 견고하고 튼튼함이 느껴져서 개인적으로 콩코드제품], 긍정 텍스트 확률 : 70.99%"
"[새 것 같아 기분 좋겠지? 사용감은 실제 사용때보다 대충 보관하면 더 생기는 것 같다. 그러므로 보관에 신경쓰기 좋은 물건 오래 아껴쓰고], 긍정 텍스트 확률 : 82.41%"
"[또 잘 유지관해서 기분 좋게 다른 사람도 쓸 수 있게 하고 싶은게 내 마음. 아주 조금의 지구 사랑 실천이랄까..], 긍정 텍스트 확률 : 99.50%"
"[드.디.어우리여누 유모차 사줬어요콩코드 네오 후기에요ㅋㅋ ], 긍정 텍스트 확률 : 95.02%"
"[ 년형이구요 ㅎㅎㅎ 전 백일지나고 사줬네요ㅠㅠ모든 육아용품은 출산전 준비해서 아가 신생아때 부터 적응시켜야한다는데유모차같은 경우도 미리준비하여 사용법도 숙지해두고 신생아때부터 한번씩 태워줘야 적응도잘하고 크면서 잘탄다더라구요아기태어나고 육아하느라 힘든데 세탁하고 사용법익히고 적용할시간이 없을것같아요ㅠㅠ일단 백화점에서 스토케], 긍정 텍스트 확률 : 99.93%"
"[페도라 다보았어요ㅎㅎㅎ첨엔 무조건 스토케였는데.....실제로보니 와웅.. 제가 느낀건.. 너무 부담스럽더라그요ㅠㅠ 한번쯤은 육아하며 사용해보고싶은 로망인건 인정 높은차체핸들링좋고 튼튼하고 아가랑 눈높이가 잘맞아 좋겠더라구요. 그러나 역시 혼자서는..ㅠㅠ오르빗같은경우도 도 회전에 분리되는게 장점일수도있는데 혼자 들었다 놨다하기엔 힘들겠더라구요첨엔 장점이라 생각했던게 걸렸던 ㅜㅜ그러나 도 회전되는 점은 아기가 커서 미술전시회장이나 아쿠아리움같은곳에서는 정말좋겠더라고요. 여기서 마음이 기울었던 ], 긍정 텍스트 확률 : 99.05%"
"[ 트롤리지는 가볍고 원터치 폴딩이런저런 장단점을 알아보며고민하던차에 콩코드 유모차를 알게되었고매장방문하여 여러가지 비교해보았어요첫째. 완벽한 원터치 폴딩둘째. 핸들링서스펜션셋째. 올블랙의 심플한 디자인 ], 긍정 텍스트 확률 : 97.43%"
"[ 우리여누 첫 유모차시승기얼떨떨하고낭 우리여누 ], 긍정 텍스트 확률 : 87.82%"
"[직접구매하여 사용후 올린후기임을 밝히며 ], 긍정 텍스트 확률 : 83.17%"
"[제주에 와서 경차 렌트하고 .. .?카시트렌탈카시트렌탈하고썬쉐이드 있어서 줄곧 해비치는 자리에서다행히 얼굴에 햇빛이 안들어가서 잠도 잘자 고 잘탔당♡⠀. .... ⠀고객님 이용후기 .. .?제주도렌트카제주도렌트카.. .?제주도카시트대여제주도카시트대여 .. .?제주도유모차대여제주도유모차대여 .. .?제주도해피렌트카제주도해피렌트카.. .?제주도여행제주도여행 ], 긍정 텍스트 확률 : 79.27%"
"[ 제주도에서 카시트 대여렌트카 대여하며 카시트까지 같이 대여하는 곳 알아보다가 공항도 가깝고 카시트도 최신 기종으로 많아서 좋았다 카시트만 타면 잘 자 주었던 봄이 덕에 편한 여행이 되었다 요기 추천. ..고객님 이용후기 .. .?제주도렌트카제주도렌트카.. .?제주도카시트대여제주도카시트대여 .. .?제주도유모차대여제주도유모차대여.. .?제주해피렌트카제주해피렌트카 ], 긍정 텍스트 확률 : 74.71%"
"[ 가족과 함께하는 세 번째 제주여행 두 번째 여행과 같은 이번에도 렌트카는해피렌트카 로 고고공항하고 너무 가깝고 친절은 물론 차 상태도 항상 만족 주아를 위해 카시트도해피 에서원하던 분홍이는 아니였지만 주아가 잘 타고 잘 잤던 거보 니 편했나봐요. ..고객님 이용후기 .. .?제주도여행제주도여행.. .?제주도카시트대여제주도카시트대여 .. .?제주도유모차대여제주도유모차대여.. .?제주해피렌트카제주해피렌트카 ], 긍정 텍스트 확률 : 72.04%"
"[ ..제주도 여행 편하게 잘 하고 왔네. ..고객님 이용후기 .. .?제주도렌트카제주도렌트카.. .?제주도카시트대여제주도카시트대여 .. .?제주도유모차대여제주도유모차대여.. .?제주해피렌트카제주해피렌트카 .. .?탁월한선택탁월한선택.. .?공항근처편함공항근처편함 .. .?엄청난관리엄청난관리 .. .?다시이용해보고싶다다시이용해보고싶다 ], 긍정 텍스트 확률 : 51.43%"
"[ 제주도 여행하면서 빌린 렌트카에서카시트까지 대여해주시는 센스아기들과 함께 여행 중이시라면해피렌트카추천드려용카시트 말고도 유모차도 대여되니 여기서 렌트하세요. ..고객님 이용후기 .. .?제주도렌트카제주도렌트카.. .?제주도카시트대여제주도카시트대여 .. .?제주도유모차대여제주도유모차대여.. .?제주해피렌트카제주해피렌트카 ], 긍정 텍스트 확률 : 95.97%"
"[야무지게 잘 사용했다. .카시트는 다이치 였는데], 긍정 텍스트 확률 : 54.39%"
