"[에그 유모차 구매와 개월 사용 후기육아템], 긍정 텍스트 확률 : 62.66%"
"[ 만원 정도로 결제됐다. 이득하지만 여기서 끝이 아니다배송비와 관부가세가 남아있다호주 배대지는 처음이라 이용하던 배대지가 없었다폭풍 검색으로 하리박스 라는 곳을 알게 됐다배송료도 괜찮고], 긍정 텍스트 확률 : 58.01%"
"[ 원관부가세는 ], 긍정 텍스트 확률 : 79.83%"
"[ 원현재 알마몰에서 같은 모델을 만원에 판매중이니만원 가량 저렴하게 구매했다 ], 긍정 텍스트 확률 : 83.04%"
"[ 관부가세 결제 후 일 후에무사히 집에 도착했다호주에서 대한항공 타고 날아온 에그 유모차 ], 긍정 텍스트 확률 : 52.62%"
"[ 개월간 에그 유모차를 사용해본 후기장점. 바퀴가 잘 굴러감. 핸들링이 좋음. 외출시], 긍정 텍스트 확률 : 84.13%"
"[인줄 알았으니 가끔씩 빠짐... 에그 전용 컵홀더 구매하는게 좋을 듯. 비싸다 만족하며 에그 유모차 사용하고 있다 ], 긍정 텍스트 확률 : 79.88%"
"[.요즘 나가는데 재미 붙인 우래기사실 엄마가......배이비뵨 아기띠로는 이제 무게가 감당이 안돼서.어떤 윰차를 사줘야하나 폭풍같은 검색을 했는데요....최근에 조리원 동기모임 하면서 .유모차 얘기를 한참하다가 .둘째 맘들이 하나같이 첫째 때는 스토케였는데 .요샌 다들 에그 탄다고 하더라구요?..사실 도곡궁 조리원에서 에그 유모차가 .비치되어 있는데 예뻐서눈여겨 봤어요. .그냥 좋은 브랜드구나 하고 넘어갔는데 .얘기를 들으니 너무 태워보고 싶더라구요?. ], 긍정 텍스트 확률 : 94.41%"
"[ .울아가도 나은이처럼 밝고 예쁘게 자라주었으면😍.. ], 긍정 텍스트 확률 : 87.49%"
"[ .차양막은 단계로 모두 다 내리면 이 정도로 .얼굴은 다 가려지는 정도에요. ], 긍정 텍스트 확률 : 75.80%"
"[ .혹시 저같은 분 있을까봐 영상으로 올려봐요......아무튼 초면 접힙니다... ], 긍정 텍스트 확률 : 69.11%"
"[ .강남신세계 퍼스트라운지까지 진출하셨쥬...근데 유모차 끌고가니 키즈존으로 보내네요? ㅠㅠㅠㅠㅠㅠ..하지만 우리아가가 진짜 너무 편하게 앉아있어서 하나도 도 도 아깝지가 않더라구요...바퀴가 크지만 안정감 있고 무게감은 있지만 가벼워서 아기한테 승차감도 좋고 엄마가 운전하기도 좋은 하이엔드 유모차는 역시 다르더군요...핸들부분은 가죽으로 되어 있어서 그립감도 좋구요.. ], 긍정 텍스트 확률 : 70.89%"
"[ .엄마 맘마 다 먹을때까지 가만히 있어달라도 애원했쥬. 근데 정말 잘 앉아있어요. 울애기 사랑해♥️.... ], 긍정 텍스트 확률 : 96.10%"
"[ .에그 유모차 넘 예뻐요..어디 나가도 꼭 한번씩 보게되는 디자인이에요..사람들이 어느 유모차냐고 많이들 물어도 봐요..미마자리랑 많이 고민했는데 전 결과적으로는 디자인면에서 에그가 더 좋더라구요.. ], 긍정 텍스트 확률 : 98.18%"
"[우리는 해외여행갈때 진짜 면세를... 너무 사랑하는 부부다.남편옷은 왠만해선 면세로 해결하고 ㅋㅋㅋㅋㅋ 진짜 이런것 까지 판다고? 할 정도로 신박한 면세쇼핑 세계오죽했음 우리 송서방은.. 롯데면세점 라서 여름휴가 서울에 갔을때에도 라운지 구경도 가볼정도 ㅋㅋ부산 롯데면세점에서는 전용라운지는 없고], 긍정 텍스트 확률 : 53.08%"
