"[예쁜 유모차는 다 너무 비싸서 머뭇거렸다..집에 있는 유모차는 정체불명?], 긍정 텍스트 확률 : 53.80%"
"[둘 중 하나로 옵션이 좁혀졌다. .스토케는 너무 흔하지만 예쁘긴 예뻤고], 긍정 텍스트 확률 : 92.47%"
"[당연한 거고. .고민하다가 남편의 적극 추천으로 오르빗베이비 를 구매하기로 했다 좌우 압 뒤로 회전도 되고 접는 법도 디럭스 중에서 엄청 간편한 편이라고 한다. ..어쨌든], 긍정 텍스트 확률 : 53.60%"
"[그래서 오르빗베이비 로 마음을 굳히고 청담 하이베베 매장에 갔다..가자마자 분가량 직원분의 설명을 듣고], 긍정 텍스트 확률 : 87.18%"
"[ .우리 부부는 아들을 몽골 옛날 아기 같다고 놀리는데], 긍정 텍스트 확률 : 55.02%"
"[방풍커버도 있다던데 우리는 사계절커버만 사고 풋머프는 이벤트 참여해서 받았는데 촉감이 너무 포근하고 부드럽다. .. ], 긍정 텍스트 확률 : 83.96%"
"[ . 가격대가 저렴한 유모차도 아니고 디럭스 유모차는 사용기간이 짧다고 들어서 . 사실 구매하고도 가성비 부분이 조금 마음에 걸렸다. .그런데 한번 외출을 하고 나니까 유모차 아주 잘 샀다는 생각이 절로 들었다. 좌우로 회전되는 것도], 긍정 텍스트 확률 : 90.48%"
"[이 부분은 어쩔 수 없는 것 같다. .화이팅 남편....겨울 동안 애지중지 쓰다가 날씨 풀리면 유모차를 배 더 활용할 예정이다 . ], 긍정 텍스트 확률 : 88.05%"
"[안녕하세요 지니입니다.요즘 부쩍 임신육아 글이 많아지고 있어요 오늘은 다들 출산준비로 많이들 고민하시는 디럭스 유모차에 대해서 포스팅해볼까해요 저는남동생 이 선물해준다고 해서 부담없이 원하는 디럭스유모차 를 골랐습니다. 자연이의 첫 빠방이는 삼촌이 선물해준오르빗입니다..?디럭스유모차디럭스유모차.?오르빗오르빗.?.?오르빗오르빗.?오르빗구매후기오르빗구매후기.?내돈주고산내돈주고산 .?오르빗베이비페어오르빗베이비페어.?오르빗구매후기오르빗구매후기.?대구베이비페어대구베이비페어 .?유모차유모차.?유모차추천유모차추천 .?신생아유모차신생아유모차 ], 긍정 텍스트 확률 : 72.26%"
"[거기서 첫날에 구매한 오르빗입니다. 처음에 유모차를 고민할 때 안전을 생각해서 비싸도 무조건 디럭스였어요. 디럭스 유모차도 종류가 정말 많더라구요 부가부 비], 긍정 텍스트 확률 : 91.23%"
"[생각보다 기능이 너무 좋아서 백화점에가서 몇번 끌어보고오르빗 으로 결정했습니다.], 긍정 텍스트 확률 : 98.54%"
"[ 가장 큰 장점은 선쉐도우부터 프레임까지 전부 취향에 맞게 선택이 가능하다는 점이에요ㅋㅋ 물론], 긍정 텍스트 확률 : 79.13%"
"[세상보기모드], 긍정 텍스트 확률 : 56.87%"
"[ 엄마보기모드], 긍정 텍스트 확률 : 55.21%"
"[베이비페어가 저렴하게 판매한다는 후기를 보고 일부러베이비페어 를 기다렸다가 구매했습니다. 일찍 구매한 케이스지만], 긍정 텍스트 확률 : 58.36%"
"[저희가 출산 전까지 더이상 베페가 없어서 이르기는 하지만 미리 구매를 했어요.♥동생아 정말 고맙다♥ ], 긍정 텍스트 확률 : 99.97%"
"[수요일에 바로 배송이 왔어요 진짜 배달의 민족배송 인정입니다.], 긍정 텍스트 확률 : 63.19%"
"[ 우선 오르빗 본체입니다. 켈리포니아에서 디자인 되었네요ㅋㅋ], 긍정 텍스트 확률 : 85.45%"
"[ 큰박스를 열어보면 뽁뽁이로 잘 포장되어서 왔어요. 손잡이부분도 보호재와 케이블타이로 튼튼하게 ], 긍정 텍스트 확률 : 88.78%"
"[ 사용설명서가 시키는대로 조립을 하면되요. 근데 생각보다 설명은 허술하더라구요..ㅠㅠ 그림을 보면서 유추해가면서 했어요 실제로 생략된 설명들도 있더라구요... ], 긍정 텍스트 확률 : 56.72%"
"[ 사진처럼 은색을 당겨서 큰바퀴를 꽂으면 되요. 딸칵 하고 소리가 나더라구요.ㅋㅋ], 긍정 텍스트 확률 : 88.57%"
"[ 그러면 본체조립 완성ㅋㅋ 쉽죠?ㅋㅋ 사실 조립은 어렵지 않더라구요. ], 긍정 텍스트 확률 : 68.14%"
"[ 알고 보니 더 듬직한 오르빗우리 자연이가 흔들리지 않게 잘 잘수있도록 쾌적한 승차감을 부탁해♥ ], 긍정 텍스트 확률 : 96.29%"
"[간식트레이까지 기본 구성품입니다ㅋㅋ 혜자 오르빗 ], 긍정 텍스트 확률 : 79.11%"
"[ 옆면까지 걸면 탄탄하게 장바구니 완성 앞뒤로 고무로 연결된 장바구니라서 짐을 넣을 때 벌려서 넣으면 됩니다.ㅋㅋ], 긍정 텍스트 확률 : 90.19%"
"[ 시트는 그대로 양쪽 버튼을 누른 뒤 본체에 결합을 해주면 딸깍 소리와 함께 결합이 되요], 긍정 텍스트 확률 : 52.56%"
"[힘의 균형을 잡아주는 디자인이래요ㅋㅋ 뒷면에는 통풍창이 있다네요ㅋㅋ 둘다 저건뭐야? 하고 넘겼었는데 통풍창이였다니...ㅋㅋ], 긍정 텍스트 확률 : 54.49%"
"[ 본체와 시트까지 합체를 한 오르빗 이제 세부적인 악세사리만 달아주면 완성이에요ㅋㅋ], 긍정 텍스트 확률 : 81.86%"
"[ 손잡이와 발판을 각각 꽂아줍니다. 손잡이는 아래쪽에 꽂아야해요 위쪽은 선쉐이도 자리입니다. 발판은 길이 조절하는게 있어요ㅋㅋ 저희는 신생아니까 단계로 셋팅해뒀습니다.], 긍정 텍스트 확률 : 68.48%"
"[ 손잡이는 선쉐이도 있는 곳에 커버가 있으니 걱정하지 말아욥ㅋㅋ], 긍정 텍스트 확률 : 78.17%"
"[ 그리고 오르빗의 또다른 자랑 듀얼컵홀더와 스넥트레이도 기본 구성품ㅋㅋ 있으면 엄청 편해서 돈주고 산다는데 여기는 기본 구성품이더라구요ㅋㅋ], 긍정 텍스트 확률 : 58.30%"
"[ 이제 마지막 상자입니다ㅋㅋ ], 긍정 텍스트 확률 : 81.97%"
"[레인커버와 블랙 선쉐이도가 들어있어요 ㅋㅋ 우선 블랙인데 나중에 베이지도 구매하려구요ㅋㅋ], 긍정 텍스트 확률 : 53.99%"
"[ 열어보면 안전벨트 커버랑 손잡이 커버까지 함께 들어있습니다 ], 긍정 텍스트 확률 : 78.49%"
"[ 선쉐이도 연결은 굉장히 쉬워요ㅋㅋ 그냥 꽂기만 하면 완성], 긍정 텍스트 확률 : 84.93%"
"[ 선쉐이도는 단계로 조절이 가능해요 생각보다 많이 내려와서 충분히 제 역할을 할듯해요ㅋㅋ], 긍정 텍스트 확률 : 68.67%"
"[ 선쉐이도를 쳤을 때와 걷었을 때 입니다ㅋㅋ 확실히 내렸을때가 더 이쁘기는 하네요.], 긍정 텍스트 확률 : 69.72%"
"[ 마지막으로 안전벨트와 손잡이에 커버를 씌워주면서 오르빗 조립을 마쳤습니다 수고했어 오빠], 긍정 텍스트 확률 : 64.79%"
"[ 완성된 우리 자연이의 빠방이 삼촌이 사줬으니 거부말고 잘 타야해 ], 긍정 텍스트 확률 : 52.41%"
