"[ 집에 있을 때 와이프가 안고 있기 힘들기도 하고], 긍정 텍스트 확률 : 71.90%"
"[ 울보 채민이 달래기용으로 미리 구매를 결정했습니다ㅎㅎ지금 장모님 댁에서 자라고 있는 채민이를집안에서 유모차 끌고 다니려구요ㅋㅋ ], 긍정 텍스트 확률 : 74.67%"
"[ 유모차에 대해서는 관심이 적었던 것이 사실입니다.그런데 최근 저희 아파트 네이버카페에서싸이벡스 프리암 년형을 누군가가 파시기에 한번 찾아보니최근 나온 년형의 디자인이며], 긍정 텍스트 확률 : 96.45%"
"[ 그래서 일단 와이프와 싸이벡스에 꽂혀서싸이벡스 매장이 있는 강남 신세계 백화점 층으로 고고 ], 긍정 텍스트 확률 : 72.48%"
"[ 싸이벡스와 더불어 추가적으로 관심있던부가부], 긍정 텍스트 확률 : 68.70%"
"[ 년형 싸이벡스 프리암 로즈골드 프리미엄 블랙 입니다로즈골드 프레임이 제 맘에 쏙 들었죠ㅋㅋ게다가 블랙과의 조화가 상당히 잘 이루어져 있습니다. ], 긍정 텍스트 확률 : 93.59%"
"[ 우리 채민이 여기에 태워서 끌고 다니고 싶었어요ㅋ ], 긍정 텍스트 확률 : 58.72%"
"[ 강남 신세계에 있는 다른 브랜드에 비해디자인 측면에서는 더 우위에 있다고 생각되었고], 긍정 텍스트 확률 : 85.56%"
"[가격도 괜찮은 곳이기 때문이죠.확실히 수원쪽에 신혼부부들이 많다보니ㅋㅋ싸이벡스 프리암 있는 곳이 많지는 않거든요ㅎㅎ ], 긍정 텍스트 확률 : 99.66%"
"[ 베이비플러스 유모차카시트 코너로 들어가니제일 앞에 싸이벡스 프리암과 에그 유모차가 진열되어 있습니다.아마 비쥬얼 투탑이라서 그런게 아닐까개인적인 생각이 들긴 합니다ㅋㅋ ], 긍정 텍스트 확률 : 91.20%"
"[ 그정도면 따로 다른거는 안사도 된다고 매장에서 들었어요.박스 무게는정도하니까 남성분 계시면 괜찮고], 긍정 텍스트 확률 : 59.95%"
"[ 채민이가 있는 장모님 댁으로 가져와서 박스 오픈 ], 긍정 텍스트 확률 : 51.16%"
"[ 이렇게 총 가지의 사은품이 있구요.컵홀더], 긍정 텍스트 확률 : 50.51%"
"[ 다 소독되어 나오기에 바로 태워도 된다지만장모님댁 베란다에서 하루정도 놔뒀습니다로즈골드 프레임 정말 맘에 들었어요 ], 긍정 텍스트 확률 : 89.05%"
"[ 싸이벡스 프리암럭셔리한 가죽 핸들바 ], 긍정 텍스트 확률 : 56.98%"
"[ 아기 고정하기 위한 벨트부분입니다. ], 긍정 텍스트 확률 : 64.31%"
"[유모차를 살 때가 되어보니디럭스 유모차는 이정도는 되어야 아기가 안정감있게다닐 수 있겠구나 싶긴해요ㅎ ], 긍정 텍스트 확률 : 87.43%"
"[좋을 것 같습니다. ], 긍정 텍스트 확률 : 56.20%"
"[한손으로 접을 수도 있을 것 같아요.부피가 줄어드니 집 현관에 놓기도 좋구요. ], 긍정 텍스트 확률 : 65.31%"
"[ 아기데리고 쇼핑이나 장보실 때 유용한 하단부의 장바구니꽤나 깊고], 긍정 텍스트 확률 : 92.52%"
"[다닐 수 있다고 합니다. ], 긍정 텍스트 확률 : 61.76%"
"[ 이렇게 싸이벡스 프리암 유모차 사온지 하루가 채 안지난다음날 아침 ], 긍정 텍스트 확률 : 65.38%"
"[ 우리 예쁜 딸 채민이를 태워봤습니다.처음 눕히자 마자 하늘만 쳐다보더라구요ㅋㅋ맨날 누워있어서 하늘 보는데], 긍정 텍스트 확률 : 96.13%"
