"[안녕하세요 셀린이에요 다들 즐거운 주말 보내고 계신가요?어제 무지막지하게 불었던 태풍을 뒤로하고], 긍정 텍스트 확률 : 95.17%"
"[ 저는 오늘 이케아에 갔다가], 긍정 텍스트 확률 : 62.77%"
"[ 그래서 요즘 매일 끌고 다니는 중이라여러분들께도 보여드리려고요혹시나 제 포스팅을 보시는 분들 중], 긍정 텍스트 확률 : 72.42%"
"[ 유모차는 그 유명한 싸이벡스의 기술력으로 만들어졌는데], 긍정 텍스트 확률 : 84.51%"
"[라구나 블루가 있었는데저는 새틴 블랙으로 선택했어요 때 안타는 블랙이 제일 무난해...ㅋㅋㅋㅋ제가 이걸 선택할 때 중요시하게 본 부분은한 번에 쉽게 접히는지], 긍정 텍스트 확률 : 54.39%"
"[ 운전을 할 때 쉽게 방향 조절이 잘 되는지그리고 허접하지 않은지 등등이었는데지비 큐빗 휴대용유모차는 그 모든 것을 다 충족해주었어요.일단 겉으로 봤을 때 고급스러워서 그 점이 굉장히 마음에 들었고], 긍정 텍스트 확률 : 97.24%"
"[ 끌 때 그 그립감이 너무 마음에 들어요그건 아래에서 조금 더 자세히 설명드릴게요], 긍정 텍스트 확률 : 98.90%"
"[ 지금 검색해보니 만원만원 정도에 팔고 있던데], 긍정 텍스트 확률 : 53.15%"
"[ 핫딜이 뜰 때 사면 저처럼 저렴하게 살 수 있습니다 구매를 하면 쓰윽 답게 엄청 빠르게 집 앞으로 배송이 되어요.박스를 열면 요로케 물건이 딱 ], 긍정 텍스트 확률 : 64.34%"
"[ 박스에서 바로 꺼내어서 비닐을 제거한 모습이에요 모든 게 엄청 꼼꼼하게 포장이 되어 있어서 만족했어요 실제 이 아이의 무게는 .이랍니다 매일 킬로되는 저희 딸랑구를 안다가이걸 들어보니 확실히 가벼웠어요... ㅋㅋㅋ제가 지비 큐빗 휴대용유모차를 사려고 한 결정적인 이유는바로 이 무게감과 원핸드 컴팩트 폴딩 시스템 때문이에요.기존에 절충형을 사용했을 때는무게감 때문에 저 혼자 외출이 버겁더라고요ᅲᅲ또 외출을 하고 집에 돌아와서 윰차 정리를 하려고 하면 한숨이..... ㅋㅋㅋ ], 긍정 텍스트 확률 : 98.25%"
"[방수 기능도 뛰어나대요저는 캐노피 사이즈가 라서 그 점이 굉장히 마음에 들었답니다 안전바도 도 회전해서아기의 승하차도 편리하고], 긍정 텍스트 확률 : 67.98%"
