"[ . .?수국카롱수국카롱 은 바닐라개], 긍정 텍스트 확률 : 51.50%"
"[ .만장굴 가는 길에 들른.?김녕해변김녕해변.?김녕성세기해변김녕성세기해변.모래가 곱고 현지인들이 찾는 한적한 해변이라 하길래 들렀는데 정말 사람도 많지 않고 평화로웠다.순딩이 컨디션만 좋으면 물놀이하려 했는데 겁쟁이라 그런지 무조건 싫다고 했다ㅜ ], 긍정 텍스트 확률 : 60.59%"
"[ .김녕해변을 들렀더니 출출해져서.식사 먼저 하기로 했다.만장굴과 김녕미로공원 가기 바로 전에 위치한 . .?사굴식당사굴식당..이름을 들었을땐 그냥 낡은 식당일 줄 알았는데 외관이 아기자기했고 무엇보다 맛과 인심이 정말 좋다. ], 긍정 텍스트 확률 : 67.69%"
"[ .우리가족은.?옥돔구이옥돔구이 와.?김치찌개김치찌개 시켰는데 아기가 있다며.?성게미역국성게미역국 한그릇 가득 주셨다..옥돔구이는 정말 최고.약간 튀겨서 나오는 구이였는데 밥도둑이었다. ], 긍정 텍스트 확률 : 93.66%"
"[ . .?만장굴만장굴. .?세계문화유산세계문화유산 관왕에 빛나는 엄청난 곳..일단 이 날 너무너무 습한 날씨였지만 만장굴 내부는 정말 시원했기에 잠시간 피서할 수 있었고.아기와 동반할 수 있을지를 고민하는 분들을 위해서.유모차는 절대불가능이고.아기띠 또는 힙시트 하고 오시는 분들은 종종 있었다..순딩이는 잘 걷기 때문에 걸려보려했는데.입구의 계단은 어른도 아찔할 정도로 경사가 심하고 바닥도 미끄럽기 때문에 아빠가 안고 가는게 안전했다.편도정도 거리를 .그것도 울퉁불퉁 미끄러운 길을 돌아오기 때문에.꽤나 피곤하다 . ], 긍정 텍스트 확률 : 92.53%"
"[ .미리 예약을 해야하고.인 만원으로 해산물 식사를 할 수 있다..순딩이는 문어를 잘게 썰어주었더니.넘나 잘 먹었다 .해녀 할머니가 직접 잡은 문어라고 알려주었더니 “할매할매” 그러면서 엄청 신기하고 좋아했다ㅎ.주인 아주머니도 순딩이 귀엽다며 귤도 나눠주시고.정말 잘해주셨다. ], 긍정 텍스트 확률 : 99.53%"
"[ .식사 후 섭지코지 산책을 하려 했으나.비가 너무 세차게 내려서 꼭 가고 싶던 카페 . .?도렐도렐 ], 긍정 텍스트 확률 : 72.03%"
"[ 커피 사진만 봐도 너무 궁금한 맛 같지 않나요? 사실 저 커피맛을맛보기 위해 용산코스를 짜봤답니다. ], 긍정 텍스트 확률 : 62.01%"
"[ 원래 우유들어간 커피는 싫어하는데 사람들의 후기를 보면 너무너무 궁금한 맛이였어요저날은 유모차를 끌고 대중교통을 이용해 보았어요아주미 튜브는 미련하게 가끔 대중교통을 이용하면서 돌아다닙니다혼자서 자동차없이 적은 돈으로 하루 알차게 오면 혼자 희열?같은걸느끼면서..요 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ제가 쓰면서도 맛이간거같네요저질체력이신분은 꼭 자차를 이용하세요 ], 긍정 텍스트 확률 : 53.05%"
"[ 오오오 사람들이 왜그렇게 극찬하는지 알겠더라고요정말 고소한 땅콩맛에 마지막까지 텁텁함 없이 찐한에스프레소맛이쓰다보니 또 먹고싶네요ㅠㅠ 아무튼 사이즈는작고 가격도 사악했지만 맛평점은 별다섯개 인정할 만한 맛이였어요 ], 긍정 텍스트 확률 : 77.86%"
"[ 건물밖으로 나오면 옆에 놀이터가 있어요 거기서 한바탕 놀아주고지하철연결통로로 용산아이파크몰로 이동했습니다.영풍문고안에 가면 지브리 스튜디오 캐릭터샵이 있어요도토리숲의 토토로도 있고 지금은 도라에몽 캐릭터도 전시되어 있다고 하네요고양이 버스도 있어요 이게 잠실몰에가면 또있어요 ㅋㅋ 홍대에도 있다고하더라고요제가 갔을때는 짱구캐릭터 였어요 ], 긍정 텍스트 확률 : 65.55%"
"[ 아이파크몰이 워낙 커서 쇼핑할 엄두는 안나더라고요 돌아오는길에잠들어서 잠깐 쇼핑하고 집에 돌아왔네요 더운 여름날 볼것도 많아서아이파크몰가서 놀다 오시는 것도 나쁘지 않을 것 같아요 ㅎㅎ공연도 있었던거 같아요 저처럼 구경말고 알찬 공연전시 보러가는 코스도괜찮을 것 같 네요 그럼 오늘도 행복하시고 다음시간 이야기에 뵈어요], 긍정 텍스트 확률 : 99.19%"
"[오늘은 많은 분들이 구경 가시는 아모레퍼시픽 미술관], 긍정 텍스트 확률 : 58.65%"
"[호선 신용산역 번 출구랑연결돼 있어서 요즘처럼 추운 날에도 서울 겨울 실내데이트로가기 딱 좋은 것 같아요. 지하철에서 바로 가니 안 춥고 좋더라고요 ㅎㅎ ], 긍정 텍스트 확률 : 99.58%"
"[ 나와서 번 출구로 나오면 에스컬레이터가 있어요. 그거 타고 올라오면 왼쪽 오른쪽으로 나눠지는데 오른쪽으로 들어가면 이어지는 통로가 나와요 ], 긍정 텍스트 확률 : 62.74%"
"[ 별 같은 조명들이 빼곡히 있어요. 독특하고 예쁘더라고요 ], 긍정 텍스트 확률 : 92.83%"
"[ 들어가니 제가 좀 늦게 가서인지 이렇게 조용했어요 ㅜㅎㅎㅎ ], 긍정 텍스트 확률 : 79.51%"
"[ 위의 사진에서 빨간색이 입구에 서있는 제가 있는 자리에요. 전체적으로 보면 ㄱ자 모양이고 양옆으로 커피숍과 식당들이 있어요. 미술관은 위층층으로 가서 입장할 수 있어요 ], 긍정 텍스트 확률 : 83.88%"
"[공감온누리약국], 긍정 텍스트 확률 : 70.58%"
"[ 서울 겨울 실내데이트 층별 안내는 다른 곳에 따로 있었는데 보니 층과 층은 위에 적힌 대로였고 층보다 위 층은 아모레퍼시픽 접견공간으로 이용되고층은 본사 사무실 인 것 같아요.층부터 층은 삼일회계법인 이 이용한다고 하네요 ], 긍정 텍스트 확률 : 96.17%"
"[ 늦게 와서 지하상가는 다 닫았는데 여유롭게 구경은 할 수 있었어요 ㅋㅋ], 긍정 텍스트 확률 : 68.08%"
"[ 안으로 들어가면 카페가 많아요. 식당도 좌석이 많아서 점심시간에도 여러 식당이 있어서 골라갈 수 있을 것 같아요 ], 긍정 텍스트 확률 : 51.69%"
"[ ㄱ자로 꺾었으니 층으로 올라가는 에스컬레이터가 있고 한쪽엔 식당이 있어요.], 긍정 텍스트 확률 : 69.78%"
"[ 육류 요리도 다양한데 중식인데 특색이 있는 느낌이에요. 다음엔 와 보고 싶어요.], 긍정 텍스트 확률 : 96.94%"
