"[쭈쭈네는 지난주 다낭여행을 다녀왔어요 일주일전 급 예약해서 다녀온거라 부랴부랴 준비하느라], 부정 텍스트 확률 : 74.02%"
"[다녀오느라 정신이 없었어요 여행 전 휴대용 유모차를 가져갈까말까 엄청나게 고민을 하다가 가져가야겠다 마음먹고 괜찮은건 다음에 휴대용유모차를 많이 타게될 무렵에 사고 이번엔 가성비 제품을 검색해서 구매했었어요 그게 바로 나단스의 미니플러스 라는 제품인데요 맘카페 핫딜방에서 처음 보고 기내반입도 되서 괜찮은 것 같아서 검색검색하고 주문했는데], 부정 텍스트 확률 : 50.05%"
"[ 폴딩된 상태로 택배박스안에 쏙 들어가있더라구요 완전 가벼워요 무게가 .라고해요 지금 쭈쭈는 디럭스로 스토케 익스플로리 를 사용중인데 솔직히 그건 진짜진짜 무겁거든요], 부정 텍스트 확률 : 57.03%"
"[ 집에서 뒹굴던 쭈쭈를 앉혀봤어요 직전에 똥파티해서 바지를 갈아입혀서 아래위 옷이 다른점], 부정 텍스트 확률 : 94.10%"
"[눈감아주시구여ㅋㅋ지꺼라는걸 아는지 막 요리조리 살펴보더라구요], 부정 텍스트 확률 : 90.88%"
"[ 폴딩할때는 요 스마트버튼만 누르면 초폴딩 가능해요 이래서 다 휴대용 유모차를 추천하는가봐요], 부정 텍스트 확률 : 96.36%"
"[ 이건 관찰창 아기가 잘 있는지 확인하는건 필수], 부정 텍스트 확률 : 60.26%"
"[ 뒷쪽편에 수납공간이 바스켓말고도 있더라구요], 부정 텍스트 확률 : 57.90%"
"[ 바스켓도 넓어서 이제 장볼때 짜증안나겠어요 스토케 익스플로리는 바스켓부분이 너무 단점이라 그동안 혼자 마트갈때마다 짜증났었거든요 ㅋㅋㅋㅋㅋㅋㅋ], 부정 텍스트 확률 : 97.86%"
"[ 이건 잠금장치 ], 부정 텍스트 확률 : 85.78%"
"[ 휴대용유모차 좀 예쁘지도 않고 별로라고 생각했었는데 나단스 미니플러스 꽤 이쁜것 같아요 색상도 블랙멜란지라 고급스럽구요], 부정 텍스트 확률 : 59.43%"
"[ 대륙의 실수라고 불리는 나단스 정말 가성비 갑갑갑 인 것 같아요 미니플러스는 신상품이라 신상할인이 적용되어 저는 저렴하게 샀는데 신상할인이 끝나면 가격이 오르나봐요? 가격이 올라도 다른 브랜드들보단 저렴한 것 같아서 좋은 것 같아요 제품에 어울리지 않는 가격이라 정말 만족만족합니다 기대 하나도 안했는데 정말 잘 써질 것 같아요 첫아기라 첫휴대용유모차라 다른제품들은 써보지못해 비교불가한점 참고해주세요 이상 제돈주고 구매한 나단스 미니플러스 휴대용유모차 후기였습니당 ], 부정 텍스트 확률 : 89.43%"
"[따끈따끈 이제 막 배송된두번째 주니의 빠방리안 절충형유모차를 사용하고 있지만뚜벅이인 내가 차가 없으면 가지고 다니기 쉽지 않고], 부정 텍스트 확률 : 90.52%"
"[ 폴딩이 어려워 아기 안고 혼자 유모차를 꺼내 태우는게 힘들었다.그때 내 눈에 들어온 많은 휴대용 유모차 중에 .?나단스휴대용유모차나단스휴대용유모차.?미니플러스미니플러스가내 마음을 사로잡았다다른 휴대용유모차들중에저렴하면서 튼튼한면 그리고 디자인면에서 내 맘에 쏙 들었다너무 서론이 길었군... ], 부정 텍스트 확률 : 98.98%"
"[ 이게 바로 주닝의 두번째 유모차나단스 휴대용유모차 미니플러스 ], 부정 텍스트 확률 : 93.58%"
"[ 던지지 마시요.. 난 소중하니까 ], 부정 텍스트 확률 : 55.18%"
"[ 박스로 배송중국에서 배송온 제품이라기간은주문 날 부터 일걸려 도착한ㅋㅋㅋㅋㅋㅋㅋ일에 삿구 일에 옴생각 보다 빨리옴ㅋㅋㅋㅋㅋㅋ ], 부정 텍스트 확률 : 72.93%"
"[ 유모차 안 속에 들어있던 사용설명서이제 유모차를 펼쳐보겠숨돠빨리 끝나니까 눈도 깜빡이지 마세요 ], 부정 텍스트 확률 : 98.91%"
"[ .안전클립열기딱 재끼면 됩니다 ], 부정 텍스트 확률 : 51.07%"
"[ . 원터치 폴딩버튼 누르고핸들 위로 천천히 올리기 ], 부정 텍스트 확률 : 60.92%"
"[ 아래에 발꼬락으로 힘을 주면 더 쉽게 고정됩니다 ], 부정 텍스트 확률 : 82.44%"
"[ 끝이여?응끝이여ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ부가적으로안전바 설치그냥 탁 끼우면 끝ㅋㅋㅋㅋㅋ ], 부정 텍스트 확률 : 92.26%"
"[ 등받이도 줄을 죽 잡아당겨 고정시키면 됩니다 참 쉽죠잉? ], 부정 텍스트 확률 : 93.06%"
"[.?나단스나단스.?나단스휴대용유모차나단스휴대용유모차.?미니플러스미니플러스.?대륙의실수대륙의실수 ], 부정 텍스트 확률 : 91.49%"
"[ 사용하려고 내돈 내고 직접 구매해 올린 후기입니다 ], 부정 텍스트 확률 : 92.53%"
