"[나들이 다니는 계절이 어김없이 찾아왔어요. 그래서 저희 가족은 멀리는 안 가더라도], 부정 텍스트 확률 : 74.54%"
"[주말을 맞이하여], 부정 텍스트 확률 : 68.33%"
"[서울 공원이나], 부정 텍스트 확률 : 84.65%"
"[서울 근교로 해서], 부정 텍스트 확률 : 80.71%"
"[그걸 처분하고], 부정 텍스트 확률 : 54.49%"
"[둘째 갖고], 부정 텍스트 확률 : 61.17%"
"[어차피 혼자서 두대의 유모차를 끌고 다닐수 없다는 이유? 또는 핑계로], 부정 텍스트 확률 : 77.76%"
"[휴대용으로 갈아탔거든요. 근데 문제는 이제 둘째가 은근 무게가 나가기 시작했고], 부정 텍스트 확률 : 88.73%"
"[제 무릎에 엄청난 무리를 주고 있더라고요. 그래서 아이를 휴대용 유모차에 태우기 시작했어요. 하지만 유모차 거부가 일어났어요.이걸 해결할려고.. 저희 남편이랑 고민하다가], 부정 텍스트 확률 : 98.07%"
"[착한 가격에 비해 튼튼하고], 부정 텍스트 확률 : 88.59%"
"[실사용 달 후기 랍니다.], 부정 텍스트 확률 : 62.92%"
"[그늘을 만들어 주니], 부정 텍스트 확률 : 81.67%"
"[아이도 눈이 덜 부시면서], 부정 텍스트 확률 : 59.77%"
"[ 이너시트], 부정 텍스트 확률 : 64.91%"
"[풋머프], 부정 텍스트 확률 : 53.29%"
"[손잡이], 부정 텍스트 확률 : 53.29%"
"[컵홀더], 부정 텍스트 확률 : 53.29%"
"[그레이], 부정 텍스트 확률 : 53.29%"
"[네이비], 부정 텍스트 확률 : 53.29%"
"[블랙 그리고 그레이 계열을 많이 사용해 봤고], 부정 텍스트 확률 : 53.74%"
"[더군다나], 부정 텍스트 확률 : 53.29%"
"[선택하게 된 절충형 엔릭스 밴티지 유모차 랍니다.], 부정 텍스트 확률 : 89.10%"
"[얼룩이 조금 지게 되는 얼룩은 물티슈로도 어느정도 커버가 되더라고요. 일반 천 같은 경우는 좀 얼룩이 지거든요. 이너시트도 있기 때문에], 부정 텍스트 확률 : 83.62%"
"[안에 라이너 추가적으로 안해도 되고], 부정 텍스트 확률 : 87.07%"
"[휴대용 태우다가], 부정 텍스트 확률 : 89.07%"
"[다시 절충형 디럭스 유모차로 갈아타니깐 차이가 확연히 나네요.], 부정 텍스트 확률 : 57.45%"
"[울지도 않고], 부정 텍스트 확률 : 61.42%"
"[불편하다면서 하소연하지도 않았고], 부정 텍스트 확률 : 85.20%"
"[유모차 장난감 달아주니], 부정 텍스트 확률 : 71.47%"
"[정말 차와 좀 먼 거리로 이동하는 바람에 짐이 어마어마하게 많았는데요], 부정 텍스트 확률 : 75.22%"
"[익숙해졌고], 부정 텍스트 확률 : 53.29%"
"[이제는 특별한 불편함이 없는 신생아 유모차 랍니다.], 부정 텍스트 확률 : 86.00%"
"[ 요 손잡이는 각도 조절이 가능해요. 위에서 아래로 딱딱 내리는 용도가 아니라], 부정 텍스트 확률 : 60.75%"
"[키가 작거나], 부정 텍스트 확률 : 71.54%"
"[ 요즘 저희 아들한테는 오빠의 의무도 가르치고 있어요. 그래서 아들은 자기가 오빠라면서 아기 유모차 밀어준다고 하더라고요. 좀 미더덥지만.. 자기가 오빠의 의무를 다 하신다고 하니.. 뭐 어쩌겠어요. 하게 해봐야죠 ㅋㅋ유모차가 자신의 장난감 보다는 더욱 큰 편이라서 그런지], 부정 텍스트 확률 : 54.18%"
"[장난감 같은 느낌이라], 부정 텍스트 확률 : 70.33%"
"[더 좋아하는것 같아요. 거기다], 부정 텍스트 확률 : 65.72%"
"[손잡이가 이렇게 밑으로도 접히니], 부정 텍스트 확률 : 64.80%"
"[자기 키에 딱 맞아서], 부정 텍스트 확률 : 88.50%"
"[ 생각보다], 부정 텍스트 확률 : 59.85%"
"[옆 쪽 도로변에 잘 못 걸리더라도], 부정 텍스트 확률 : 96.37%"
"[유모차가 균형을 잘 잡는것이 맘에 들었네요. 아들이 쓸데없이 고집을 피워서], 부정 텍스트 확률 : 66.03%"
"[가는데까지 한번 해봐라.. 유모차가 어차피 끝까지 올라가지 못하고 너한테로 굴러 내려올테니.. 라는 생각으로 냅뒀는데], 부정 텍스트 확률 : 87.50%"
"[엄마의 예상과는 달리], 부정 텍스트 확률 : 82.27%"
"[조금 언덕쪽으로 갔다가], 부정 텍스트 확률 : 59.02%"
"[아이가 방향을 트니깐 그 큰 아이에 비해절충 디럭스 유모차가 말을 들었다는 겁니다. 그러면서], 부정 텍스트 확률 : 84.79%"
"[이래서], 부정 텍스트 확률 : 53.29%"
"[조금 크더라도], 부정 텍스트 확률 : 54.33%"
"[아이한테는 덜컹거리지 않는 유모차를 선물하는거고], 부정 텍스트 확률 : 71.06%"
"[ 오빠 어린이집 하원길에도 이렇게 유모차로 마중나가고 있고요], 부정 텍스트 확률 : 50.03%"
"[이렇게 먼저 안고], 부정 텍스트 확률 : 73.84%"
"[이렇게 먼저 태운 다음에], 부정 텍스트 확률 : 75.38%"
"[앞으로 주욱 당기면 바퀴가 아랫쪽으로 떨어져서], 부정 텍스트 확률 : 85.01%"
"[ 아이가 유모차 타다가 잘 때는 요렇게 도로 눕히고], 부정 텍스트 확률 : 69.58%"
"[사람이 왓다갔다 하는 식당에서는 아이가 있는 쪽을 아기블랭킷으로 가리고], 부정 텍스트 확률 : 55.17%"
"[엔픽스 유모차의 차양막을 열어서], 부정 텍스트 확률 : 61.10%"
"[이렇게 오픈을 해준답니다.], 부정 텍스트 확률 : 54.09%"
"[ 아이가 일어나도], 부정 텍스트 확률 : 58.43%"
"[머리쪽만 열려 있는 부분이 아니라서], 부정 텍스트 확률 : 71.00%"
"[옆쪽으로 아이를 불러서], 부정 텍스트 확률 : 84.70%"
"[제 얼굴을 보여주면], 부정 텍스트 확률 : 80.90%"
"[안심하고 잘 자서전 만족이네요. ], 부정 텍스트 확률 : 54.40%"
"[저도 산책겸 나가고 있는데], 부정 텍스트 확률 : 66.44%"
"[튼튼하네요폴딩이 궁굼하시다면 요 아래 링크 들어가셔서], 부정 텍스트 확률 : 55.34%"
"[엔픽스폴딩영상 한번 확인해 보세요], 부정 텍스트 확률 : 59.35%"
"[ ....가을은 여행의 계절이 맞나봐요 ..아기왕자님도 집보다는 밖을 좋아해서 .요즘 주말이면 항상 외출을 하고 있는데요..힙시트만으로는 조금 있으면 가 될 .왕자를 안고 다니기는 힘이들잖아요 .그런만큼 절충형유모차 벤티지를 늘 챙기고 있어요..안전성도 좋지만 핸들링이 좋아 .부드럽게 끌고 다닐 수가 있어 힘도 많이 안들고 .너무 편하거든요. ], 부정 텍스트 확률 : 81.08%"
"[ 그리고 사실 아무리 유모차추천해줘도 아기가 불편하면 잘 안타고 그러면 의미가 없는데 시트자체도 편안하게 받쳐주지만 발받침 각도도 조절이 되어서 안정적으로 타게 할 수가 있어요성장에 따라 또 상황에 맞게 발받침 조절해주면 되니깐요 ], 부정 텍스트 확률 : 98.43%"
"[절충형], 부정 텍스트 확률 : 53.29%"
"[ 하지만 일단은 절충형의 경우 디럭스의 장점 그러면서도 조금 더 가볍고 폴딩이 잘되고 안정적인지만 생각하시면 될 거 같아요 그리고 사이즈 부분에서도 밴티지의 경우에는 승용차 트렁크에도 딱 맞게 들어가지만 경차의 경우에는 분리하면 들어가지 않을까 싶어요 요건 안해봐서 한 번 사이즈 체크해보셔얄 거 같네요 ], 부정 텍스트 확률 : 93.37%"
"[이너시트], 부정 텍스트 확률 : 64.91%"
"[풋커버는 기본적으로 제공이 되는 거 같아요 여기에 포토후기 등으로 추가적인 방풍커버 등도 얻으실 수가 있는데요 요런것도 따로 구매하려면 최소 만원이상하니깐 몇만원 금방 넘거든요그런 부분에서도 원래 엔픽스유모차 밴티지 가격이 만족스러우실 건데 사은품까지하면 가성비 최고가 아닐까 싶습니다 ], 부정 텍스트 확률 : 67.58%"
"[ 장바구니의 경우에도 딱 정단한 사이즈인 거 같아요 휴대용보다는 넉넉하고 디럭스보다는 살짝 작은 그렇지만 가방이나 아기 블랭킷], 부정 텍스트 확률 : 68.97%"
"[카메라 등 이것저것 다 들어가는게 그냥 절충형부터 쓰시는 분들은 사이즈도 넉넉하고 크다고 느낄 수 있는 크기였어요 ], 부정 텍스트 확률 : 93.33%"
