"[제 블로그는 실 사용후기가 꼭 있답니다이웃추가해두셔서 두고두고 유용한 정보 확인하세요 ], 긍정 텍스트 확률 : 80.62%"
"[ 지카이는 남자ㅋㅋ블로그는 정보 얻고싶어서 검색하지 않나용 ], 긍정 텍스트 확률 : 74.91%"
"[ 아쉽게도 베레쿠는 전용 방풍커버는 없답니다 ㅠㅠ ], 긍정 텍스트 확률 : 64.32%"
"[ 축구하다가 허리나가서ㅠㅠ 지팡이처럼 딛고 다니다가 ], 긍정 텍스트 확률 : 65.41%"
"[ 그럼 뭐가 더 필요한가요 ㅋㅋ불편해서 잠들었을까요..ㅋㅋ유모차가 편하다는거겠죠날씨가 너무 따뜻해서 입고갔던 가디건은 아래 수납함에 던져놨구요 ], 긍정 텍스트 확률 : 52.51%"
"[ 바퀴는 통고무라서 터질염려도 없었구요 ], 긍정 텍스트 확률 : 55.01%"
"[ 이런데를 다녔는데 전혀 막힘없이 부드럽게 다닐 수 있었어요 ], 긍정 텍스트 확률 : 57.24%"
"[내리막 모두 튼튼하게 고정되었어요 ], 긍정 텍스트 확률 : 88.73%"
"[ 아 그리고], 긍정 텍스트 확률 : 55.11%"
"[ 이상 지카이였어요고맙습니다 ], 긍정 텍스트 확률 : 58.98%"
"[역대가 서울닷컴신상품패션해외직구양방향 접이식 어린이 유모차정상가격할인▼판매가격 ], 긍정 텍스트 확률 : 88.80%"
"[ 원역대가특가 할인 제품을 찾아 보았습니다.▷ 출산유아동 ▷ 유모차웨건인기상품은 조기 품절이 되니 유의하시기 바랍니다.해당 특가정보는 년월일 일요일오후 시 분 기준 입니다.가격과 할인정보는 몇일에서 변동이 될수 있습니다.상품 구매리뷰 후기는아래 링크로 확인해주세요▼▼▼ .. ], 긍정 텍스트 확률 : 90.75%"
"[ 매일 매일 쏟아지는 핫 세일 정보♡이웃 추가로 핫 세일 정보 받으세요♥좋은 상품 저렴하게 구매하세요.이 포스팅은 제휴마케팅이 포함된 광고로 일정 커미션을 지급 받을 수 있습니다..?서울닷컴서울닷컴.?신상품신상품.?패션패션 해외직구.?.?양방향양방향.?접이식접이식.?어린이어린이.?유모차유모차.?출산출산.?유아동유아동.?유모차유모차.?웨건웨건.?하루세일하루세일.?마켓마켓.?위메프위메프.?타임타임.?티몬티몬.?소셜커머스소셜커머스.?가정의달가정의달.?쿠팡쿠팡.?여름여름.?번가번가 ], 긍정 텍스트 확률 : 99.72%"
"[ 해당 특가정보는 년 월 일 수요일 오전 시 분 기준입니다. 디럭스유모차 역대가특가 할인 찾아 보았습니다 인기상품은 조기 품절되니 유의하시구요.상품 구매리뷰후기는 아래 링크로 들어가세요 ▼▼▼.. ], 긍정 텍스트 확률 : 61.82%"
"[ 특가인기 상품은 조기에 품절될 수 있으며해당 정보는 년 월 일 시 분 기준 입니다.제품 가격과 할인정보는 시간경과에 따라 변동 될 수 있습니다. ], 긍정 텍스트 확률 : 80.43%"
"[ 소개해드린 상품은구매평 보기는아래 링크를 통해 확인해주세요.▽▽▽ ], 긍정 텍스트 확률 : 52.78%"
"[ 이 포스팅은 쿠팡 파트너스 활동으로], 긍정 텍스트 확률 : 55.11%"
"[일정액의 커미션을 제공받고 있습니다. ], 긍정 텍스트 확률 : 73.48%"
"[ 인기상품은 조기 품절되니 유의하시구요.디럭스유모차 역대가특가 할인 찾아 보았습니다 해당 특가정보는 년 월 일 수요일 오전 시 분 기준입니다. 상품 구매리뷰후기는 아래 링크로 들어가세요 ▼▼▼.. ], 긍정 텍스트 확률 : 61.82%"
"[ 인기상품은 조기 품절되니 유의하시구요.럭스유모차 역대가특가 할인 찾아 보았습니다 해당 특가정보는 년 월 일 금요일 오전 시 분 기준입니다. 상품 구매리뷰후기는 아래 링크로 들어가세요 ▼▼▼.. ], 긍정 텍스트 확률 : 61.82%"
"[한정특가베레쿠 디럭스 유모차 양대면 접이식 통풍필터원 즉시할인가깜짝역대 할인 상품을 열심히 찾아서 리스팅해보았어요특가상품 인기상품은 금방 품절되니 유의하세요해당 특가정보는 년 월 일 월요일 오전 시 분 기준입니다. 상품 구매 상세정보와 리뷰후기를 확인하시려면 아래 링크주소로 들어가세요 ▼▼▼.. ], 긍정 텍스트 확률 : 66.37%"
"[ 인기상품은 조기 품절되니 유의하시구요.모차 역대가특가 할인 찾아 보았습니다 당 특가정보는 년 월 일 금요일 오전 시 분 기준입니다. 상품 구매리뷰후기는 아래 링크로 들어가세요 ▼▼▼.. ], 긍정 텍스트 확률 : 61.82%"
"[ 해당 특가정보는 년 월 일 금요일 오후 시 분 기준입니다. 역대가특가 할인 찾아 보았습니다 인기상품은 조기 품절되니 유의하시구요.상품 구매리뷰후기는 아래 링크로 들어가세요 ▼▼▼.. ], 긍정 텍스트 확률 : 61.82%"
"[확인된 제품은 쿠팡 물품으로 일시 품절이 될 수 있습니다. ], 긍정 텍스트 확률 : 57.25%"
"[보고 계시는 글은 일정 커미션 광고를 지급받는 제휴 마케팅 광고로 이루어집니다. ], 긍정 텍스트 확률 : 58.95%"
"[타오바오 구매대대행 ], 긍정 텍스트 확률 : 57.00%"
