"[ 강추드립니다 개월 아기 태울려고 구매했어요 가격이 저렴해서 부실하진 않을까], 긍정 텍스트 확률 : 76.88%"
"[심플한 디자인 완전 대 만족해요 임신 개월들어가는 저도 한손으로 들기 가볍고], 긍정 텍스트 확률 : 66.73%"
"[애기태워서 끌고다닐때도 가볍고 편해요 이리 편하고 좋은걸 왜 이제서야 구매했나.. 더 빨리살 걸 그랬어요 ㅠ ㅠ], 긍정 텍스트 확률 : 89.74%"
"[ 가격대비 훌륭합니다. 디스 니 사용하고 넘어왔는데 손잡이도 높아서 허리 꼿꼿하게 세우고 밀수있고 아이도 편해서 첫 시승에도 유모차에서 잠들었어요. 가볍고], 긍정 텍스트 확률 : 96.64%"
"[펴고 접기 편하고 등받이 조절되고 햇볕 차단도 잘 되고 생각보다 튼튼해요. 이 가격에 이런 유모차라니 대 만족입니다. 최고입니다. 진짜진짜 가볍고 디자인 이쁘고 이 가격에 이런제품을 받을줄이야... 정말 타사 인기많은 유모차 브랜드들 제품보다도 훨씬 좋습니다. 저희 조카가 살인데 유모차 밀기 너무 편하고 가볍다고 하네요 ㅋㅋ 요즘 매일 이렇게 산책다녀요 ㅋㅋㅋㅋ 너무너무 만족합니다. ], 긍정 텍스트 확률 : 99.99%"
"[이게 없었음 어쩔뻔했나 여러번 생각하며 고맙게 다녔습니다. 가볍고 저렴하고 이 가격에 이 정도면 훌륭한 제품이에요.], 긍정 텍스트 확률 : 94.47%"
"[ 와... 기대 이상이에요. 구매할때 중요했던게 ], 긍정 텍스트 확률 : 94.03%"
"[ 아기 재울때 등받이 조절 가능한지아이가 누울 수 있어야함 ], 긍정 텍스트 확률 : 92.59%"
"[ 폴딩이 쉬운지 ], 긍정 텍스트 확률 : 51.21%"
"[ 발 받침 조절 가능한지 가지 모두 충족이에요. 배송은 로켓이라 하루도 안되서 왔어요 너무 최고 사진으로 보고 폴딩 후 휴대용 치고는 좀 큰거 같아서 걱정이었는데 실제로 보니 안커요. 폴딩 너무 쉽구요 예쁘고], 긍정 텍스트 확률 : 99.88%"
"[등받이 조절되는거 정말 맘에 들어요. 경차에 넣어두고 여자혼자 옮기기 너무 쉬울거 같구요 고민 많이했는데 정말 잘 샀어요. 가격도 좋구요 ], 긍정 텍스트 확률 : 99.44%"
"[ 디스 케 스 쓰고있는데 갑자기 잡힌 휴가에 기내 가능한 휴대용이 필요해서 로켓배송 되는거 알아보다가 평이 너무 좋아서 구매했어요. 조립도 엄마인 제가 아주 쉽게했고], 긍정 텍스트 확률 : 93.77%"
"[컵홀더도 있고], 긍정 텍스트 확률 : 70.79%"
