"[.디럭스 유모차를 차에 싣는 건 신랑의 역할.외출이 많아지다 보니], 부정 텍스트 확률 : 55.14%"
"[진지하게 가벼운 거 하나 더 구입해서 차에 실어두자더군요.기내용으로 쓸수도 있꼬], 부정 텍스트 확률 : 88.78%"
"[가볍고 절충형 접이식을 고민했죠..오케이 했더니], 부정 텍스트 확률 : 65.66%"
"[엄마들이 많이 쓰는 검증된 유모차 구입하고 싶었어요..만원 초반이니 일단 사보고 결정하자는 신랑의 말에 너무 싼 거 아니야 걱정되어서 반대했죠. .웬걸 저도 후기들 검색하고 평이 좋아서 오케이 했어요. ], 부정 텍스트 확률 : 93.53%"
"[ ..큐텐 통해 직구로 구입.생각보다 빨리 오네요.샤오미 가습기], 부정 텍스트 확률 : 62.98%"
"[쓰레기통], 부정 텍스트 확률 : 53.29%"
"[제습기], 부정 텍스트 확률 : 53.29%"
"[아기 이발기까지 쓰고 있는데], 부정 텍스트 확률 : 59.09%"
"[ ...풋 브레이크는 밟으면 고정], 부정 텍스트 확률 : 74.27%"
"[고정할때마다 버벅비교되더군요.. ], 부정 텍스트 확률 : 54.11%"
"[ ..유모차 접기도 편해요.. 핸들 손잡이에 정준간에 푸른색 부분 돌리면 상반신 접혀요.. 아기 앉으면 무릎 부분 숨어있는 핸들 당기면 쑥 접혀집니다. .초간단해서 여유롭게 초 걸리려나... ], 부정 텍스트 확률 : 96.26%"
"[평평히 피다가], 부정 텍스트 확률 : 53.29%"
"[ ...초경량 절충형 샤오미 유모차인지라], 부정 텍스트 확률 : 60.51%"
"[종종 놀다 잡니다 ], 부정 텍스트 확률 : 64.40%"
"[ ..단점은안전바가 없는거에요.쓰다보니 내가 불안해서 ㅠ], 부정 텍스트 확률 : 84.37%"
"[알리 익스프레스에 팔더군요. 아기 핸들바 구입후기는 또 나중에 링크할게요... ], 부정 텍스트 확률 : 61.44%"
"[ .저 차양막이 다 내리면 저정도 .위에서 내리는 햇빛있으면 가끔 투명창으로 눈부셔요.가다가 더 빠르게 그늘로 이동 ㅋㅋㅋ..가성비 갑 답게액세서리가 하나도 없어요.그래서 유모차걸이도 하나 달고], 부정 텍스트 확률 : 91.17%"
"[아기 핸들도 추가 구입했어요. .그래도 만족도 높아서], 부정 텍스트 확률 : 59.86%"
"[잘산거 같아요..유모차 왜 직구하나 했는데], 부정 텍스트 확률 : 75.78%"
"[하... 보통일이 아니군. ], 부정 텍스트 확률 : 93.82%"
"[왜 때문이지?군인보다 더 빨리 일어나잖아..오전에 겨우겨우낮잠 재웠더니 아파트 안내방송 나와서 깸. 아... 진짜..저녁을 못먹은 나를 위해 푸드트럭에서 스테이크를 사 온 신랑. 꾸우울 맛], 부정 텍스트 확률 : 74.94%"
"[그런데 자긴 저녁먹고왔지않아???ㅋㅋㅋ ], 부정 텍스트 확률 : 54.25%"
"[ 팝업북에 있는 문어다리는 죄다 뜯는 중.뜯어먹는거긴 한데 이건 쫌 아니지오늘 첫 개시한 책인데], 부정 텍스트 확률 : 97.21%"
"[어찌 알고 깨울려고 문앞에.아빠 늦잠자라고 일찍 산책 한 바퀴하는데 엄마가 신호가 오는바람에 ㅋㅋㅋㅋㅋ 나갔다가 다시 들어옴미안], 부정 텍스트 확률 : 59.48%"
"[오후에 나가자. 엄마 장이 활발하네], 부정 텍스트 확률 : 83.43%"
"[ 쪽쪽이 공갈젖꼭지를 뺐더니 저리 서러워], 부정 텍스트 확률 : 78.22%"
"[ 큰일이다 모유떼는것 보다 저거 떼는게 더 어렵다는데..애초에 주지말았어야하나 ], 부정 텍스트 확률 : 97.21%"
"[ 바나나 팬케이크쌀가루], 부정 텍스트 확률 : 53.29%"
"[바나나], 부정 텍스트 확률 : 53.29%"
"[노른자 풀어서 팬에 노릇노릇 구우면 끝 ], 부정 텍스트 확률 : 56.45%"
"[ 역시나], 부정 텍스트 확률 : 53.80%"
"[ 아빠가 있는 하루], 부정 텍스트 확률 : 56.37%"
"[잠들어야 조용히 세탁기 돌리고 설거지 하고], 부정 텍스트 확률 : 91.24%"
"[커피한잔 먹을라치면 잠에서 깨는데.집은 또 어찌나 예쁜지], 부정 텍스트 확률 : 93.56%"
"[ 나는 애가 먹을까], 부정 텍스트 확률 : 50.65%"
"[잡고 넘어질까 바닥에 있는거 소품들은 다 치우는데 그 예쁜집들은 하나같이 애가 있음에도 불구하고 예쁘더라], 부정 텍스트 확률 : 50.91%"
