"[ 바구니확장업그레이드되서 너무 좋은듯 ], 긍정 텍스트 확률 : 82.23%"
"[숙면용으로 사용가능하다요기서 먹고 자고ㅋㅋ긴외출일때는 특히 신생아유모차는 필수이다 ], 긍정 텍스트 확률 : 89.19%"
"[ 그리고 단계 확장형 캐노피로 아늑한공간 연출해주는것도 마음에 든다생활방수가 가능한 단 서브 캐노피로 자외선 차단효과로 아기를 보호할수 있다], 긍정 텍스트 확률 : 78.23%"
"[ 오랜만에 외출해서신기한듯이리저리 보는 우리첫째♡이제 눈도 마주칠줄안다], 긍정 텍스트 확률 : 71.63%"
"[ 놀다가 몇번 흔들거려주니마법처럼 자는우리아기♡아기띠는 하면 잘안자고 눈이또랑또랑한데페도라 유모차 태우면 새근새근 바로 잔다ㅋㅋ ], 긍정 텍스트 확률 : 62.02%"
"[ 우리아기 숙면시켜주는 페도라유모차휴대용유모차 지만 디럭스만큼편한한 안정감], 긍정 텍스트 확률 : 57.67%"
"[ 라온이도 자기만의 첫 자차가 생겼다ㅋㅋㅋ페도라디럭스 유모차바람도 좋고], 긍정 텍스트 확률 : 55.08%"
"[햇빛도 좋은], 긍정 텍스트 확률 : 92.18%"
"[ 따뜻한 가을 오후 산책하기 정말 좋은 요즘아가와 함께 유모차를 타고 집 근처로 나들이를 다녀왔다. ], 긍정 텍스트 확률 : 98.84%"
"[ 주변 사람들에게 탐문도 해봤다.워낙 종류가 많다보니 고민이 많았는데 만족스럽게 태우고 있어 추천하는 유모차 페도라디럭스], 긍정 텍스트 확률 : 82.91%"
"[ 가을 공기를 느끼게 해주고 싶었는데], 긍정 텍스트 확률 : 65.76%"
"[페도라유모차의 최대 장점은 부드러운 주행능력이다.바퀴가 정말 튼튼하고 충격흡수도 잘 해주면서 핸드링이 우수해서 추천여리여리한? 내가 끌기에도 전혀 힘들지 않은 유모차휴대용 유모차와는 정말 밀어주는 내가 느낄 정도로 부드러워서 아가가 훨씬 편해 하는 것 같다. ], 긍정 텍스트 확률 : 86.02%"
"[ 그 뿐 아니라 안전장치는 이렇게나 다양하게 구성되어 있다.점식 안전벨트와 탈부착이 가능한 안전가드아직 라온이는 팔이 짧아서 안전가드에 손 조차 닿지 않지만 개월까지 사용가능하다고 하니더 많이 컸을 때 이 안전바를 스스로 잡게 될 날이 오겠지 ], 긍정 텍스트 확률 : 90.59%"
"[ 단계 풋레스트 조절을 통해 올리고 내릴 수 있는데아직 라온이는 아가라서 다리에 무리가 가지 않도록 쭉 펴줬다.발판이 없는 제품도 많아 풋레스트가 있는지 없는지 여부 또한 유모차를 고를 때 선택기준이었다. ], 긍정 텍스트 확률 : 88.81%"
"[ 차양은 단계로 유모차 깊숙한 곳까지 햇빛을 가려주고], 긍정 텍스트 확률 : 74.16%"
"[ 그리고 무엇보다 페도라유모차를 추천하는 이유 중 하나는 높이다동급 유모차 대비정도 더 높은 의 하이시트식당에서 밥 먹을 때도 유모차 자체로 쏙 들어가고 눈을 마주칠 수 있고], 긍정 텍스트 확률 : 98.47%"
"[ 아이에게 더 넓고 높은 시야를 제공해줄 수 있는 건 페도라 유모차만의 특권 ], 긍정 텍스트 확률 : 56.82%"
"[ 사실 저 유모차 속에서 꿀잠자고 있는 건 안비밀ㅋㅋㅋㅋ나중에는 정말 눈 마주치며 꺄르르 웃고], 긍정 텍스트 확률 : 84.94%"
"[ 백엄마 는 검색해서 가까운 매장으로 다녀왔어유백화점과 매장도 각지에 꽤 많이 분포해 있던디관심 있으신 분들은 가까운 지점 방문하셔서페도라 제품 직접 만나보시면 좋을꺼 같아유매장 정보는 쁘레베베 사이트에서 확인하실수있는디 또 친절한 백엄마 요쪽 아래에 링크사부작 달아놓을께유ㅋㅋㅋㅋㅋ ], 긍정 텍스트 확률 : 92.31%"
"[ 들어서기만 해도 이렇게 데스크 옆에 멋지고세련된 유모차 두대가 나란히 진열되어 있어유벌써부터 바로 바로 충동구매 할꺼같은 느낌적인 느낌... 블랙과 골드로 이루어진 유모차도예쁘고], 긍정 텍스트 확률 : 97.77%"
"[페도라의 대표 색인 레드와 블랙이 섞여있는유모차도 정말 예쁘지 않나유? 보통 유모차는실용성을 잘 따지게 되는데 실용성뿐만 아니라디자인도 정말 아름답게되어있어서 왜 엄마들이페도라 유모차를 찾고], 긍정 텍스트 확률 : 73.34%"
"[ 그 외에도 정말 다양한 여러 종류의 유모차와카시트 등이 층에 구비되어 있어 눈으로도쇼핑하는 즐거움을 느끼실 수 있어유 진짜 겁내깔끔하게 진열되고 인테리어도 예쁘쥬?요로코롬 이렇게 깔끔하게 유모차 판매하는 곳은처음 와보는거 같아유... 항상 유모차 여러 대가뭉쳐 있는 곳만 다니다 보니 이렇게 느낌있고세련된 곳은 처음 휴대용유모차 매장 방문하는거라당황했던건 안비밀.....ㅋㅋㅋㅋㅋㅋ ], 긍정 텍스트 확률 : 99.38%"
"[심하게흔들리지 않는 그런 제품들을 사용하고 싶은게부모의 마음이잖아유백엄마 도 물론 그랬구유그런점에서 많은분들이 페도라 유모차나 카시트를사용하는거 같더라구유 진심으로 아이를 생각한다면 아이를 위해서라도값싸고 저렴한유모차를 구입하는거보다는첫째로안전성둘째도안전성을 생각해서아이에 맞는 유모차를구입하는 것도 좋다고 생각해유ㅋㅋㅋㅋ ], 긍정 텍스트 확률 : 58.72%"
"[ 데스크에서 안쪽으로 좀 더 쭈욱 들어가다 보면이렇게 페도라 제품들이 한눈에 볼 수있게 전시가되어있어유 식탁의자도 보이고 중간에는 편하게쉴 수 있는 쇼파와 쿠션 그리고 아이들도 쉴 수있게끔 식탁의자와 어린이의자도 구비되어 있어서정말 편하게 쉴 수 있었어유 아이를 안고 다니시는부모에게는 참 좋은 휴식공간이니 잠깐 쉬었다가셔도 될꺼같아유 아이들이 좋아하는 책이나가지고 놀 수 있는 인형도있어서 뒤에 진열되어있는 상품들을 보시면서굳이 아이들을 신경을안 쓰고 마음 편하게 쉬었다 가세유ㅋㅋㅋ ], 긍정 텍스트 확률 : 99.98%"
"[ 쇼파 옆에는 식탁의자도 있어유백엄마 네둘째베베는 이미 살이라 식탁의자가필요없지만백엄마 네 회사언니 베베는몇 개월만 더 지나면 식탁의자를 자주 사용해야하기때문에백엄마또 언니에게 전파할려고유모차 말고도 식탁의자도 유심히 살펴봤어유식탁의자도 균형이 잘 잡혀 있고 한쪽으로무게중심이몰리게 되어도 안전한지 잘 확인도해봤다는거 누가보면백엄마 가 회사언니베베 엄마인줄 알겠쥬?ㅋㅋㅋㅋㅋ ], 긍정 텍스트 확률 : 98.36%"
"[ 이 사진처럼 매장에는 아기인형도 있어서아이를 직접 눕히지 않고도 어느정도 유모차의크기나 넓이 등을 파악할 수 있어 편했어유보통 유모차를 사고 집에 가면 사용법을 잘 몰라자꾸 헤매거나 인터넷을 보며 사용을 했었는디직접 안전벨트도 줄이거나 늘려가면서 확인해보고아이가 잘 흔들리지 않는지 푹신푹신한지직접 하나하나 다 확인하고 왔어유 ], 긍정 텍스트 확률 : 61.37%"
"[ 색상도 올 블랙이기에 때가 타도 잘 보이지 않아서매일 청소를 하는 부담도 줄여주기에 정말 좋아유핸들링도 부드러워서 흔들림이 없고 안전하더라구유 등받이는 도까지 눕힐 수 있어수자유롭게 편안한 자세로 아이를 태울 수 있어유자고 있을 때에는 단계 확장형 캐노피로아이에게 비춰지는 자외선을 차단하기 편하고 생활방수기능까지 있어서 비가 내려도 물에 잘 젖지 않고 아늑하게 집에 갈수 있을꺼같지 않나유?ㅋㅋㅋㅋㅋㅋㅋㅋ ], 긍정 텍스트 확률 : 76.09%"
"[ 색상은 클래식블랙과 클래식그레이 이렇게 두가지색상이 있어서 마음에 드는 색상을 결정할 수 있고무게도후반정도 돼서 성인여자가 들기에무겁지 않고 좋더라구유백엄마 가 직접들어봤는디 진짜 가벼웠어유ㅋㅋㅋㅋ하지만 보통 개월정도까지 태울 수 있다고해서백엄마 는 둘째베베를 위해 사는 거라서 별로 못타고사용을 안 할 것 같아 다른 제품을 더 봐야겠더라구유 ], 긍정 텍스트 확률 : 87.28%"
"[애쉬컬러 이렇게 가지가있었어유 절충형이다 보니 소중한 아이의편안함을 위해서 만들어진 유모차이기도 하지만], 긍정 텍스트 확률 : 72.57%"
"[ 이 유모차의 장점은 단캐노피와 탈부착이 가능한선셰이드라고 볼 수 있을꺼가타유 시트 뒤포켓에 보관되어 있는 탈부착형 선셰이드로햇빛으로부터 아이의 눈과 피부를 지켜줄 수 있고통풍이 잘되어 아이가 숨이 막히지 않고 편하게 누워 거리를 다닐 수 있겠더라구 ], 긍정 텍스트 확률 : 98.87%"
"[ 기내 반입도 가능한 휴대용유모차라서 굳이맡겼다가 어디 한군데가 훼손되는 일을 방지할 수 있어 정말 좋고], 긍정 텍스트 확률 : 62.82%"
"[무게 또한 가벼워서 손목이나 허리에 무리가 가지 않아서 좋았어유바퀴 전체에 서스펜션이 적용되어서 보기와는 달리충격을 잘 흡수해서 아이가 편안하고 안전하다네유 ], 긍정 텍스트 확률 : 82.02%"
