"[나들이를 많이 갈려고 노력중이에요. 최근에는 날씨도 좋았고], 긍정 텍스트 확률 : 88.99%"
"[그리고 미세먼지도 좀 없었던 날들이 많았거든요. 저 같은 케이스는 첫째때 디럭스 절충형 유모차를 사용하다가], 긍정 텍스트 확률 : 82.76%"
"[제 몸무게와 추가적인 아이의 몸무게], 긍정 텍스트 확률 : 81.63%"
"[그리고 아기띠 무게까지 오다 보니], 긍정 텍스트 확률 : 65.41%"
"[다시 또 양대면 되는 유모차로 들이기로 했어요. 잠시 사용할 수 있는 디럭스 절충형유모차면 좋겠다 싶어서], 긍정 텍스트 확률 : 88.21%"
"[엄청나게 인터넷으로 검색을 하다가 들이게 된 엔픽스 밴티지유모차랍니다. 가격대가 다른 유모차에 비해 착한편이고], 긍정 텍스트 확률 : 66.97%"
"[기능이 좋아서 선택을 하게 되었는데요], 긍정 텍스트 확률 : 68.49%"
"[ 달 정도 사용하고 나서 부터 ㅋㅋ 게으름 피다가 ㅋㅋ 이제서야 하나씩 올리기 시작해서 ㅋㅋ 사진이 월부터 시작해서 조금 추웠을 때 부터 있네요 뭐 ㅎㅎ 여튼 한참 꽃을 그리워 할때라], 긍정 텍스트 확률 : 87.66%"
"[봄이 왔나 봄 이라며.. ㅎ 열심히 꽃 구경 다니고 있을 때 었답니다. 아이가 일단양대면이 되서 엄마와 마주보며 앞보기를 할 수 있어], 긍정 텍스트 확률 : 99.12%"
"[편안해 하는 신생아유모차 랍니다.꽃 구경 할 때도 안전감 있게 엄마가 앞에떡 하니 웃어주니 한번도 유모차에서 내리겠다], 긍정 텍스트 확률 : 62.92%"
"[싫다 라고 한적이 없는 울 딸이래요. 정말. ㅎㅎ 진작에 살걸 그랬나봐요. ㅠㅠ 내가 왜 그 고생을 했지..?? 라며.. ㅎㅎ 일단 차양막이 맘에 드네요. 각도에 따라 알 맞게 햇빛을 차단해주어], 긍정 텍스트 확률 : 91.63%"
"[잘 놀 수 있더라고요. ㅎㅎ 보시면 차양막을 걷었을 때와], 긍정 텍스트 확률 : 89.78%"
"[그리고 한단계 폈을 때], 긍정 텍스트 확률 : 81.14%"
"[모습. ㅎ 확실히 틀리죠..?? ㅎ 요 밑에 사진이 한단계 차양막을 내렸을 때의 모습이랍니다.], 긍정 텍스트 확률 : 96.28%"
"[ 그래도 ㅎㅎ 나름 개봉기 써보겟다며 개봉 후], 긍정 텍스트 확률 : 84.99%"
"[나열 해 놓은 사진도 있는데. ㅎㅎ 그냥 지난간다면 아쉽죠..? ㅋㅋ 일단 큰 박스 안에], 긍정 텍스트 확률 : 65.27%"
"[바람박이 설명서 그리고 개의 바퀴 ㅎㅎ 요렇게 도착했답니다. ㅎ 색상은 가지로 되어 있고요], 긍정 텍스트 확률 : 97.12%"
"[그리고 베이지 랍니다. 제가 베이지를 선택한 이유는 이제껏 우리 아들 유모차로 네이비], 긍정 텍스트 확률 : 59.74%"
"[가을 동안 더욱 많이 사용할 유모차라], 긍정 텍스트 확률 : 95.13%"
"[조금 더 화사한 유모차였으면 좋겠다 싶어], 긍정 텍스트 확률 : 70.25%"
"[ 색상은 화면에서 보는것과 다르진 않는것 같아요. 재질 자체가 조금 스폰지 감이 있는 시트로 되어 있어요. 그래서], 긍정 텍스트 확률 : 57.76%"
