"[ 정말 오랜만에 포스팅으로 인사드리네요..블로그 포스팅 못하는동안고객님들께서 정말 많은 문의를 주셨는데 항상 감사드립니다.고객님들의 많은 문의 속에서분명 매입문의 문자], 긍정 텍스트 확률 : 83.59%"
"[ 전화를 누락한경우도 있을것이고견적가를 너무 늦게 드린적도 있는데정말 죄송하게 생각합니다 ㅠㅠ앞으로 더욱 신경써서 응대해드리겠습니다.. ], 긍정 텍스트 확률 : 99.07%"
"[ 유아용품들을동종업체기준 최고가로 매입], 긍정 텍스트 확률 : 90.65%"
"[ 수거해드리는 유아용품 전문매입업체입니다.언제나 문의는 감사합니다. ], 긍정 텍스트 확률 : 83.28%"
"[ 수거해드렸구요.고객님이 너무 편해하셨습니다.ㅎㅎ ], 긍정 텍스트 확률 : 78.17%"
"[당일수거도와드렸네요.고객님께서 너무 만족하셨습니다.고객님 저희와 거래해주셔서 다시 한번 감사드립니다.일 언제나 열려있는중고 유모차], 긍정 텍스트 확률 : 97.97%"
"[ 회전형 카시트는 말그대로 도 회전이 가능하다는거죠 ], 긍정 텍스트 확률 : 50.64%"
"[ 아프리카 플라디아 카시트를 세탁하면서 느낀점은 부드러운 회전은 기본이며각도 조절도 자유자재라아가들의 완벽한편안함을 제공합니다 ], 긍정 텍스트 확률 : 87.66%"
"[ 물론 완벽한 세탁과 함께 말이죠 ㅎㅎ ], 긍정 텍스트 확률 : 99.67%"
"[ 사실 임신한 걸 알았을 때부터 제일 먼저 찾아봤던 육아템 중 하나가 유모차였다. 엄마들의 자존심이라는 육아템], 긍정 텍스트 확률 : 74.13%"
"[유모차 육아템 중에서 제일 고가이기도 하고 잠깐 쓸 게 아니기 때문에 안전성도 중요하지만 최대한 내 마음에 들어야 오래오래 뽕뽑을때까지 잘 쓸 수 있을 것 같았기 때문이었다.임신 초기에 제일 처음 염두해 뒀던 유모차는 미마자리. 올가죽에 무엇보다 디자인이 예뻤다. 하지만 악세사리도 전부 별도 구매에다가], 긍정 텍스트 확률 : 75.98%"
"[다른 것 다 떠나서 고가여도 그냥 예뻐서 산다는 후기도 많이 보았기에 임신기간 내내 다른 유모차들도 매일 폭풍 검색ㅋㅋ ], 긍정 텍스트 확률 : 82.47%"
