"[쭈별몬과 나의 팀플에 계속해서 난관이 닥쳤다. ], 긍정 텍스트 확률 : 72.08%"
"[ 보충분유밤분유로 넘어갔고모유양 늘리려면 밤수 해야한다길래며칠 전부터 밤수 시작 그래서 현재는 직수약간의보충분유많게는모유양이 느는지 어제부턴 보충을 안해도 먹놀잠이 잡히기시작함. 나는 아직 유두보호기랑 쭈쭈베이비를 꼭 써야 쭈별이가 잘 물었다.어느 날 쭈쭈를 쓰다가 중간에 떼고 물려봤는데한껏 부드러워진 유륜덕인지 쭈별몬이 거부하지않고 물었다 확실히 느낌이 달랐다. 모유가 쭉쭉 빠지는 느낌 ㅠㅠㅠ 감격쓰.. ], 긍정 텍스트 확률 : 86.47%"
"[ 중간부록. . 터미타임터미타임도 하루에 조금씩 연습시키는 게 좋다해서분이내로 시키고 있다. 요즘엔 좀 뜸하다는.. ], 긍정 텍스트 확률 : 52.99%"
"[ 수유텀과 낮잠시간이 보장되니 컨디션이 매우 좋아진 쭈별몬. 혼자노는 시간이 부쩍 늘었다. 웅얼웅얼 쿠잉도 하길래 말동무해주면 자주 웃어준다. 정말 감격이다.], 긍정 텍스트 확률 : 77.21%"
"[ 퀘스트 . 등센서 해결하기 진행률등센서 정말 고치기 힘들 줄 알았다.애가 하루종일 우는거 같다는그럼 애가 뭔가 원하는게 있으면 당연히 울지], 긍정 텍스트 확률 : 54.50%"
"[ 그러다보니 잠도 안아서 재워야하고내 손목 허리 아작테크탈뻔 낮잠시간 보장해줘야했기때문에 어쩔수없이 며칠은 안아재웠다. ], 긍정 텍스트 확률 : 57.33%"
"[ 아직 시작한지 이틀째밖에 안됐지만쭈별몬이 다행이 잘 따라주고 있는 것 같다.쭈별몬이 예민한 게 아니라내가 쭈별몬을 예민하게 만든거였다는 걸다시 한 번 느낌 ㅠ.ㅠ 이대로만 가자 쭈별쓰울리는게 넘 싫었는데 막상 해보니 결국은 제 풀에 지쳐 울음을 그치게 되어있더라. 그렇게 푹 자고 일어났을때 더 잘놀아주고 더 사랑을 듬뿍 주면 아기도 엄마 마음을 조금은 알아주지 않을까 싶다 ], 긍정 텍스트 확률 : 84.69%"
"[ 중간 부록 . 일기념 외출 일 맞아 날도 좋고 해서 참외하우스까지유모차로 산책나가기로했다. ], 긍정 텍스트 확률 : 51.65%"
"[ 처음에는 쭈별몬이 울면 달래려고 안아서 서서 이리저리 돌아다니곤 했다.하지만 떡육아쌤의 블로그를 찾아보고난 뒤나는 쭈별이에게 계속 먹이를 주고 있었던 것을 알게되었고], 긍정 텍스트 확률 : 58.08%"
"[블로그에 있던 방법대로 쭈별몬 달래기를 단계적으로 고쳐나가기로했다.서서 돌아다니면서 달래기 그자리에 서서 달래기앉아서 달래기바운서 등에 앉힌채 달래기 눕힌채로 달래기끝 ], 긍정 텍스트 확률 : 54.33%"
"[ 이분께서 훈육관련 책을 내셔서 냉큼 질렀는데그림과 설명이 너무 잘 되있어서 머리에 쏙쏙들어왔다.언젠가 쭈별몬훈육을 해야 할 때 바로 적용할 수있는 알고리즘도 있어서 완전 유용할듯 ], 긍정 텍스트 확률 : 91.04%"
"[ 쭈별몬 앞으로도 잘 해보자이번 금욜 주사맞아야하는데 잘 할 수있겠지? 다음 이어지는 퀘스트는수유텀 늘리기], 긍정 텍스트 확률 : 52.82%"
"[ .체온이 높으면 출입이 제한되어용.아무래도 꼬마친구들이 모인 곳이니깐 ], 긍정 텍스트 확률 : 85.60%"
"[ .여름방학 패키지도 있고요 ㅋㅋ.가족화장실은 외부에 있음주의 ], 긍정 텍스트 확률 : 86.80%"
"[ .오늘도 시환이 오빠랑 총총ㅎㅎ.둘 다 개월 미만 영유아라 입장료 천원씩..쫑알이는 너무 아가아가해서 그냥 입장했지만.개월 미만 아기들은 .증빙서류 지참해야해요 ], 긍정 텍스트 확률 : 74.53%"
"[ .영유아를 위한 공간.리틀 포레스트 ㅎㅎㅎ..아직 혼자 앉지 못하구.기어다니지 못하기 때문에 ㅋㅋ.거의 여기에서 머물렀다 ], 긍정 텍스트 확률 : 72.02%"
"[ .편백나무 풀 ㅋㅋㅋ.조그마한 나무블록들.모래놀이 처럼 아기들이 가지고 놈 ], 긍정 텍스트 확률 : 53.53%"
"[ .흔들의자도 있고 ], 긍정 텍스트 확률 : 66.43%"
