"[.....이제 곧 돌을 기다리는중], 긍정 텍스트 확률 : 73.02%"
"[ .....가루분유 순서는....?남양임페리얼남양임페리얼...?압타밀압타밀이마트.아이배넷산양분유..남양아기사랑수...?퓨어락로얄플러스퓨어락로얄플러스...?앱솔루트본앱솔루트본...?앱솔루트명작앱솔루트명작.. ], 긍정 텍스트 확률 : 96.77%"
"[ ....사실 병원], 긍정 텍스트 확률 : 58.57%"
"[ 조리원에서 임페리얼먹어서], 긍정 텍스트 확률 : 63.22%"
"[ .아기사랑수를 샀다], 긍정 텍스트 확률 : 75.42%"
"[ ....아기사랑 수 와 앱솔루트 본이 .라이벌인데ㅋㅋㅋ..그냥 혀기가 남양 분유에 거부가없길래.우선 아기사랑수로 선택 ....오], 긍정 텍스트 확률 : 71.49%"
"[ ..이거 혀기에게 아주 잘맞았다], 긍정 텍스트 확률 : 57.46%"
"[ ..굳굳], 긍정 텍스트 확률 : 99.67%"
"[ ...그리고 분유계의 샤넬], 긍정 텍스트 확률 : 79.98%"
"[ ...그리고 퓨어락이 넘 비싸니], 긍정 텍스트 확률 : 52.36%"
"[ ..고민하다가..전에 아기사랑수와 어깨를 나란히한 .앱솔루트본 이생각났고..남양보단 낫겠지 해서..샀는데], 긍정 텍스트 확률 : 95.82%"
"[ ..유산균과 병행하니 좀 괜찮길래..겨우 캔 다먹이고..다시 아기사랑 수로 넘어왔다....아기사랑수 만세.... ], 긍정 텍스트 확률 : 96.95%"
"[ ...그리고 친구가 .떠아분유안먹는다고..나에게 토스해준 .앱솔루트 명작 스틱분유], 긍정 텍스트 확률 : 91.38%"
"[ ...요건 오늘 먹여본건데], 긍정 텍스트 확률 : 52.10%"
"[ .분유잘 녹이는 방법좀 공유해주세여...ㅠㅠㅠㅠ...내가 잘못타나?..도 물미리에 분유녹이고 도물 섞는데], 긍정 텍스트 확률 : 69.21%"
"[혀긴..아기사랑수로 확정...사실 압타밀로 마지막은 먹이고 싶기도함....ㅋㅋㅋㅋ....... ], 긍정 텍스트 확률 : 77.04%"
