"[우리아기 어떤 분유를 먹일지 알아보는 것도 엄마의 큰 고민중에 고민나는 일단 밴쿠버에 있기때문에임신 기간 중 여기서 먹는 분유들을 알아보게 되었다.대표적으으로 시밀락], 긍정 텍스트 확률 : 94.92%"
"[네슬레 이 종류가 마트에 가면 제일 메인에 진열되어있었다캐나다맘스카페에서 어떤분유를 많이 사용하는지... 또 그 사이트에들어가봐서 분유 설명도 읽어보고다 좋다고 적혀있는ㅋㅋ 성분이 어떤지.. 비교된 후기 있으면 찾아보고.. 참 시간을 많이 보냈다 그래서 나는 시밀락을 먹이기로 결정하고 그당시에는 모유수유 계획중에 있긴 했지만 분유 한통은 비상용으로구매해두는게 좋고 어떻게 될지 모르니까...ㅎㅎ근데 병원에서 지용이 황달치료 받을때엔파밀 액상분유로 탑업으로 줬는데 잘먹길래..집에와서 시밀락 환불해버렸다..다행히 영수증이 집에 있었다는 ㅎㅎ그리고 각각의 사이트에 가입을 했더니 샘플 또는 교환권쿠폰을 보내줬다네슬레는 액상분유 샘플짜리 병을 보내줬고시밀락은 체크로 발행해서 보내줬고엔파밀은 쿠폰으로 액상분유병], 긍정 텍스트 확률 : 51.69%"
"[일회용 니플개], 긍정 텍스트 확률 : 50.99%"
"[액상분유 불할인 교환권을 보내줬다.그래서 마트런던드럭그가서 엔파밀 샘플용으로 다 교환해왔음지용이는 완모를 하는 중인데], 긍정 텍스트 확률 : 58.52%"
"[막수에 분유를 주면 더 오래잔다는 이야기와.. 분유의 영양분도 필요하지 않을까 하는 마음에네슬레에서 받은 액상분유를 먹여봤다 ], 긍정 텍스트 확률 : 96.22%"
"[ 젖병을 조금 물더니 입맛을 쩝쩝 하더니..잘먹는다 ㅋㅋㅋ그리고 잠도 잘잤고...시간일때다음날 폭풍응가도 봤다 약간 노랭이와 초록이 섞인색?ㅋㅋ 원래 지용이는 노랭이색이다분유먹는 아기는 녹색변을 본다는 이야기를 들었는데 ㅋㅋ 그래서 변색이 섞여서 나왔나보당이틀을 그렇게 먹엿는데 생각보다 잘자고 잘먹고 잘싸서 괜찮닸따네슬래 다음주에 또 이틀정도 엔파밀 샘플먹여봐야겟따 ], 긍정 텍스트 확률 : 99.50%"
"[아기들 성장에 있어 단백질 중요한 건 다들 알고 계시죠?소화기관이 미성숙한 영유아들은 분자량이 큰 단백질 섭취시 알레르기를 유발한다고 하니 분유의 단백질 조성은 우리 아기를 위해서 꼭 챙겨야해요 ...], 긍정 텍스트 확률 : 90.37%"
"[...? ....... .......? 본문 이미지....... .......? 본문 이미지....... .......? 본문 이미지....... .......? 본문 이미지독일 친환경 소비자 품질 심사인 외코 테스트에서 일반 조제분유 중 유일하게 최고등급을 받은 네슬레분유진짜 명품이네요☆....... .......? 본문 이미지....... .......? 본문 이미지....... .......? 본문 이미지아기 성장 발달 단계에 맞춘 단백질], 긍정 텍스트 확률 : 98.59%"
"[울 복덩이는 퓨어락 먹고 있어요 가끔 친정부모님께 아이를 맡기고 나가는 경우가 있다보니 분유타는법을 알려드렸는데 대부분의 수입분유가 그런건지는 모르겠지만 유나때 먹여본 몇몇의 분유를 보았을땐 대체적으로 물을 먼저 따르고 분유를 넣는건 수입분유고 분유를 먼저 넣고 물량을 맞추는건 국내분유이다보니 친정아버지께 복덩이가 먹는 분유는 수입분유라 물먼저 넣어야한다고 말씀드린 적이 있거든요. 그래서 복덩이가 먹는 분유가 국내분유가 아니다라는 사실을 인지하시고 계신 상태인데 얼마전 수입분유가 더 잘 안풀어지고 오히려 영양성분도 부족하다는 뉴스를 접하셨던 모양이에요 ], 긍정 텍스트 확률 : 99.28%"
"[ 제가 퓨어락을 우리 복덩이 분유로 선택했을때는 단순히 수입분유여서가 아니에요. 당연히 영아 발달에 필요한 영양소가 충분히 갖추어진 프리미엄분유라고 생각해서였는데 정말 영양소가 충분히 갖춰져있지 않다면 굳이 이 분유를 선태갈 필요가 없잖아요. 분유 품질을 고급화 했다고 믿기에 사실 높은 가격을 지불하는 것인데 영양소가 충분하지 않다면 굳이 이 분유를 선택할 필요가 없잖아요 ㅜ], 긍정 텍스트 확률 : 95.53%"
"[ 그래서 이래저래 분유 비교 포스팅도 찾아보고 분유성분에 대해 좀 알아봤어요 ㅎ알아보다보니 제가 팔로우하고 있는맘톡 에디터가 포스트에 분유성분 비교 정리해논 포스트가 있더라구요 대체적으로 프리미엄 분유로 분리되고 있는 고가라인의 분유 다섯종을 상세하게 비교 분석해두었기에 도움이 될것 같아서 이웃님들께도 알려드리고 싶어서 정리해보기로했어요 ], 긍정 텍스트 확률 : 93.95%"
"[ 우선 조제유와 조제식의 차이에 대해 아셔야할 것 같은데요.이 둘의 가장 큰 차이는 바로 유성분이에요. 조제유의 경우엔 유성분이 이상], 긍정 텍스트 확률 : 93.78%"
"[조제식은 유성분이 미만인데요 보통 조제유는 영유아의 성장과 발육에 필요한 영양소를 첨가해 모유와 유사하게 가공한 분유로 모유 대용품으로서의 역할을 하다보니모유에 가까운 제품일수록 유성분 함량이 높은데요그렇다보니 보통 신생아부터 개월까지의 단계는 조제유로 분류되는 경우가 많더라구요 사실 위 정리표를 보면서 의아했던게 퓨어락은 단계까지가 조제유로 분류되고 있네요 아마 분유를 먹이고 구매해보신분이라면 아시겠지만 분유는 단계가 가장 비싼데요. 보통 단계의 분유가 가격이 조금 낮은편인데 아마개월수가 많아질수록 이유식 등을 통해 영양을 채우게되니 영양성분을 줄이다보니 가격대가 조금 낮은것 같아요퓨어락의 경우엔 개월까지도 유성분이 이상인데 이게 좋은지의 여부는 사실 잘 모르겠어요. 아마 아이에따라 행여나 이유식을 잘 안먹거나 영양성분이 부족한 아이의 경우엔 그래도 조제유를 먹는게 좋지 않을까하는 개인적인 생각이에요], 긍정 텍스트 확률 : 83.45%"
"[ 울 유나때를 생각해보면 유나의 경우엔 후기 이유식부터 너무 안먹었거든요 ㅜ 그럴때 아마 퓨어락을 알았다면 섭취량이 부족해도 어느정도 영양보충이 되지 않았을까 생각해요 울 복덩이의 경우엔 이제 막 일이 지난 단계로 아직 단계를 섭취하고 있구요 그래서 단계 기준으로 영양성분을 비교한 내용을 퍼와봤어요 ㅎ ], 긍정 텍스트 확률 : 55.37%"
"[ 맨 오른쪽이 울 복덩이가 먹고있는 퓨어락 로열플러스 단계에요. 우선 소화흡수를 돕는 성분으로 구조를 들 수 있는데요 흔히들 모유와 유사하다고 알려진 구조로 이 구조를 함유하고 있는 제품은 네슬레 일루마 골든드럽과 퓨어락 두 종류네요.], 긍정 텍스트 확률 : 82.79%"
"[ 유산균의 먹이역할을 해줌으로써 장 속 유익균의 증식을 도와 장연동운동을 자극해 변의 수분증가를 유발하고 장건강을 돕고 변비예방에도 도움을 주는프리바이오틱스는 매일 앱솔루트 플래티넘 산양분유가 가장 많아요그렇다고 퓨어락이 적은편은 아니구요 두번째 정도로 많이 들어있는데요 대신 프로바이오틱스 유산균이 유일하게 함유되어 있어요. 그밖에 두뇌발달이나 면역력 강화시키는데 도움을 주는 성분 역시도 퓨어락에는 함유되어 있어요 ㅎ ], 긍정 텍스트 확률 : 77.27%"
"[ 사실 갑작스러운 친정아버지의 호통아닌 호통에 분유성분 비교해보겠다며 이것저것 뒤적여봤는데요 개인적으로 퓨어락 로열플러스 분유 성분 비교해봐도 모유가 잘 안나오는 엄마를 둔 울 복덩이가 섭취하기에 괜찮은 분유임에는 틀림없는것 같아요.], 긍정 텍스트 확률 : 55.24%"
"[ 사실 저는 모유가 가장 좋다라고 생각하는 사람인지라 완모를 하고 싶은 욕심은 첫째때부터 늘 가져왔거든요. 모유량이 적어서 여건이 안되기에 어쩔 수 없이 분유와 함께 혼합을 하고있긴하지만. 그럼에도모유와 가까운 분유를 먹이고픈 욕심이 크다보니 로열플러스 단계가 아직까지는 울 복덩이에게 부족한 영양분을 잘 보충해주고 있다고 생각하기에 당분간은 쭉 퓨어락 로열플러스 먹일 것 같아요], 긍정 텍스트 확률 : 98.44%"
"[젖병에 끼우는 망?아기가 스스로 잡고 먹을 수 있는 그립아기들 호기심에 좋고손으로 잡으며 자극도 줘서창의성에도 좋다는ㅋㅋㅋㅋ좋다면 좋은거져 ], 긍정 텍스트 확률 : 99.31%"
"[ 혜나의 첫 선글라스 ], 긍정 텍스트 확률 : 52.07%"
"[ 살꺼라던데...벌써 맞더라..후기보고 사길 잘함 ㅋㅋㅋㅋ이뿌다아 ], 긍정 텍스트 확률 : 92.05%"
"[ 리틀 핫도그 왓슨면세점에 입점 했길래너무 맘에 들어서 삼곧 맞을 듯 ㅋㅋㅋ매력 터지는 모자 ], 긍정 텍스트 확률 : 99.00%"
"[ 혜나 햇빛가리개가 잘 붙지 않아자석용으로 다시 구매매우 좋다때고 붙이기 간편함 ㅋㅋ ], 긍정 텍스트 확률 : 91.88%"
"[ 브라질 도착한 그녀 ㅋㅋ픽업 벤이 왔음특별 부탁으로 아기 카시트까지 가져와주심 ㅋㅋ울 혜나는 소듕하니까 ], 긍정 텍스트 확률 : 85.90%"
"[ 분리 수면 시작한 혜나아주 잘 해주고 있어요봉봉이도 가끔 놀러감 ㅋㅋ ], 긍정 텍스트 확률 : 95.72%"
"[ 마트에서 잠들었더라ㅋㅋㅋㅋㅋㅋ자세히 보니까 ], 긍정 텍스트 확률 : 61.41%"
"[ 혜나의 젖병다 마마치 실리콘으로 교체영구적이여서 좋다 ], 긍정 텍스트 확률 : 56.31%"
"[ 꿀잠 ㅋㅋㅋㅋ 전에 이수유 쿠션만 했는데 ㅠㅠ 언제 컷니 ㅠㅠ ], 긍정 텍스트 확률 : 61.31%"
"[ 네슬레 분유를 먹고 자꾸 녹변정상변이라고 함을 봐서신경쓰여서 분유 바꿈압타밀 사러 갔다가 이 분유가 제일 좋대서 ㅋㅋㅋ엔파밀로 겟 ㅋㅋㅋ다행이 황금변 시작 ], 긍정 텍스트 확률 : 74.68%"
"[ ㅋㅋㅋㅋㅋ 쇼핑 나와서 장난꾸러기 처럼 웃는 그녀 요즘 ], 긍정 텍스트 확률 : 86.45%"
"[ ㅋㅋㅋㅋㅋㅋ 엄마 아직 정리가 남았다구.. ], 긍정 텍스트 확률 : 59.57%"
"[ 아이 예뽀다 ㅋㅋㅋㅋ혜나야 엄마 정성봐서 이유식 성공하자 ], 긍정 텍스트 확률 : 53.26%"
"[ 그에 따라 오늘날 발생하고 있는 모든 인권침해 사안에 기업들이 관련되어 있다도 해도 과언이 아닙니다.이에기업들이 직접적으로 인권 침해를 하거나 간접적으로 인권 침해에 기여했을 때], 긍정 텍스트 확률 : 89.81%"
"[ 어떻게 대응해야 할 것인가에 대한 논의가 중요하다고 말씀해주셨는데요. ], 긍정 텍스트 확률 : 62.65%"
"[년대 라이프 매거진에 실린 파키스탄 살 소년이 축구공을 만들고 있는 모습.], 긍정 텍스트 확률 : 68.97%"
"[ 이로인해 나이키는 아동 노동 착취에 대한 비판을 받게 됩니다.그러나 나이키의 대응은 “아동이 노동하고 있는 곳은 본사의 직영 공장이 아니다. 하청업체인 파키스탄에 있는 공장에서 공을 사올 뿐이다”라는 답변이었죠.즉], 긍정 텍스트 확률 : 90.20%"
"[오늘날 기업의 인권침해 는글로벌 서플라이 체인 이라는 굉장히 복잡한 문제와 연결되어있다는 것을 알 수 있습니다.사실나이키 본사의 문제는 아니며], 긍정 텍스트 확률 : 67.60%"
"[나이키가 단순히 그 제품을 구매할 뿐이다라고 하는 나이키의 대응은 법적으로 틀린 문제는 아니라고 합니다. 기업의 인권침해에 대한 문제를 어떻게 제시할 수 있을지], 긍정 텍스트 확률 : 84.56%"
"[그 논의가 지속적으로 이루어지는], 긍정 텍스트 확률 : 60.49%"
"[언론인 스타오와 야후 사건 등 기업이 어떤 형태로 인권을 침해하는지 다양한 사례를 들을 수 있었습니다.기업의 이윤 창출로 희생된 다수의 피해자들을 보면서], 긍정 텍스트 확률 : 50.81%"
"[ 현재 발생하고 있는 기업의 인권 침해가 생각보다 심각하고 광범위하게 이루어지고 있음을 확인할 수 있었습니다.인권이기업의 이윤보다 당연히 우선되어야 함에도], 긍정 텍스트 확률 : 93.66%"
"[인권에 대한 무지함과 이윤에 눈이 멀어 무엇이 옳은 것인지에 대한 분별력을 상실한 모습에 또 다시 분노할 수 밖에 없었습니다. ], 긍정 텍스트 확률 : 98.53%"
"[특히 기업의 인권침해에 대한 국가의 역할이강조되었다는 것은 큰 의미가 있습니다.다만], 긍정 텍스트 확률 : 91.25%"
"[별도의 조약이 필요하다는 의견도 계속하여 제시되고 있다고 합니다.또한], 긍정 텍스트 확률 : 94.43%"
"[유엔아동권리위원회는 조약기구 최초로 기업의 인권침해를 언급한 바 있습니다.아동권리위원회가 채택한 일반논평 호기업이 아동권리에 미치는 영향에 대한 국가의 의무], 긍정 텍스트 확률 : 56.12%"
"[년는 다 음과 같이 말하고 있습니다. ], 긍정 텍스트 확률 : 58.92%"
"[ 그러나 이러한 내용이 무색하게], 긍정 텍스트 확률 : 52.60%"
"[기업이 아동인권을 침해한 사건들은 전 세계 곳곳에서 발생하고 있습니다.아동을 대상으로 부적절한 신약 임상 실험을 하여 수많은 아동들이 사망한 화이자 사건], 긍정 텍스트 확률 : 79.75%"
"[ 우리가 구매하는 물건의 생산지 어딘가 저 끝에서 아동노동 착취가 발생하지요.특히 담배농장], 긍정 텍스트 확률 : 86.53%"
"[ 농약과 같은 다양한 화학물질에 노출되는 문제도 있습니다.아동의 생존 및 발달에 매우 위험하고 치명적인 현실이지요.하지만 우리 눈 앞에서 발생하는 일이 아니니까], 긍정 텍스트 확률 : 77.42%"
"[아동이 다양한 인권침해로부터 보호받을 수 있도록], 긍정 텍스트 확률 : 52.14%"
"[이에 대한 기업 및 국가의 책임을 강조하였습니다.과연 우리나라는 그 의무를 다하고자 노력한 것일까요?마지막으로], 긍정 텍스트 확률 : 58.14%"
"[기업의 변화를 촉구하기 위해서는 투자자의 역할이 중요하다는 말씀도 해주셨습니다.일례로 노르웨이 국부펀드는 인권침해의 요소가 있는 사업의 경우], 긍정 텍스트 확률 : 60.75%"
"[투자를 중단하거나 철회하는 방식으로 진행한다고 합니다.아동의 노동 착취를 비롯한 기업의 인권침해에 더욱 경각심을 가지고 관심을 기울여야 한다는 것을 다시 한 번 느낄 수 있었던 시간이었습니다.무엇보다 지금도 여전히 세계 곳곳에서 자신에 의사에 반하는 강제 노동에 시달리는 아이들이 있는데], 긍정 텍스트 확률 : 94.37%"
