"[ ..뜬금없이 진심 뉴질랜드로 이민가고싶다며.분유때문에 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ웃기고 있네 ㅋㅋㅋ.ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ ], 긍정 텍스트 확률 : 73.12%"
"[ ... . 근데 아닌게 아니라 축복이 이거 먹고 씩 먹고 있음..아침 첫수 매일 먹던 축복이가 어느날 부터 을 찍고.언제는 더 먹고 싶어서 빈젖병을 빨기도 함..와 세상만사 진짜. .너무 놀랄노에 감사할일 ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ ], 긍정 텍스트 확률 : 98.42%"
"[ . . 나그동안 분유 원없이 이것저것 먹여본것같은데.. 넘는 분유 처음먹여봄 ㅠㅠ.그래서 전에 그 샘이 나보고 수입분유 먹여보라고 했나봄 .ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ ], 긍정 텍스트 확률 : 96.11%"
"[ .....안전하고 성분이 좋은 분유지만], 긍정 텍스트 확률 : 76.75%"
"[합리적인 가격으로 구매 가능하다는것도 큰 장점.게다가 프리바이오틱스가 포함되어], 긍정 텍스트 확률 : 74.69%"
"[프락토올리고당 등이 함유로 면역력 까지 높일 수 있다..면역력 여기서 굉장히 중요한데 ㅋㅋㅋ.나 진짜 매년 겨울만 되면 감기 달고사는 여자라서..우리 축복이는 면역력만큼은 지켜주고 싶긔 ㅠㅠㅠㅠ.근데 요아이엠뉴질랜드에 어른들도 많이 챙겨 먹는 신바이오틱스 함유 되어 있다는 .그래서 분유를 먹이는것만으로도 면역력을 높일 수 있다. ], 긍정 텍스트 확률 : 99.28%"
"[ .... . 아기의 성장발달과면역력 에 도움이 되는 미네랄], 긍정 텍스트 확률 : 50.56%"
"[유산균 함유량이 타 분유에 비해 높고.특히 비타민 함량이 분유 중 최고라], 긍정 텍스트 확률 : 85.55%"
"[면역력을 높여줘 질병에 잘 걸리지 않게 해준다고 한다.. 아이들에게 필요한 영양성분이 모두 포함되어], 긍정 텍스트 확률 : 54.82%"
"[ .... 안심 박스에 포장되어 와서분유가 배송 중 손상되지 않도록 세심하게 포장되어 온것도 맘에 들고 . 저장팩이 몇개 들어 있었는데외출 시 간편하게 분유 보관조유 가능해서 센스도 쩜 ], 긍정 텍스트 확률 : 84.13%"
"[다른 해외에서도 판매되는 분유라서 믿고 먹일 수 있는 분유 같다 . ], 긍정 텍스트 확률 : 72.14%"
"[ .그리고 겁나 흔들어 재끼는데도 불구하고 .거품이 났다가다도 금방사그라듬.그래서 바로 먹일 수 있음.....바로 요렇게 .ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ....솔직히 누가 보면 굶긴줄 알겠다....축복아.....내가 진짜. 너 뱃골 늘릴라고 안먹여본 분유 없는데..이러기 있기 없긔 .그리고 진짜 너무 감사하게 씩 먹는 요즘이다..그래서 너무 행복함. ㅠㅠㅠㅠㅠㅠㅠ ], 긍정 텍스트 확률 : 99.96%"
"[ ....잘먹으니깐 이뻐.개월 아기 ..... 먹고 안먹던 애가 갑자기씩 먹는다..그저 감사한일. ㅠㅠㅠ ], 긍정 텍스트 확률 : 97.84%"
"[안녕하세요이젠 아침저녁으로는 꼭 겨울같이 추워졌어요.. 저희집에도 드디어 보일러를 틀기 시작했구요ㅋㅋ 언제 그렇게 더웠냐며..ㅎㅎ 세자매님들은 아직 겨울 시작도 안했는데 콧물을 훌쩍이고 있답니다 ㅠㅠ 특히 ..셋째는 아직 개월도 안된 아기라서 콧물이 조금만 나도 넘 걱정이 되구요 ㅠㅠㅠㅠ 근데 기관에 다니는 언니들이 있다보니 어쩔 수 없는 부분도 있는거 같아요 흐윽... 모유수유를 열심히 하고 있지만 저도 병원도 좀 가야하고ㅜㅜㅜㅜ볼일이 생기면 잠시씩 외출도 해야해서 친정엄마 찬스를 쓰기 위해서 혼합수유를 하고 있거든요 근데 지금 먹이는 분유보다 좀 더 좋은 분유를 주고 싶다는 생각이 들기도 했고 또 저희 아기는 변이 묽게 ..나오는 편이라 아기설사가 걱정되기도 해서 도움될만한 분유를 찾다가 수입분유 인 아이엠뉴질랜드 프로를 먹여봤답니다 ], 긍정 텍스트 확률 : 99.17%"
"[ 제가 택배받고 놀랐던 부분 분유 전용박스인 안심박스에담겨져서 와서 배송도중에 캔이 변형될일이 없어보였어요 완전 굿굿 지금 주문해서 먹이던 분유는 일반 택배박스에 와서 캔이 엄청 찌그러져서 온적이 있어서 교환받았던 경험도 있거든요..ㅠㅠ 근데 아이엠뉴질랜드는 그럴일이 없겠쥬?ㅎㅎ 연약하고 소중하고 또 소중하고요즘 셋째한테 푹빠짐ㅋㅋ 소오오오중한 아기에게 먹이는 제품인데 배송부터 신경쓰면 좋잖아요 ], 긍정 텍스트 확률 : 98.54%"
"[스푼도 같이 들어 가 있었어요 근데 분유 캔 안에스푼이 따로 있답니다 ㅎㅎ 그리고 저 분유 저장팩 완전 센스 대박인듯..ㅎㅎㅎ 사실 분유수유를 하다보면 외출할때 짐이 너무 많아져서 부담스러운 경우가 많은데 저렇게 부피를 많이 차지하지 않는 분유저장팩이 따로 있으니까 회 분량만큼 덜어서 나가면 완전 간편해요저 둘째 키울때도 저거 사용했었는데 엄청 편했던 기억이 ㅎㅎㅎ그리고 또 분유캔 위에 개봉날짜를 표기할 수 있게끔 아예 스티커가 붙여져서 나와요 저처럼 혼합수유로 분유수유를 많이 하지 않는다면 개봉시기를 알고 있는게 중요하잖아요 괜히 오래두고 먹여버리면..속상하잖아여 ㅠㅠㅠㅠ], 긍정 텍스트 확률 : 99.85%"
"[면역력에도움을 줄 수 있는 미네랄], 긍정 텍스트 확률 : 69.16%"
"[비타민 함유량이 다른 분유들에 비해서 높다는 점도 제가 직접 수유를 결정한 이유랍니다 특히 비타민 함유량은 분유 중 최고로 높아요 그래서 면역력 향상에 좋기 때문에 질병에 잘 걸리지 않게 해주는 아이엠뉴질랜드 랍니다 아기들에게 필요한 영양성분이 모두 포함이 되어 있어서 따로 영양제나 유산균을 챙겨서 먹이지 않아도 되는점도 완전 괜찮죠? 저는 또 모유수유를 하고 있었기 때문에 유산균을 따로 챙겨먹여야 하나 싶었는데 그럴필요가 없다는 점이 정말 좋았어요], 긍정 텍스트 확률 : 96.63%"
"[ 수입분유다보니 제가 먹이던 분유와 조유방법이 좀 달랐는데요 어려운건 아니구요ㅎㅎ 물을 먼저 넣고 물양에 맞게 스푼을 사용해서 분유를 넣으면 된답니다 저는 를 조유했는데 그 경우에는 물을 먼저 넣은다음 스푼으로 스푼을 넣어서 탔어요 그렇게 되면 젖병에 눈금은 가 넘겠죠 어렵지 않지만 원래 먹이던 분유와 다를경우에는 한번은 꼭 체크해주세요 ], 긍정 텍스트 확률 : 93.98%"
"[ 분유를 개봉했을때 입자가 너무 작고 곱다는게 눈에 보이더라구요 ㅎㅎ 아], 긍정 텍스트 확률 : 58.55%"
"[조제식은 이유식 대용품이라고 생각하시면 되거든요.. 그렇다보니 조제분유가 모유에 더 가까운 분유라고 볼 수 있어요 아이엠뉴질랜드 제품은 전 단계가 모두 조제분유라서 아기 성장에 필요한 영양소들이 풍부하게 들어있어서 완분하시는 분들이라면 더 이 분유를 잘 보시면 좋을거 같아요 ], 긍정 텍스트 확률 : 51.07%"
"[ 그리고 요즘 수입분유가 많이 나오잖아요 엄마들도 수입분유를 예전보다 더 많이 선택하는거 같더라구요 제가 첫째 낳아서 키울..그때만 해도 수입분유 종류가 그렇게 많지 않았던거 같은데 요즘에는 진짜 많은 수입분유가 있어서 오히려 선택하기 힘들어 하시는거 같아요.. 근데 다른 수입분유를 보면 가격적인 부분이 부담이 되어서 고민하시는 분들도 많으신거 같은데 아이엠뉴질랜드는 성분도 우수한데 가격도 합리적이라서 더 끌렸던거 같아요 보통의 수입분유보다 저렴한데 성분은 큰 차이가 없고 오히려 더 우수한부분들이 있답니다 ], 긍정 텍스트 확률 : 98.20%"
