"[ ..그 이유는 소화 단계에서 덩어리져.분해가 잘되지 않는카제인 단백질의.함량을 낮추고], 긍정 텍스트 확률 : 51.06%"
"[그게 충분히 흡수되지 않고.배출되면.. 의미가 없으니깐..그런 이유에서는 소화 잘 되는 분유 추천.받을 땐 우유보다 소화에 용이한지 꼭 보기. ], 긍정 텍스트 확률 : 51.82%"
"[ .물론], 긍정 텍스트 확률 : 77.47%"
"[다들 좋다 하는 분유 추천받았다고.덜컥 이거 다 했던 건 아니다. 나 역시 애를 .여럿 키워봤고 다양하게 먹여본.경험이 있기 때문에 더 꼼꼼히 따져서 골랐다....요즘 세계적으로 이슈가 되는 건 결국 환경이고.그에 따라 영향받지 않는 곳을 찾기 힘들다지만], 긍정 텍스트 확률 : 65.50%"
"[ .그래도 네덜란드 하면 청정지역이란 말이.절로 떠오르는 건 사실이다...특히], 긍정 텍스트 확률 : 85.92%"
"[ 의뢰받아 만들어진 게 아니라.실제 네덜란드에서 뿌리 깊은 브랜드이고. 긴 세월의 년이라는 히스토리를 지닌 점..네덜란드 정부가 인증한 산양 원유를 사용했다는 게.마음을 돌린 첫 번째 이유였다.. ], 긍정 텍스트 확률 : 87.10%"
"[ .. 찾아보면 종류도 브랜드도 다양하지만.그중에서도 네덜란드 농림부의 산양유 품질.감시 시스템인 품질을 보증하는.퀼리고트 인증을 받은 원유를 사용했다고 한다..이게 바로 산양 분유 추천 리스트 중.선택한 두 번째 이유... 그리고 대망의 마지막 이유는.좋은 원유 기반의 체계적으로 설계된 영양 성분인 ], 긍정 텍스트 확률 : 97.59%"
"[ .으로 구성되어 있기 때문이다..아기에게 도움을 줄 수 있는 다양한 부분들이.많기 때문에 신생아를 비롯해 이유식을 시작한 아기.그리고 우리 꼬마루 처럼 유아식을 먹으며.간혹 편식을 하거나 한 번씩 입맛이 없어.밥을 먹는 둥 마는 둥 할 때 부족한 부분을.어느 정도는 보충할 수 있기 때문에 .적절한 것 같다...어쨌든 개월까지는 아기들도.밥을 먹기까지의 적응기를 갖는 시기니깐.시기에 따라 분유의 역할은 다른 법이라 생각한다... ], 긍정 텍스트 확률 : 98.64%"
"[ ..그런데 먹이다 보니 만족스러운 점이 또 있었다.요즘은 하루에 한 번 내지 두 번 정도 먹이기 때문에.자주 타질 않아서 번거로움이 줄긴 했는데.신생아 때만 해도 시간 간격으로 먹이느라.아기분유 타는 것도 일이었다. 특히 물에 녹이는 게.얼마나 힘들던지... ], 긍정 텍스트 확률 : 98.48%"
"[ ..그래서 한참은 분말의 입자가 곱고.물에 잘 녹는 걸 많이 찾아봤던 것 같다..역시 이번에도 새로운 아기분유로 정착하면서.이 부분을 꼼꼼히 따져봤는데.입자가 정말 곱다. 손으로 만져도.끈적임도 덜 느껴졌을뿐더러], 긍정 텍스트 확률 : 93.48%"
"[ .카브리타 산양 프리미엄분유 타는 법은.끓여서 식힌 도의 물을 이용해.개월 수에 맞게 조유하면 된다..꼬마루는 개월이라 단계를 먹이고 있고], 긍정 텍스트 확률 : 60.85%"
"[ .이제 끝물이란 생각에 조금이라도 더 좋은 걸.주고 싶은 마음에 바꾸게 된 건데], 긍정 텍스트 확률 : 91.06%"
"[홈플러스나 대형마트에서도.구입할 수 있으니 완전히 떼기 직전까지는. 꾸준히 먹어보자...생활건강으로부터 소정의 원고료와 제품을 제공받았으나 솔직하게 작성된 후기입니다 ], 긍정 텍스트 확률 : 63.87%"
"[ 그리고], 긍정 텍스트 확률 : 70.21%"
