"[ 러비는 대표적인? 잘 안 먹는 아가라중기이유식부터 후기이유식까지 내 머릿속에 기억이 없는데먹는 날보다 안 먹는 날이 더 많았으니 기억이 없다요새 러비가 잘 먹어주니 힘이 나는 러비에미], 긍정 텍스트 확률 : 80.69%"
"[ 그래서 기다리고 기다렸던 단호박. 매장에서 만나니 얼마나 반갑던지이번엔 냉동고에 좀 쟁여놔야하지 ], 긍정 텍스트 확률 : 95.76%"
"[ 먼저 단호박은 자르기 싶도록전자레인지에서 분돌려준다. ], 긍정 텍스트 확률 : 63.46%"
"[ 미니단호박이라 그냥 자를까도 생각했는데 전자레인지에서 분 돌려주고 나니 훨씬 잘 잘렸다.우리 괜히 힘쓰지 마요밑에는 살짝 익은 느낌이었다. ], 긍정 텍스트 확률 : 50.02%"
"[오트밀가루 스푼을 넣어주었다.바나나 분유빵과는 다르게 단호박 자체가 바나나만큼 달진 않아서다른 분유빵보단 분유양을 더 넣어줘도 될 거 같다.나는 친구가 준 오트밀가루가 있어서 소진도 할 겸 분유 스푼], 긍정 텍스트 확률 : 57.15%"
"[ 확실히 바나나와는 다르게 퍽퍽한 식감에 단호박 분유빵], 긍정 텍스트 확률 : 80.97%"
"[ 그릇에 이쁘게 담아주니 너무 맛있게 보이는 중기이유식 아기 간식 단호박 분유빵], 긍정 텍스트 확률 : 80.64%"
"[ 러비 먹게 좋게 잘라주고 ], 긍정 텍스트 확률 : 86.18%"
"[ 손에 묻지도 않고 너무 깔끔하게 먹을 수 있었던 중기이유식 아기 간식 단호박분유빵], 긍정 텍스트 확률 : 82.70%"
"[ 둥이도 엄청 잘 먹고 ], 긍정 텍스트 확률 : 76.80%"
"[ 러비보다 더 많은 먹은 거 같기도 하고 ], 긍정 텍스트 확률 : 74.00%"
"[ 잘 먹었습니다 만세까지단호박 분유빵 레시피를 보니 단호박은 보통 초기이유식 미음에서 알러지테스트를 하고계란 노른자 알러지테스트만 했다면중기이유식 아기부터 누구든지 다 먹을 수 있는 맛있는 간식], 긍정 텍스트 확률 : 79.19%"
"[ 바나나 분유빵보다 덜 달아서 곱게만 갈아준다면 중기이유식 아기 간식으로 딱손쉽게 만들 수 있으니 엄마도 좋고잘 먹는 아기도 좋고추천 ], 긍정 텍스트 확률 : 99.92%"
"[.안녕하세요.담담입니당 ㅎㅎ ], 긍정 텍스트 확률 : 94.58%"
"[ .오늘 롭스 들렸다가.아몬드 시즈닝 시리즈 세일하길래.제일 궁금했던 인절미 아몬드를 데려왔어용 ㅎㅎ.메이지 젤리는 꼽사리♥ ], 긍정 텍스트 확률 : 99.78%"
"[ .지퍼로 포장되어 있어서 먹고 관리하기 아주 편하구요 ㅎㅎ.책상 위에 두고 배고플 때간식후식으로 야금야금 먹기 아주 좋을 것 같아요..인절미 아몬드는 내용량 .아몬드. ], 긍정 텍스트 확률 : 85.22%"
"[물엿 등등 시즈닝이 첨가되어 있네용 ], 긍정 텍스트 확률 : 64.92%"
"[ .아몬드들이 열일하구 있오요. 귀욤귀욤 ㅎㅎ. ], 긍정 텍스트 확률 : 86.47%"
"[ .아몬드가 아무리 조그맣긴 해도.. 너무 적게 들은 느낌 이예요 ㅠ.보면 겉에 인절미 시즈닝이 보드랍게 붙어 있는거 보이시죠? ㅎㅎ ], 긍정 텍스트 확률 : 88.96%"
"[ ..이거..이거 위험하네요 ㅎㅎ...지극히 개인적인 후기예요..ㅋㅋㅋ..월까지 아몬드 시즈닝 시리즈 세일하던데.또 롭스 가게 되면 군옥수수맛인가?.구매해 볼 의사 있습니다😆. ], 긍정 텍스트 확률 : 96.75%"
"[ ...베베리쉬에서는 아기만을 위한 디자인과.노하우를 가지고 보온병과 스텐빨대컵도 나오고.지금 내가 구입한 추빨대컵은.와두가지 사이즈가 있다.색상은 민트 그레이 핑크 블루.네가지중 내 선택은 민트..늘 반가운 택배소리 ㅎㅎ.택배가 오고 실제로 본 민트색이 더 이뻤다 .가볍고 일단 모양은 만족.. ], 긍정 텍스트 확률 : 99.46%"
"[ ......또 빨대컵으로만 쓸수 있는게 아니고 .여러가지 방법으로 사용할 수 있었는데 .베베리쉬 젖병과 젖꼭지가 호환되어 젖병으로도.사용가능해서 더 실용적이며..호수를 제거하거나 결합해서.앉아서 먹고 누워서 먹기 편하게 사용할수 있어서.누워먹기 좋아하는 우리 아기한테는.딱이었다 ㅎ ... ], 긍정 텍스트 확률 : 85.41%"
